"query" "significant" "p_value" "term_size" "query_size" "intersection_size" "precision" "recall" "term_id" "source" "term_name" "effective_domain_size" "source_order" "evidence_codes" "intersection"
"query_1" TRUE 0.00747993551124713 7632 165 64 0.387878787878788 0.00838574423480084 "GO:0032501" "GO:BP" "multicellular organismal process" 33569 8871 "IMP IEA,IDA IBA IEA,IEA,IBA IEA,IEA,ISS IBA IEA,IGI,IBA NAS IEA,IMP IEP ISS TAS NAS,ISS IEA,IGI IEA,IBA,IDA ISS IBA IEA,IMP TAS IEA,IMP IBA TAS,IBA TAS IEA,TAS,ISS IBA,TAS,ISS IBA IEA,ISS IBA IEA,IEA,IEP ISS IEA,TAS IEA,IMP,TAS,ISS TAS IEA,TAS,IEA,IDA IMP ISS IBA IEA,TAS IEA,IMP,TAS,TAS,ISS,IC,TAS,ISS IBA IEA,HMP,ISS,ISS IEA,IDA TAS IEA,TAS,TAS,IBA IC,ISS IEA,IMP TAS,ISS IEA,IMP,ISS IEA,IDA IBA IEA,IEP ISS IBA IEA,TAS,ISS IBA IEA,IGI TAS IEA,IMP ISS IBA IEA,IEA,IMP ISS IEA,IEA,TAS IEA,ISS IEA,IMP ISS IBA TAS IEA,TAS,IEA" "ENSG00000179774,ENSG00000169962,ENSG00000166634,ENSG00000071626,ENSG00000100280,ENSG00000128652,ENSG00000207744,ENSG00000170166,ENSG00000174469,ENSG00000186487,ENSG00000145335,ENSG00000174963,ENSG00000152977,ENSG00000165995,ENSG00000138039,ENSG00000113430,ENSG00000182324,ENSG00000164920,ENSG00000185774,ENSG00000010319,ENSG00000167178,ENSG00000183153,ENSG00000073146,ENSG00000100605,ENSG00000164040,ENSG00000048740,ENSG00000168329,ENSG00000075043,ENSG00000156150,ENSG00000204217,ENSG00000069011,ENSG00000123815,ENSG00000196565,ENSG00000213931,ENSG00000131899,ENSG00000155962,ENSG00000274588,ENSG00000215203,ENSG00000159176,ENSG00000178999,ENSG00000158715,ENSG00000137693,ENSG00000204634,ENSG00000171608,ENSG00000136231,ENSG00000005073,ENSG00000115306,ENSG00000175793,ENSG00000160882,ENSG00000175505,ENSG00000128519,ENSG00000123338,ENSG00000127990,ENSG00000156642,ENSG00000072832,ENSG00000162337,ENSG00000170923,ENSG00000152208,ENSG00000173889,ENSG00000181408,ENSG00000188803,ENSG00000066468,ENSG00000143106,ENSG00000122507"
"query_1" TRUE 0.0242543941133962 2442 165 29 0.175757575757576 0.0118755118755119 "GO:0007399" "GO:BP" "nervous system development" 33569 3311 "IMP IEA,ISS IEA,IEP ISS TAS NAS,ISS IEA,IGI,IBA,IDA IBA IEA,IBA,ISS IBA IEA,ISS IBA IEA,IEA,ISS TAS IEA,TAS,IEA,IEA,IMP,ISS,ISS IBA,ISS IEA,IDA,TAS,IBA,TAS,ISS IEA,IBA,ISS IBA IEA,IGI TAS IEA,IMP ISS IEA,ISS" "ENSG00000179774,ENSG00000128652,ENSG00000174469,ENSG00000186487,ENSG00000145335,ENSG00000174963,ENSG00000152977,ENSG00000113430,ENSG00000010319,ENSG00000167178,ENSG00000100605,ENSG00000168329,ENSG00000075043,ENSG00000204217,ENSG00000069011,ENSG00000123815,ENSG00000131899,ENSG00000215203,ENSG00000158715,ENSG00000137693,ENSG00000171608,ENSG00000136231,ENSG00000115306,ENSG00000175505,ENSG00000123338,ENSG00000156642,ENSG00000072832,ENSG00000152208,ENSG00000066468"
"query_1" TRUE 0.0259406314542693 97 165 6 0.0363636363636364 0.0618556701030928 "GO:0048704" "GO:BP" "embryonic skeletal system morphogenesis" 33569 15132 "ISS IBA IEA,IBA,ISS,IEA,IEA,IMP" "ENSG00000128652,ENSG00000170166,ENSG00000164920,ENSG00000156150,ENSG00000005073,ENSG00000066468"
"query_1" TRUE 0.0380597246722813 12022 165 86 0.521212121212121 0.00715355182166029 "GO:0065007" "GO:BP" "biological regulation" 33569 18770 "ISS IEA,TAS IC IEA,IBA NAS IEA,IBA,IBA IEA,IDA IMP ISS IBA IEA,IDA IGI,IDA IEA,IDA ISS,IDA,ISS IBA IEA,IEA,IDA IMP IGI ISS TAS IEA,IBA,IBA,ISS IBA IEA,IDA IMP ISS IBA TAS IEA,IEA,IEA,IMP ISS IBA TAS IEA,IBA IEA,IBA TAS IEA,IEA,ISS IBA,ISS TAS IEA,IEA,IBA NAS IEA,ISS IBA IEA,ISS IBA,IEA,IBA,TAS,IEA,ISS IEA,IEA,IDA IMP IBA,IBA TAS,IMP IEA,ISS IBA TAS IEA,IEA,IMP,IEA,IDA IMP ISS IBA TAS IEA,IEA,TAS,IBA,TAS,IBA IEA,IDA TAS IC IEA,IDA IBA TAS IEA,IDA IEA,HMP,IMP IEA,IDA IMP ISS IBA TAS IEA,ISS IEA,IDA IMP IBA TAS IEA,IBA TAS IEA,IMP IBA TAS NAS IEA,ISS IBA TAS IC IEA,ISS IEA,IMP IGI TAS IEA,IDA ISS TAS IEA,TAS,IDA IMP IBA TAS,IEA,IEA,IMP IBA TAS IEA,IDA ISS IBA TAS NAS IEA,IBA TAS IEA,TAS IC IEA,ISS,IMP IBA TAS IEA,IMP IEP ISS TAS IEA,IDA,ISS IEA,IDA IMP IGI,IDA IMP IGI ISS IBA IEA,IEA,IBA TAS IEA,IMP ISS IBA TAS IEA,IBA TAS,IDA,IBA TAS IEA,ISS IBA IEA,IDA IPI IMP IGI ISS IBA TAS IEA,TAS" "ENSG00000179774,ENSG00000169962,ENSG00000166634,ENSG00000171723,ENSG00000071626,ENSG00000128652,ENSG00000207744,ENSG00000170166,ENSG00000032389,ENSG00000108106,ENSG00000186487,ENSG00000284686,ENSG00000145335,ENSG00000122477,ENSG00000174963,ENSG00000152977,ENSG00000165995,ENSG00000068781,ENSG00000279956,ENSG00000138039,ENSG00000113430,ENSG00000182324,ENSG00000268465,ENSG00000164920,ENSG00000185774,ENSG00000278535,ENSG00000054793,ENSG00000010319,ENSG00000167178,ENSG00000183153,ENSG00000073146,ENSG00000100605,ENSG00000164040,ENSG00000155093,ENSG00000079308,ENSG00000168143,ENSG00000048740,ENSG00000172985,ENSG00000168329,ENSG00000075043,ENSG00000143093,ENSG00000156150,ENSG00000204217,ENSG00000069011,ENSG00000196565,ENSG00000239920,ENSG00000213931,ENSG00000131899,ENSG00000155962,ENSG00000274588,ENSG00000215203,ENSG00000159176,ENSG00000165219,ENSG00000178999,ENSG00000158715,ENSG00000137693,ENSG00000204634,ENSG00000171608,ENSG00000136231,ENSG00000005073,ENSG00000115306,ENSG00000175793,ENSG00000104499,ENSG00000160882,ENSG00000170954,ENSG00000197937,ENSG00000172613,ENSG00000175505,ENSG00000133124,ENSG00000128519,ENSG00000154783,ENSG00000102524,ENSG00000123338,ENSG00000242265,ENSG00000156642,ENSG00000072832,ENSG00000162337,ENSG00000170923,ENSG00000114030,ENSG00000152208,ENSG00000173889,ENSG00000125462,ENSG00000181408,ENSG00000188803,ENSG00000066468,ENSG00000143106"
"query_1" TRUE 0.0466838129958459 2804 165 31 0.187878787878788 0.011055634807418 "GO:0009653" "GO:BP" "anatomical structure morphogenesis" 33569 4056 "ISS IBA IEA,IGI,IBA,ISS,ISS,IEA,ISS,ISS IBA IEA,ISS IBA,IEA,IMP,IEA,ISS IEA,IBA TAS IEA,IMP,ISS,IBA,IEA,TAS,TAS,ISS TAS IEA,TAS,ISS,IEA,IBA,IBA IEA,IEA,IMP IBA IEA,ISS IEA,IMP ISS TAS IEA,TAS" "ENSG00000128652,ENSG00000207744,ENSG00000170166,ENSG00000174469,ENSG00000152977,ENSG00000113430,ENSG00000164920,ENSG00000010319,ENSG00000167178,ENSG00000168329,ENSG00000143093,ENSG00000156150,ENSG00000204217,ENSG00000069011,ENSG00000123815,ENSG00000131899,ENSG00000159176,ENSG00000137693,ENSG00000171608,ENSG00000136231,ENSG00000005073,ENSG00000115306,ENSG00000154783,ENSG00000102524,ENSG00000123338,ENSG00000156642,ENSG00000072832,ENSG00000162337,ENSG00000152208,ENSG00000066468,ENSG00000143106"
"query_1" TRUE 0.0232360005993302 5173 165 45 0.272727272727273 0.008699014111734 "GO:0005886" "GO:CC" "plasma membrane" 33569 532 "IBA TAS IEA,TAS,IDA IBA TAS IEA,IDA NAS,IDA IEA,IDA IBA TAS NAS IEA,IDA ISS IBA TAS IEA,IBA TAS,IBA IEA,IDA ISS TAS IEA,IBA,IBA,IEA,IDA IBA TAS IEA,IEA,IDA ISS IBA TAS IEA,TAS,TAS,ISS IBA TAS IEA,IDA ISS IBA TAS IEA,IDA IMP IBA TAS IEA,IEA,IEA,IBA,IDA TAS,IDA,TAS,IBA TAS,ISS IEA,TAS IEA,IBA TAS IEA,IDA TAS IEA,IDA IEA,IBA IEA,TAS NAS IEA,IDA IBA IEA,IDA ISS IBA TAS IEA,ISS IBA IEA,IDA TAS,TAS IEA,ISS IBA TAS IEA,IBA TAS IEA,IBA IEA,IDA IBA TAS IEA,IEA" "ENSG00000169962,ENSG00000166634,ENSG00000171723,ENSG00000174469,ENSG00000145335,ENSG00000165995,ENSG00000138039,ENSG00000182324,ENSG00000106404,ENSG00000185774,ENSG00000054793,ENSG00000010319,ENSG00000167178,ENSG00000183153,ENSG00000100605,ENSG00000142765,ENSG00000155093,ENSG00000125304,ENSG00000168329,ENSG00000075043,ENSG00000204217,ENSG00000123815,ENSG00000183166,ENSG00000131899,ENSG00000274588,ENSG00000165219,ENSG00000158715,ENSG00000171608,ENSG00000115306,ENSG00000104499,ENSG00000133124,ENSG00000128519,ENSG00000154783,ENSG00000102524,ENSG00000123338,ENSG00000114544,ENSG00000127990,ENSG00000156642,ENSG00000162337,ENSG00000170923,ENSG00000152208,ENSG00000181408,ENSG00000188803,ENSG00000066468,ENSG00000122507"
"query_1" TRUE 0.0340835202925135 1570 165 20 0.121212121212121 0.0127388535031847 "GO:0005887" "GO:CC" "integral component of plasma membrane" 33569 533 "IBA,IDA NAS,NAS,ISS IBA TAS,TAS,ISS IEA,IBA,TAS,TAS,TAS,TAS,IDA IBA IEA,IDA TAS,NAS,TAS,IEA,ISS TAS IEA,IBA,IBA IEA,IDA IBA" "ENSG00000169962,ENSG00000174469,ENSG00000165995,ENSG00000138039,ENSG00000182324,ENSG00000185774,ENSG00000010319,ENSG00000183153,ENSG00000155093,ENSG00000125304,ENSG00000168329,ENSG00000075043,ENSG00000204217,ENSG00000123338,ENSG00000127990,ENSG00000156642,ENSG00000152208,ENSG00000181408,ENSG00000188803,ENSG00000066468"
"query_1" TRUE 0.0390353959308495 5286 165 45 0.272727272727273 0.00851305334846765 "GO:0071944" "GO:CC" "cell periphery" 33569 3164 "IBA TAS IEA,TAS,IDA IBA TAS IEA,IDA NAS,IDA IEA,IDA IBA TAS NAS IEA,IDA ISS IBA TAS IEA,IBA TAS,IBA IEA,IDA ISS TAS IEA,IBA,IBA,IEA,IDA IBA TAS IEA,IEA,IDA ISS IBA TAS IEA,TAS,TAS,ISS IBA TAS IEA,IDA ISS IBA TAS IEA,IDA IMP IBA TAS IEA,IEA,IEA,IDA IBA,IDA TAS,IDA,TAS,IBA TAS,ISS TAS IEA,TAS IEA,IBA TAS IEA,IDA TAS IEA,IDA IEA,IBA IEA,TAS NAS IEA,IDA IBA IEA,IDA ISS IBA TAS IEA,ISS IBA IEA,IDA TAS,TAS IEA,ISS IBA TAS IEA,IBA TAS IEA,IBA IEA,IDA IBA TAS IEA,IEA" "ENSG00000169962,ENSG00000166634,ENSG00000171723,ENSG00000174469,ENSG00000145335,ENSG00000165995,ENSG00000138039,ENSG00000182324,ENSG00000106404,ENSG00000185774,ENSG00000054793,ENSG00000010319,ENSG00000167178,ENSG00000183153,ENSG00000100605,ENSG00000142765,ENSG00000155093,ENSG00000125304,ENSG00000168329,ENSG00000075043,ENSG00000204217,ENSG00000123815,ENSG00000183166,ENSG00000131899,ENSG00000274588,ENSG00000165219,ENSG00000158715,ENSG00000171608,ENSG00000115306,ENSG00000104499,ENSG00000133124,ENSG00000128519,ENSG00000154783,ENSG00000102524,ENSG00000123338,ENSG00000114544,ENSG00000127990,ENSG00000156642,ENSG00000162337,ENSG00000170923,ENSG00000152208,ENSG00000181408,ENSG00000188803,ENSG00000066468,ENSG00000122507"
"query_1" TRUE 0.0422903217744387 297 165 8 0.0484848484848485 0.0269360269360269 "GO:0034702" "GO:CC" "ion channel complex" 33569 1791 "IDA NAS,IDA IBA IEA,TAS,ISS IEA,IDA IBA IEA,IEA,ISS IEA,IBA IEA" "ENSG00000174469,ENSG00000165995,ENSG00000182324,ENSG00000185774,ENSG00000075043,ENSG00000155962,ENSG00000152208,ENSG00000188803"
"query_1" TRUE 0.0109503692592134 2 165 2 0.0121212121212121 1 "GO:0004964" "GO:MF" "luteinizing hormone receptor activity" 33569 1512 "IEA,IMP IBA IEA" "ENSG00000279956,ENSG00000138039"
