"query" "significant" "p_value" "term_size" "query_size" "intersection_size" "precision" "recall" "term_id" "source" "term_name" "effective_domain_size" "source_order" "evidence_codes" "intersection"
"query_1" TRUE 0.000718625578289108 169 89 7 0.0786516853932584 0.0414201183431953 "GO:0007156" "GO:BP" "homophilic cell adhesion via plasma membrane adhesion molecules" 33610 3091 "IEA,IEA,IEA,IEA,IEA,IEA,IEA" "ENSG00000204956,ENSG00000081853,ENSG00000254245,ENSG00000254221,ENSG00000262576,ENSG00000253910,ENSG00000253485"
"query_1" TRUE 0.0177578817605787 274 89 7 0.0786516853932584 0.0255474452554745 "GO:0098742" "GO:BP" "cell-cell adhesion via plasma-membrane adhesion molecules" 33610 22277 "IEA,IEA,IEA,IEA,IEA,IEA,IEA" "ENSG00000204956,ENSG00000081853,ENSG00000254245,ENSG00000254221,ENSG00000262576,ENSG00000253910,ENSG00000253485"
"query_1" TRUE 0.000158413678483892 1220 89 15 0.168539325842697 0.0122950819672131 "GO:0000785" "GO:CC" "chromatin" 33610 111 "IBA,ISA,ISA,ISA,ISA,ISA,ISA,ISA,ISA,IDA ISA IEA,IBA,ISA IEA,ISA,IDA,ISA" "ENSG00000103479,ENSG00000106511,ENSG00000188816,ENSG00000112246,ENSG00000142700,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000137203,ENSG00000007372,ENSG00000066923,ENSG00000137265,ENSG00000092607,ENSG00000104447,ENSG00000169840"
"query_1" TRUE 0.000720053016176056 1031 89 13 0.146067415730337 0.0126091173617847 "GO:0000790" "GO:CC" "nuclear chromatin" 33610 116 "ISA,ISA,ISA,ISA,ISA,ISA,ISA,ISA,IDA ISA IEA,ISA IEA,ISA,IDA,ISA" "ENSG00000106511,ENSG00000188816,ENSG00000112246,ENSG00000142700,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000137203,ENSG00000007372,ENSG00000137265,ENSG00000092607,ENSG00000104447,ENSG00000169840"
"query_1" TRUE 0.00127083432906183 1262 89 14 0.157303370786517 0.0110935023771791 "GO:0000228" "GO:CC" "nuclear chromosome" 33610 42 "ISA,ISA,ISA,ISA,ISA,ISA,ISA,ISA,IDA ISA IEA,TAS IEA,ISA IEA,ISA,IDA,ISA" "ENSG00000106511,ENSG00000188816,ENSG00000112246,ENSG00000142700,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000137203,ENSG00000007372,ENSG00000066923,ENSG00000137265,ENSG00000092607,ENSG00000104447,ENSG00000169840"
"query_1" TRUE 0.00251274485170094 1729 89 16 0.179775280898876 0.0092539039907461 "GO:0005694" "GO:CC" "chromosome" 33610 363 "IBA,ISA,ISA,ISA,ISA,ISA,ISA,ISA,ISA,IDA ISA IEA,IDA IBA TAS IEA,ISA IEA,ISA,IEA,IDA,ISA" "ENSG00000103479,ENSG00000106511,ENSG00000188816,ENSG00000112246,ENSG00000142700,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000137203,ENSG00000007372,ENSG00000066923,ENSG00000137265,ENSG00000092607,ENSG00000070366,ENSG00000104447,ENSG00000169840"
"query_1" TRUE 6.65230628742745e-05 968 89 14 0.157303370786517 0.0144628099173554 "GO:0000981" "GO:MF" "DNA-binding transcription factor activity, RNA polymerase II-specific" 33610 132 "IDA IMP ISA ISM IEA,ISM,ISA ISM IEA,ISA IBA,ISA ISM,ISA ISM IEA,ISA ISM IBA,IMP ISA ISM IEA,IDA ISA ISM IBA,IDA ISA ISM IEA,IDA ISA ISM IBA,ISA ISM IBA IEA,ISM,ISA ISM IBA IEA" "ENSG00000106511,ENSG00000185650,ENSG00000188816,ENSG00000112246,ENSG00000142700,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000137203,ENSG00000007372,ENSG00000137265,ENSG00000092607,ENSG00000104447,ENSG00000169840"
"query_1" TRUE 0.000103031411667394 1164 89 15 0.168539325842697 0.0128865979381443 "GO:0003700" "GO:MF" "DNA-binding transcription factor activity" 33610 428 "IDA IMP ISA ISM IEA,ISM,ISA ISM IEA,IBA,ISA IBA TAS IEA,ISA ISM IEA,ISA ISM NAS IEA,ISA ISM IBA TAS IEA,IDA IMP ISA ISM IBA IEA,IDA ISA ISM IBA IEA,IDA ISA ISM TAS IEA,IDA ISS ISA ISM IBA NAS IEA,ISA ISM IBA IEA,ISM TAS IEA,ISA ISM IBA IEA" "ENSG00000106511,ENSG00000185650,ENSG00000188816,ENSG00000175691,ENSG00000112246,ENSG00000142700,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000137203,ENSG00000007372,ENSG00000137265,ENSG00000092607,ENSG00000104447,ENSG00000169840"
"query_1" TRUE 0.000756401802072869 445 89 9 0.101123595505618 0.0202247191011236 "GO:0001228" "GO:MF" "DNA-binding transcription activator activity, RNA polymerase II-specific" 33610 249 "IDA IMP,IEA,IBA,IMP,IDA,IEA,IDA,IBA,IEA" "ENSG00000106511,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000137203,ENSG00000007372,ENSG00000137265,ENSG00000092607,ENSG00000169840"
"query_1" TRUE 0.000798829378838397 448 89 9 0.101123595505618 0.0200892857142857 "GO:0001216" "GO:MF" "DNA-binding transcription activator activity" 33610 240 "IDA IMP,IEA,IBA,IMP,IDA,IEA,IDA,IBA,IEA" "ENSG00000106511,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000137203,ENSG00000007372,ENSG00000137265,ENSG00000092607,ENSG00000169840"
"query_1" TRUE 0.000904193445906964 1387 89 15 0.168539325842697 0.0108147080028839 "GO:0043565" "GO:MF" "sequence-specific DNA binding" 33610 6899 "IBA,IDA IMP IEA,IDA IEA,IBA,IDA IEA,IDA IEA,IBA,IMP IBA IEA,IDA IMP IBA,IDA IEA,IDA ISS IEA,IDA IBA IEA,IDA IBA,IDA IBA IEA,IDA IBA IEA" "ENSG00000103479,ENSG00000106511,ENSG00000188816,ENSG00000175691,ENSG00000142700,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000137203,ENSG00000007372,ENSG00000137265,ENSG00000092607,ENSG00000070366,ENSG00000104447,ENSG00000169840"
"query_1" TRUE 0.00110556718979083 1599 89 16 0.179775280898876 0.0100062539086929 "GO:0140110" "GO:MF" "transcription regulator activity" 33610 11782 "IDA IMP ISA ISM IEA,ISM,ISA ISM IEA,IBA,ISA IBA TAS IEA,ISA ISM IEA,ISA ISM NAS IEA,ISA ISM IBA TAS IEA,IDA IMP ISA ISM IBA IEA,IMP IBA,IDA ISA ISM IBA IEA,IDA ISA ISM TAS IEA,IDA ISS ISA ISM IBA NAS IEA,ISA ISM IBA IEA,ISM TAS IEA,ISA ISM IBA IEA" "ENSG00000106511,ENSG00000185650,ENSG00000188816,ENSG00000175691,ENSG00000112246,ENSG00000142700,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000173200,ENSG00000137203,ENSG00000007372,ENSG00000137265,ENSG00000092607,ENSG00000104447,ENSG00000169840"
"query_1" TRUE 0.00368694564929965 1183 89 13 0.146067415730337 0.010989010989011 "GO:1990837" "GO:MF" "sequence-specific double-stranded DNA binding" 33610 12182 "IBA,IDA,IDA,IDA,IDA IEA,IBA,IMP IBA,IDA IBA,IDA IEA,IDA IEA,IDA IBA IEA,IDA IBA,IDA IBA IEA" "ENSG00000103479,ENSG00000106511,ENSG00000188816,ENSG00000142700,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000137203,ENSG00000007372,ENSG00000137265,ENSG00000092607,ENSG00000104447,ENSG00000169840"
"query_1" TRUE 0.00466712818021074 2443 89 19 0.213483146067416 0.00777732296356938 "GO:0003677" "GO:MF" "DNA binding" 33610 408 "IBA IEA,IDA IMP IEA,IEA,IDA IEA,IBA IEA,TAS IEA,IDA IEA,IDA IEA,IBA NAS IEA,IMP IBA IEA,IEA,IEA,IDA IMP IBA IEA,IDA TAS IEA,IDA ISS IEA,IDA IBA IEA,IDA IBA IEA,IDA IBA IEA,IDA IBA IEA" "ENSG00000103479,ENSG00000106511,ENSG00000185650,ENSG00000188816,ENSG00000175691,ENSG00000112246,ENSG00000142700,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000204519,ENSG00000179909,ENSG00000137203,ENSG00000007372,ENSG00000137265,ENSG00000092607,ENSG00000070366,ENSG00000104447,ENSG00000169840"
"query_1" TRUE 0.00546041301113782 878 89 11 0.123595505617978 0.0125284738041002 "GO:0000977" "GO:MF" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 33610 129 "IBA,IDA,IDA IEA,IBA,IMP IBA,IDA IBA,IDA IEA,IDA,IBA IEA,IDA IBA,IBA IEA" "ENSG00000103479,ENSG00000106511,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000137203,ENSG00000007372,ENSG00000137265,ENSG00000092607,ENSG00000104447,ENSG00000169840"
"query_1" TRUE 0.00754717472351452 1267 89 13 0.146067415730337 0.0102604577742699 "GO:0003690" "GO:MF" "double-stranded DNA binding" 33610 420 "IBA,IDA,IDA,IDA,IDA IEA,IBA,IMP IBA,IDA IBA,IDA IEA,IDA IEA,IDA IBA IEA,IDA IBA,IDA IBA IEA" "ENSG00000103479,ENSG00000106511,ENSG00000188816,ENSG00000142700,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000137203,ENSG00000007372,ENSG00000137265,ENSG00000092607,ENSG00000104447,ENSG00000169840"
"query_1" TRUE 0.0220508604391181 1025 89 11 0.123595505617978 0.0107317073170732 "GO:0000976" "GO:MF" "transcription regulatory region sequence-specific DNA binding" 33610 128 "IBA,IDA,IDA IEA,IBA,IMP IBA,IDA IBA,IDA IEA,IDA IEA,IBA IEA,IDA IBA,IBA IEA" "ENSG00000103479,ENSG00000106511,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000137203,ENSG00000007372,ENSG00000137265,ENSG00000092607,ENSG00000104447,ENSG00000169840"
"query_1" TRUE 0.0222419433601272 1026 89 11 0.123595505617978 0.0107212475633528 "GO:0001067" "GO:MF" "regulatory region nucleic acid binding" 33610 182 "IBA,IDA,IDA IEA,IBA,IMP IBA,IDA IBA,IDA IEA,IDA IEA,IBA IEA,IDA IBA,IBA IEA" "ENSG00000103479,ENSG00000106511,ENSG00000185630,ENSG00000121075,ENSG00000180053,ENSG00000137203,ENSG00000007372,ENSG00000137265,ENSG00000092607,ENSG00000104447,ENSG00000169840"
"query_1" TRUE 0.00903426845055361 2 89 2 0.0224719101123595 1 "HP:0030534" "HP" "Abnormal best corrected visual acuity test" 33610 10608 "HP,HP" "ENSG00000258947,ENSG00000007372"
