,lncRNA,num_up_regulated,num_down_regulated,Normal_mean,BLCA_mean,BRCA_mean,COAD_mean,ESCA_mean,HNSC_mean,KIRC_mean,KIRP_mean,LIHC_mean,LUAD_mean,LUSC_mean,PRAD_mean,THCA_mean,UCEC_mean,Normal_std,BLCA_std,BRCA_std,COAD_std,ESCA_std,HNSC_std,KIRC_std,KIRP_std,LIHC_std,LUAD_std,LUSC_std,PRAD_std,THCA_std,UCEC_std,fraction_up_regulated,prolifer,invasi,migrat,growth,methylat,metasta,apoptosis,cell cycle arrest,cell cycle,EMT,immun,cell cycle progression,oncogen,tumor suppress,growth arrest,metaboli,autophag,angiogenesis,prognosis
0,fendrr,0.0,17.0,0.15032651274377815,0.23361427934785595,0.12517414504964092,0.4979284222104386,0.3451822853702088,0.3117195434524451,0.09362747110223826,0.08109697961686438,0.16163736677869672,0.31120654117544816,0.3000181948136869,0.20537818286736306,0.16453408608890782,0.2922699241291333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,14.0,14.0,7.0,8.0,12.0,0.0,1.0,0.0,2.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,1.0
1,mir155hg,5.0,2.0,0.01883738389621599,0.03277437254888416,0.05317696014199326,0.022942957391001384,0.023924061164705385,0.021853697144822267,0.018236774316783548,0.02333047874172566,0.18552455541901,0.04948636755894678,0.025386711930708145,0.061085414474930634,0.01822370554546652,0.023570755834226777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,7.0,8.0,6.0,5.0,2.0,2.0,6.0,2.0,1.0,2.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2,hoxa10-as,3.0,0.0,0.08353097311983591,0.16841073373867466,0.2156377561018908,0.04596386760607799,0.06142822785608381,0.05632022078259845,0.055679461584584006,0.033891632914606486,0.24758598911900054,0.3395665153684434,0.21927553303518446,0.04403779744163941,0.1090323284174772,0.05935861436853732,0.020613407824159644,0.0013429015735181293,0.011583537067455754,0.002994561774205408,0.007058426144864259,0.0058882307971889715,0.011641809931841864,0.008223458904155446,0.033499166996694,0.009959718684381086,0.008615353550721822,0.010488551515735555,0.02335394163779361,0.005497630372601814,1.0,4.0,1.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,linc01096,1.0,0.0,0.10035477361384998,0.08607933921506886,0.1410139614931393,0.11056804990208106,0.10828620224365014,0.08849806911941939,0.11565969452727165,0.10624893070275412,0.11006045537684994,0.15901915302810002,0.08103175550693688,0.09359560338878674,0.09626929126203132,0.08007906233622268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,znf750,0.0,4.0,0.8727493984167399,0.5757801524893741,0.622618784339087,0.7643223136507267,0.8062611991966065,0.7935885976490701,0.9454982282068756,0.941596772844826,0.8548753704367623,0.7255269494272261,0.6905250439174315,0.6118420525960204,0.7752475781825935,0.7558577741987635,0.0721084574391777,0.2387405917225334,0.2226118669092492,0.26529254710728645,0.09896667855765083,0.10356336835158908,0.02320169063837608,0.026966196165150717,0.13603922379496194,0.15435184359169846,0.16167907952275842,0.2971190684713211,0.24398911056480066,0.18289446209232432,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,hoxa13,3.0,0.0,0.20430396121226524,0.15572281098435106,0.332621658495658,0.12041677478027772,0.2378526628880653,0.3215007332371294,0.21446950250691624,0.2478675850557341,0.25768763252785043,0.3241549731655685,0.3108680079375363,0.06765136008907563,0.21133479418874251,0.2418379548467133,0.14180759817588426,0.11821254747836785,0.2280123199438843,0.06537871526203601,0.1888713377044917,0.26297625938660263,0.1608051860023192,0.1949758679095838,0.1250165705466387,0.1739510193055809,0.2597872925761331,0.026222348091071133,0.16582661290507011,0.2065908164390499,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,linc00261,2.0,15.0,0.38777643807691853,0.2689297555129068,0.2954920154934395,0.445193832687392,0.38773097823913466,0.3725048117094231,0.3539371661904674,0.35703230818736964,0.4224342447157622,0.3885130056769073,0.3201446425669596,0.40585122474440255,0.4610501928568265,0.4352601583663015,0.3621619575848893,0.1221946604510337,0.0987216300067144,0.4133201087478457,0.30834442114648875,0.14579397670648406,0.30148372814366525,0.3123216126083751,0.3946085830286287,0.3207524516771032,0.22509695398689214,0.3732355211206321,0.42447328102182,0.3936463153785341,0.1176470588235294,23.0,26.0,21.0,8.0,4.0,17.0,12.0,1.0,2.0,11.0,4.0,0.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0
7,frmd6-as2,0.0,1.0,0.7562224940460638,0.5026734613497477,0.4918038332390591,0.4896326257930442,0.5244509252651359,0.5179585280216429,0.9008825731108112,0.8938191381346967,0.8771960812229609,0.5725815612442551,0.56683053351376,0.25221533484291603,0.3358083175638982,0.3834034322472377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,linc00174,5.0,0.0,0.056661947851062135,0.21244528822347816,0.0620210205579139,0.08091945834366966,0.12694615333425854,0.10680735290990953,0.04435307693855745,0.05553114841992599,0.045663875173795936,0.11689303863832648,0.1265804782793107,0.14961494303581735,0.044239295984491625,0.03753218563622567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,4.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0
9,hoxc-as1,2.0,0.0,0.052597810085835486,0.14516999703040492,0.03910543747776632,0.40855094829565597,0.051314826104782,0.13878391257042882,0.033448539107696164,0.033042231881446955,0.09563878007687793,0.22770662833832864,0.1411046329956587,0.07973289837842447,0.06312652828156982,0.1821569713760899,0.043613527275457614,0.07566763480077063,0.022588601228826062,0.14075237484225053,0.02854149035355652,0.05959591978241836,0.022580919240971744,0.01934320930489789,0.08157588931865009,0.08407598104131286,0.06701345153651378,0.05810059653466961,0.055239124179018065,0.18738907510286654,1.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
