source target inter weight
Metabolic_pathways Axon_guidance overlap 1
Metabolic_pathways Signaling_pathways_regulating_pluripotency_of_stem_cells overlap 2
Metabolic_pathways Pathways_in_cancer overlap 6
Metabolic_pathways Breast_cancer overlap 1
Endocytosis Wnt_signaling_pathway overlap 1
Endocytosis TGF-beta_signaling_pathway overlap 3
Endocytosis Axon_guidance overlap 3
Endocytosis Hippo_signaling_pathway overlap 4
Endocytosis Signaling_pathways_regulating_pluripotency_of_stem_cells overlap 4
Endocytosis Pathways_in_cancer overlap 8
Endocytosis Breast_cancer overlap 1
Wnt_signaling_pathway TGF-beta_signaling_pathway overlap 4
Wnt_signaling_pathway Axon_guidance overlap 6
Wnt_signaling_pathway Hippo_signaling_pathway overlap 16
Wnt_signaling_pathway Signaling_pathways_regulating_pluripotency_of_stem_cells overlap 14
Wnt_signaling_pathway Pathways_in_cancer overlap 24
Wnt_signaling_pathway Breast_cancer overlap 16
TGF-beta_signaling_pathway Axon_guidance overlap 2
TGF-beta_signaling_pathway Hippo_signaling_pathway overlap 11
TGF-beta_signaling_pathway Signaling_pathways_regulating_pluripotency_of_stem_cells overlap 12
TGF-beta_signaling_pathway Pathways_in_cancer overlap 5
TGF-beta_signaling_pathway Breast_cancer overlap 1
Axon_guidance Hippo_signaling_pathway overlap 6
Axon_guidance Signaling_pathways_regulating_pluripotency_of_stem_cells overlap 6
Axon_guidance Pathways_in_cancer overlap 11
Axon_guidance Breast_cancer overlap 5
Hippo_signaling_pathway Signaling_pathways_regulating_pluripotency_of_stem_cells overlap 18
Hippo_signaling_pathway Pathways_in_cancer overlap 19
Hippo_signaling_pathway Breast_cancer overlap 13
Signaling_pathways_regulating_pluripotency_of_stem_cells Pathways_in_cancer overlap 23
Signaling_pathways_regulating_pluripotency_of_stem_cells Breast_cancer overlap 17
Pathways_in_cancer Breast_cancer overlap 30
