"","entrezgene_id","ensembl_gene_id","external_gene_name"
"1630","1630","ENSG00000187323","DCC"
"836","836","ENSG00000164305","CASP3"
"842","842","ENSG00000132906","CASP9"
"999","999","ENSG00000039068","CDH1"
"1499","1499","ENSG00000168036","CTNNB1"
"51384","51384","ENSG00000002745","WNT16"
"54361","54361","ENSG00000162552","WNT4"
"7471","7471","ENSG00000125084","WNT1"
"7472","7472","ENSG00000105989","WNT2"
"7473","7473","ENSG00000108379","WNT3"
"7474","7474","ENSG00000114251","WNT5A"
"7475","7475","ENSG00000115596","WNT6"
"7476","7476","ENSG00000154764","WNT7A"
"7477","7477","ENSG00000188064","WNT7B"
"7478","7478","ENSG00000061492","WNT8A"
"7479","7479","ENSG00000075290","WNT8B"
"7480","7480","ENSG00000169884","WNT10B"
"7481","7481","ENSG00000085741","WNT11"
"7482","7482","ENSG00000134245","WNT2B"
"7483","7483","ENSG00000143816","WNT9A"
"7484","7484","ENSG00000158955","WNT9B"
"80326","80326","ENSG00000135925","WNT10A"
"81029","81029","ENSG00000111186","WNT5B"
"89780","89780","ENSG00000154342","WNT3A"
"1495","1495","ENSG00000044115","CTNNA1"
"1496","1496","ENSG00000066032","CTNNA2"
"29119","29119","ENSG00000183230","CTNNA3"
"3688","3688","ENSG00000150093","ITGB1"
"1855","1855","ENSG00000107404","DVL1"
"1856","1856","ENSG00000004975","DVL2"
"1857","1857","ENSG00000161202","DVL3"
"10319","10319","ENSG00000050555","LAMC3"
"1282","1282","ENSG00000187498","COL4A1"
"1284","1284","ENSG00000134871","COL4A2"
"1285","1285","ENSG00000169031","COL4A3"
"1286","1286","ENSG00000081052","COL4A4"
"1287","1287","ENSG00000188153","COL4A5"
"1288","1288","ENSG00000197565","COL4A6"
"22798","22798","ENSG00000091128","LAMB4"
"2335","2335","ENSG00000115414","FN1"
"284217","284217","ENSG00000101680","LAMA1"
"3908","3908","ENSG00000196569","LAMA2"
"3909","3909","ENSG00000053747","LAMA3"
"3910","3910","ENSG00000112769","LAMA4"
"3911","3911","ENSG00000130702","LAMA5"
"3912","3912","ENSG00000091136","LAMB1"
"3913","3913","ENSG00000172037","LAMB2"
"3914","3914","ENSG00000196878","LAMB3"
"3915","3915","ENSG00000135862","LAMC1"
"3918","3918","ENSG00000058085","LAMC2"
"3655","3655","ENSG00000091409","ITGA6"
"3673","3673","ENSG00000164171","ITGA2"
"3674","3674","ENSG00000005961","ITGA2B"
"3675","3675","ENSG00000005884","ITGA3"
"3685","3685","ENSG00000138448","ITGAV"
"5747","5747","ENSG00000169398","PTK2"
"5728","5728","ENSG00000171862","PTEN"
"11211","11211","ENSG00000111432","FZD10"
"2535","2535","ENSG00000180340","FZD2"
"7855","7855","ENSG00000163251","FZD5"
"7976","7976","ENSG00000104290","FZD3"
"8321","8321","ENSG00000157240","FZD1"
"8322","8322","ENSG00000174804","FZD4"
"8323","8323","ENSG00000164930","FZD6"
"8324","8324","ENSG00000155760","FZD7"
"8325","8325","ENSG00000177283","FZD8"
"8326","8326","ENSG00000188763","FZD9"
"26060","26060","ENSG00000157500","APPL1"
"25","25","ENSG00000097007","ABL1"
"613","613","ENSG00000186716","BCR"
"1398","1398","ENSG00000167193","CRK"
"1399","1399","ENSG00000099942","CRKL"
"867","867","ENSG00000110395","CBL"
"5290","5290","ENSG00000121879","PIK3CA"
"5291","5291","ENSG00000051382","PIK3CB"
"5293","5293","ENSG00000171608","PIK3CD"
"5295","5295","ENSG00000145675","PIK3R1"
"5296","5296","ENSG00000105647","PIK3R2"
"8503","8503","ENSG00000117461","PIK3R3"
"6776","6776","ENSG00000126561","STAT5A"
"6777","6777","ENSG00000173757","STAT5B"
"3716","3716","ENSG00000162434","JAK1"
"3717","3717","ENSG00000096968","JAK2"
"3718","3718","ENSG00000105639","JAK3"
"1956","1956","ENSG00000146648","EGFR"
"2064","2064","ENSG00000141736","ERBB2"
"5156","5156","ENSG00000134853","PDGFRA"
"5159","5159","ENSG00000113721","PDGFRB"
"3480","3480","ENSG00000140443","IGF1R"
"3815","3815","ENSG00000157404","KIT"
"2322","2322","ENSG00000122025","FLT3"
"4233","4233","ENSG00000105976","MET"
"2260","2260","ENSG00000077782","FGFR1"
"2261","2261","ENSG00000068078","FGFR3"
"2263","2263","ENSG00000066468","FGFR2"
"2264","2264","ENSG00000160867","FGFR4"
"10342","10342","ENSG00000114354","TFG"
"4914","4914","ENSG00000198400","NTRK1"
"7170","7170","ENSG00000143549","TPM3"
"7175","7175","ENSG00000047410","TPR"
"7039","7039","ENSG00000163235","TGFA"
"1950","1950","ENSG00000138798","EGF"
"3082","3082","ENSG00000019991","HGF"
"5154","5154","ENSG00000197461","PDGFA"
"5155","5155","ENSG00000100311","PDGFB"
"3479","3479","ENSG00000017427","IGF1"
"3481","3481","ENSG00000167244","IGF2"
"367","367","ENSG00000169083","AR"
"3320","3320","ENSG00000080824","HSP90AA1"
"3326","3326","ENSG00000096384","HSP90AB1"
"7184","7184","ENSG00000166598","HSP90B1"
"2932","2932","ENSG00000082701","GSK3B"
"8312","8312","ENSG00000103126","AXIN1"
"8313","8313","ENSG00000168646","AXIN2"
"10297","10297","ENSG00000115266","APC2"
"324","324","ENSG00000134982","APC"
"1147","1147","ENSG00000213341","CHUK"
"3551","3551","ENSG00000104365","IKBKB"
"8517","8517","ENSG00000269335","IKBKG"
"2475","2475","ENSG00000198793","MTOR"
"572","572","ENSG00000002330","BAD"
"4193","4193","ENSG00000135679","MDM2"
"1027","1027","ENSG00000111276","CDKN1B"
"598","598","ENSG00000171552","BCL2L1"
"6774","6774","ENSG00000168610","STAT3"
"6772","6772","ENSG00000115415","STAT1"
"2885","2885","ENSG00000177885","GRB2"
"6654","6654","ENSG00000115904","SOS1"
"6655","6655","ENSG00000100485","SOS2"
"3265","3265","ENSG00000174775","HRAS"
"3845","3845","ENSG00000133703","KRAS"
"4893","4893","ENSG00000213281","NRAS"
"369","369","ENSG00000078061","ARAF"
"5894","5894","ENSG00000132155","RAF1"
"673","673","ENSG00000157764","BRAF"
"5604","5604","ENSG00000169032","MAP2K1"
"5605","5605","ENSG00000126934","MAP2K2"
"83593","83593","ENSG00000266094","RASSF5"
"11186","11186","ENSG00000068028","RASSF1"
"4792","4792","ENSG00000100906","NFKBIA"
"4790","4790","ENSG00000109320","NFKB1"
"4791","4791","ENSG00000077150","NFKB2"
"5970","5970","ENSG00000173039","RELA"
"6789","6789","ENSG00000101109","STK4"
"595","595","ENSG00000110092","CCND1"
"5979","5979","ENSG00000165731","RET"
"8030","8030","ENSG00000108091","CCDC6"
"8031","8031","ENSG00000266412","NCOA4"
"5335","5335","ENSG00000124181","PLCG1"
"5336","5336","ENSG00000197943","PLCG2"
"5900","5900","ENSG00000160271","RALGDS"
"5898","5898","ENSG00000006451","RALA"
"5899","5899","ENSG00000144118","RALB"
"387","387","ENSG00000067560","RHOA"
"5879","5879","ENSG00000136238","RAC1"
"5880","5880","ENSG00000128340","RAC2"
"5881","5881","ENSG00000169750","RAC3"
"10928","10928","ENSG00000017797","RALBP1"
"5337","5337","ENSG00000075651","PLD1"
"5338","5338","ENSG00000129219","PLD2"
"5599","5599","ENSG00000107643","MAPK8"
"5601","5601","ENSG00000050748","MAPK9"
"5602","5602","ENSG00000109339","MAPK10"
"998","998","ENSG00000070831","CDC42"
"3725","3725","ENSG00000177606","JUN"
"2353","2353","ENSG00000170345","FOS"
"4609","4609","ENSG00000136997","MYC"
"7157","7157","ENSG00000141510","TP53"
"51176","51176","ENSG00000138795","LEF1"
"6932","6932","ENSG00000081059","TCF7"
"6934","6934","ENSG00000148737","TCF7L2"
"83439","83439","ENSG00000152284","TCF7L1"
"5578","5578","ENSG00000154229","PRKCA"
"5579","5579","ENSG00000166501","PRKCB"
"5582","5582","ENSG00000126583","PRKCG"
"6469","6469","ENSG00000164690","SHH"
"5727","5727","ENSG00000185920","PTCH1"
"6608","6608","ENSG00000128602","SMO"
"51684","51684","ENSG00000107882","SUFU"
"2271","2271","ENSG00000091483","FH"
"112398","112398","ENSG00000269858","EGLN2"
"112399","112399","ENSG00000129521","EGLN3"
"54583","54583","ENSG00000135766","EGLN1"
"6923","6923","ENSG00000103363","ELOB"
"6921","6921","ENSG00000154582","ELOC"
"7428","7428","ENSG00000134086","VHL"
"8453","8453","ENSG00000108094","CUL2"
"9978","9978","ENSG00000100387","RBX1"
"2034","2034","ENSG00000116016","EPAS1"
"3091","3091","ENSG00000100644","HIF1A"
"405","405","ENSG00000143437","ARNT"
"9915","9915","ENSG00000172379","ARNT2"
"1387","1387","ENSG00000005339","CREBBP"
"2033","2033","ENSG00000100393","EP300"
"54205","54205","ENSG00000172115","CYCS"
"675","675","ENSG00000139618","BRCA2"
"5888","5888","ENSG00000051180","RAD51"
"4292","4292","ENSG00000076242","MLH1"
"4436","4436","ENSG00000095002","MSH2"
"7040","7040","ENSG00000105329","TGFB1"
"7042","7042","ENSG00000092969","TGFB2"
"7043","7043","ENSG00000119699","TGFB3"
"7046","7046","ENSG00000106799","TGFBR1"
"7048","7048","ENSG00000163513","TGFBR2"
"4087","4087","ENSG00000175387","SMAD2"
"4088","4088","ENSG00000166949","SMAD3"
"4089","4089","ENSG00000141646","SMAD4"
"581","581","ENSG00000087088","BAX"
"4437","4437","ENSG00000113318","MSH3"
"2956","2956","ENSG00000116062","MSH6"
"2122","2122","ENSG00000085276","MECOM"
"861","861","ENSG00000159216","RUNX1"
"1487","1487","ENSG00000159692","CTBP1"
"1488","1488","ENSG00000175029","CTBP2"
"3065","3065","ENSG00000116478","HDAC1"
"3066","3066","ENSG00000196591","HDAC2"
"2950","2950","ENSG00000084207","GSTP1"
"5468","5468","ENSG00000132170","PPARG"
"7849","7849","ENSG00000125618","PAX8"
"6256","6256","ENSG00000186350","RXRA"
"6257","6257","ENSG00000231321","RXRB"
"6258","6258","ENSG00000143171","RXRG"
"5915","5915","ENSG00000077092","RARB"
"3728","3728","ENSG00000173801","JUP"
"5914","5914","ENSG00000131759","RARA"
"7704","7704","ENSG00000109906","ZBTB16"
"5371","5371","ENSG00000140464","PML"
"862","862","ENSG00000079102","RUNX1T1"
"6688","6688","ENSG00000066336","SPI1"
"1050","1050","ENSG00000245848","CEBPA"
"4286","4286","ENSG00000187098","MITF"
"4149","4149","ENSG00000125952","MAX"
"7709","7709","ENSG00000116809","ZBTB17"
"894","894","ENSG00000118971","CCND2"
"896","896","ENSG00000112576","CCND3"
"1026","1026","ENSG00000124762","CDKN1A"
"1019","1019","ENSG00000135446","CDK4"
"1021","1021","ENSG00000105810","CDK6"
"5925","5925","ENSG00000139687","RB1"
"1869","1869","ENSG00000101412","E2F1"
"1870","1870","ENSG00000007968","E2F2"
"1871","1871","ENSG00000112242","E2F3"
"1017","1017","ENSG00000123374","CDK2"
"898","898","ENSG00000105173","CCNE1"
"9134","9134","ENSG00000175305","CCNE2"
"6502","6502","ENSG00000145604","SKP2"
"1163","1163","ENSG00000173207","CKS1B"
"1164","1164","ENSG00000123975","CKS2"
"890","890","ENSG00000145386","CCNA2"
"8900","8900","ENSG00000133101","CCNA1"
"1030","1030","ENSG00000147883","CDKN2B"
"1029","1029","ENSG00000147889","CDKN2A"
"355","355","ENSG00000026103","FAS"
"8772","8772","ENSG00000168040","FADD"
"841","841","ENSG00000064012","CASP8"
"637","637","ENSG00000015475","BID"
"650","650","ENSG00000125845","BMP2"
"652","652","ENSG00000125378","BMP4"
"2735","2735","ENSG00000111087","GLI1"
"64399","64399","ENSG00000164161","HHIP"
"8643","8643","ENSG00000117425","PTCH2"
"354","354","ENSG00000142515","KLK3"
"332","332","ENSG00000089685","BIRC5"
"5743","5743","ENSG00000073756","PTGS2"
"4843","4843","ENSG00000007171","NOS2"
"596","596","ENSG00000171791","BCL2"
"329","329","ENSG00000110330","BIRC2"
"330","330","ENSG00000023445","BIRC3"
"331","331","ENSG00000101966","XIAP"
"79444","79444","ENSG00000101197","BIRC7"
"7185","7185","ENSG00000056558","TRAF1"
"7186","7186","ENSG00000127191","TRAF2"
"7187","7187","ENSG00000131323","TRAF3"
"7188","7188","ENSG00000082512","TRAF5"
"7189","7189","ENSG00000175104","TRAF6"
"9618","9618","ENSG00000076604","TRAF4"
"2277","2277","ENSG00000165197","VEGFD"
"5228","5228","ENSG00000119630","PGF"
"7422","7422","ENSG00000112715","VEGFA"
"7423","7423","ENSG00000173511","VEGFB"
"7424","7424","ENSG00000150630","VEGFC"
