"","source","target"
"1","ENSG00000187323","ENSG00000132906"
"2","ENSG00000187323","ENSG00000157500"
"3","ENSG00000164305","ENSG00000187323"
"4","ENSG00000132906","ENSG00000164305"
"5","ENSG00000132906","ENSG00000165806"
"6","ENSG00000168036","ENSG00000138795"
"7","ENSG00000168036","ENSG00000081059"
"8","ENSG00000168036","ENSG00000148737"
"9","ENSG00000168036","ENSG00000152284"
"10","ENSG00000002745","ENSG00000111432"
"11","ENSG00000002745","ENSG00000180340"
"12","ENSG00000002745","ENSG00000163251"
"13","ENSG00000002745","ENSG00000104290"
"14","ENSG00000002745","ENSG00000157240"
"15","ENSG00000002745","ENSG00000174804"
"16","ENSG00000002745","ENSG00000164930"
"17","ENSG00000002745","ENSG00000155760"
"18","ENSG00000002745","ENSG00000177283"
"19","ENSG00000002745","ENSG00000188763"
"20","ENSG00000002745","ENSG00000070018"
"21","ENSG00000002745","ENSG00000162337"
"22","ENSG00000162552","ENSG00000111432"
"23","ENSG00000162552","ENSG00000180340"
"24","ENSG00000162552","ENSG00000163251"
"25","ENSG00000162552","ENSG00000104290"
"26","ENSG00000162552","ENSG00000157240"
"27","ENSG00000162552","ENSG00000174804"
"28","ENSG00000162552","ENSG00000164930"
"29","ENSG00000162552","ENSG00000155760"
"30","ENSG00000162552","ENSG00000177283"
"31","ENSG00000162552","ENSG00000188763"
"32","ENSG00000162552","ENSG00000070018"
"33","ENSG00000162552","ENSG00000162337"
"34","ENSG00000125084","ENSG00000111432"
"35","ENSG00000125084","ENSG00000180340"
"36","ENSG00000125084","ENSG00000163251"
"37","ENSG00000125084","ENSG00000104290"
"38","ENSG00000125084","ENSG00000157240"
"39","ENSG00000125084","ENSG00000174804"
"40","ENSG00000125084","ENSG00000164930"
"41","ENSG00000125084","ENSG00000155760"
"42","ENSG00000125084","ENSG00000177283"
"43","ENSG00000125084","ENSG00000188763"
"44","ENSG00000125084","ENSG00000070018"
"45","ENSG00000125084","ENSG00000162337"
"46","ENSG00000105989","ENSG00000111432"
"47","ENSG00000105989","ENSG00000180340"
"48","ENSG00000105989","ENSG00000163251"
"49","ENSG00000105989","ENSG00000104290"
"50","ENSG00000105989","ENSG00000157240"
"51","ENSG00000105989","ENSG00000174804"
"52","ENSG00000105989","ENSG00000164930"
"53","ENSG00000105989","ENSG00000155760"
"54","ENSG00000105989","ENSG00000177283"
"55","ENSG00000105989","ENSG00000188763"
"56","ENSG00000105989","ENSG00000070018"
"57","ENSG00000105989","ENSG00000162337"
"58","ENSG00000108379","ENSG00000111432"
"59","ENSG00000108379","ENSG00000180340"
"60","ENSG00000108379","ENSG00000163251"
"61","ENSG00000108379","ENSG00000104290"
"62","ENSG00000108379","ENSG00000157240"
"63","ENSG00000108379","ENSG00000174804"
"64","ENSG00000108379","ENSG00000164930"
"65","ENSG00000108379","ENSG00000155760"
"66","ENSG00000108379","ENSG00000177283"
"67","ENSG00000108379","ENSG00000188763"
"68","ENSG00000108379","ENSG00000070018"
"69","ENSG00000108379","ENSG00000162337"
"70","ENSG00000114251","ENSG00000111432"
"71","ENSG00000114251","ENSG00000180340"
