"ensembl_gene_id","gene_name"
"ENSG00000103479","RBL2"
"ENSG00000288630","AC009093.11"
"ENSG00000196296","ATP2A1"
"ENSG00000170892","TSEN34"
"ENSG00000111364","DDX55"
"ENSG00000143194","MAEL"
"ENSG00000233639","PANTR1"
"ENSG00000128011","LRFN1"
"ENSG00000177335","C8orf31"
"ENSG00000258947","TUBB3"
"ENSG00000163950","SLBP"
"ENSG00000270195","AC016773.2"
"ENSG00000013810","TACC3"
"ENSG00000235652","FBXO30-DT"
"ENSG00000028839","TBPL1"
"ENSG00000080603","SRCAP"
"ENSG00000261840","AC093249.6"
"ENSG00000260272","AC093525.2"
"ENSG00000185883","ATP6V0C"
"ENSG00000259784","AC093525.1"
"ENSG00000162066","AMDHD2"
"ENSG00000143552","NUP210L"
"ENSG00000170917","NUDT6"
"ENSG00000145375","SPATA5"
"ENSG00000049246","PER3"
"ENSG00000236266","Z98884.1"
"ENSG00000185697","MYBL1"
"ENSG00000147647","DPYS"
"ENSG00000151150","ANK3"
"ENSG00000238284","LINC01448"
"ENSG00000231312","MAP4K3-DT"
"ENSG00000152154","TMEM178A"
"ENSG00000126217","MCF2L"
"ENSG00000198010","DLGAP2"
"ENSG00000145901","TNIP1"
"ENSG00000234432","AC092171.3"
"ENSG00000273084","AC092171.5"
"ENSG00000153904","DDAH1"
"ENSG00000171798","KNDC1"
"ENSG00000141376","BCAS3"
"ENSG00000166856","GPR182"
"ENSG00000186787","SPIN2B"
"ENSG00000226310","AL022157.1"
"ENSG00000153113","CAST"
"ENSG00000071242","RPS6KA2"
"ENSG00000249141","AL159163.1"
"ENSG00000214960","CRPPA"
"ENSG00000110583","NAA40"
"ENSG00000258830","AC137834.1"
"ENSG00000179912","R3HDM2"
"ENSG00000188981","MSANTD1"
"ENSG00000163633","C4orf36"
"ENSG00000285458","AC093827.5"
"ENSG00000284237","LINC02767"
"ENSG00000227107","AC104667.1"
"ENSG00000184012","TMPRSS2"
"ENSG00000054690","PLEKHH1"
"ENSG00000085224","ATRX"
"ENSG00000185043","CIB1"
"ENSG00000183208","GDPGP1"
"ENSG00000284626","AC091167.7"
"ENSG00000136295","TTYH3"
"ENSG00000254706","AL512785.2"
"ENSG00000171722","SPATA46"
"ENSG00000140945","CDH13"
"ENSG00000171587","DSCAM"
"ENSG00000225968","ELFN1"
"ENSG00000106031","HOXA13"
"ENSG00000243478","AOX2P"
"ENSG00000050438","SLC4A8"
"ENSG00000183474","GTF2H2C"
"ENSG00000251226","LINC02714"
"ENSG00000125304","TM9SF2"
"ENSG00000280734","LINC01232"
"ENSG00000280710","AL139035.1"
"ENSG00000254470","AP5B1"
"ENSG00000132953","XPO4"
"ENSG00000227486","AL050309.1"
"ENSG00000108700","CCL8"
"ENSG00000287149","AC092640.1"
"ENSG00000163492","CCDC141"
"ENSG00000233395","LINC00841"
"ENSG00000242641","LINC00971"
"ENSG00000228649","SNHG26"
"ENSG00000221740","SNORD93"
"ENSG00000189375","TBC1D28"
"ENSG00000115641","FHL2"
"ENSG00000141564","RPTOR"
"ENSG00000231482","AC105450.1"
"ENSG00000115705","TPO"
"ENSG00000140988","RPS2"
"ENSG00000255198","SNHG9"
"ENSG00000273587","SNORA78"
"ENSG00000255513","AC005363.1"
"ENSG00000113504","SLC12A7"
"ENSG00000106003","LFNG"
"ENSG00000211786","TRAV8-2"
"ENSG00000110092","CCND1"
"ENSG00000204970","PCDHA1"
"ENSG00000204969","PCDHA2"
"ENSG00000255408","PCDHA3"
"ENSG00000204967","PCDHA4"
"ENSG00000204965","PCDHA5"
"ENSG00000081842","PCDHA6"
"ENSG00000204963","PCDHA7"
"ENSG00000204962","PCDHA8"
"ENSG00000204961","PCDHA9"
"ENSG00000250120","PCDHA10"
"ENSG00000164741","DLC1"
"ENSG00000164743","C8orf48"
"ENSG00000121964","GTDC1"
"ENSG00000182591","KRTAP11-1"
"ENSG00000144677","CTDSPL"
"ENSG00000199075","MIR26A1"
"ENSG00000113073","SLC4A9"
"ENSG00000154997","SEPTIN14"
"ENSG00000144677","CTDSPL"
"ENSG00000161013","MGAT4B"
"ENSG00000161011","SQSTM1"
"ENSG00000146776","ATXN7L1"
"ENSG00000258986","TMEM179"
"ENSG00000174444","RPL4"
"ENSG00000280554","AC116913.2"
"ENSG00000202529","SNORD18B"
"ENSG00000199673","SNORD16"
"ENSG00000200623","SNORD18A"
"ENSG00000174442","ZWILCH"
"ENSG00000196204","RNF216P1"
"ENSG00000279170","TSTD3"
"ENSG00000112237","CCNC"
"ENSG00000229334","AC046143.1"
"ENSG00000146540","C7orf50"
"ENSG00000164849","GPR146"
"ENSG00000226819","MEIS1-AS3"
"ENSG00000011052","NME1-NME2"
"ENSG00000243678","NME2"
"ENSG00000077097","TOP2B"
"ENSG00000184481","FOXO4"
"ENSG00000130695","CEP85"
"ENSG00000197747","S100A10"
"ENSG00000229021","AL450992.1"
"ENSG00000101194","SLC17A9"
"ENSG00000160446","ZDHHC12"
"ENSG00000223478","AL441992.1"
"ENSG00000231609","AC007098.1"
"ENSG00000115507","OTX1"
"ENSG00000166126","AMN"
"ENSG00000064218","DMRT3"
"ENSG00000011451","WIZ"
"ENSG00000254004","ZNF260"
"ENSG00000255713","OR4D2"
"ENSG00000214414","TRIM77"
"ENSG00000106367","AP1S1"
"ENSG00000160856","FCRL3"
"ENSG00000169862","CTNND2"
"ENSG00000082175","PGR"
"ENSG00000282728","PGR-AS1"
"ENSG00000155093","PTPRN2"
"ENSG00000152377","SPOCK1"
"ENSG00000165606","DRGX"
"ENSG00000125835","SNRPB"
"ENSG00000256566","AL049650.1"
"ENSG00000154781","CCDC174"
"ENSG00000105438","KDELR1"
"ENSG00000148948","LRRC4C"
"ENSG00000171606","ZNF274"
"ENSG00000172554","SNTG2"
"ENSG00000237036","ZEB1-AS1"
"ENSG00000148516","ZEB1"
"ENSG00000177738","AC025171.1"
"ENSG00000251131","AC025171.3"
"ENSG00000101337","TM9SF4"
"ENSG00000148408","CACNA1B"
"ENSG00000162641","AKNAD1"
"ENSG00000121940","CLCC1"
"ENSG00000110711","AIP"
"ENSG00000101203","COL20A1"
"ENSG00000179242","CDH4"
"ENSG00000241878","PISD"
"ENSG00000164898","FMC1"
"ENSG00000146963","LUC7L2"
"ENSG00000269955","FMC1-LUC7L2"
"ENSG00000266313","AC026254.2"
"ENSG00000002079","MYH16"
"ENSG00000284523","AC004834.1"
"ENSG00000196166","C8orf86"
"ENSG00000253361","AC069120.1"
"ENSG00000168779","SHOX2"
"ENSG00000163807","KIAA1143"
"ENSG00000163808","KIF15"
"ENSG00000177646","ACAD9"
"ENSG00000042062","RIPOR3"
