"ensembl_gene_id","gene_name"
"ENSG00000103479","RBL2"
"ENSG00000157470","FAM81A"
"ENSG00000066322","ELOVL1"
"ENSG00000283836","MIR6734"
"ENSG00000069345","DNAJA2"
"ENSG00000261173","AC018845.3"
"ENSG00000128011","LRFN1"
"ENSG00000177335","C8orf31"
"ENSG00000143390","RFX5"
"ENSG00000237976","RFX5-AS1"
"ENSG00000108654","DDX5"
"ENSG00000258890","CEP95"
"ENSG00000161956","SENP3"
"ENSG00000277957","SENP3-EIF4A1"
"ENSG00000161960","EIF4A1"
"ENSG00000264772","AC016876.3"
"ENSG00000080603","SRCAP"
"ENSG00000261840","AC093249.6"
"ENSG00000212719","LINC02693"
"ENSG00000198400","NTRK1"
"ENSG00000027644","INSRR"
"ENSG00000107771","CCSER2"
"ENSG00000143006","DMRTB1"
"ENSG00000168779","SHOX2"
"ENSG00000261308","FIGNL2"
"ENSG00000259887","FIGNL2-DT"
"ENSG00000286215","AL356534.1"
"ENSG00000146374","RSPO3"
"ENSG00000161202","DVL3"
"ENSG00000223797","ENTPD3-AS1"
"ENSG00000168032","ENTPD3"
"ENSG00000005075","POLR2J"
"ENSG00000176788","BASP1"
"ENSG00000143190","POU2F1"
"ENSG00000143319","ISG20L2"
"ENSG00000257883","AC125603.2"
"ENSG00000270149","AL591806.3"
"ENSG00000215845","TSTD1"
"ENSG00000187605","TET3"
"ENSG00000213420","GPC2"
"ENSG00000066923","STAG3"
"ENSG00000198010","DLGAP2"
"ENSG00000162482","AKR7A3"
"ENSG00000163884","KLF15"
"ENSG00000143507","DUSP10"
"ENSG00000126214","KLC1"
"ENSG00000126215","XRCC3"
"ENSG00000164062","APEH"
"ENSG00000121634","GJA8"
"ENSG00000280953","LINC01163"
"ENSG00000189134","NKAPL"
"ENSG00000181234","TMEM132C"
"ENSG00000245870","LINC00682"
"ENSG00000148826","NKX6-2"
"ENSG00000146842","TMEM209"
"ENSG00000165120","SSMEM1"
"ENSG00000143614","GATAD2B"
"ENSG00000234432","AC092171.3"
"ENSG00000273084","AC092171.5"
"ENSG00000078328","RBFOX1"
"ENSG00000171557","FGG"
"ENSG00000078328","RBFOX1"
"ENSG00000204956","PCDHGA1"
"ENSG00000081853","PCDHGA2"
"ENSG00000254245","PCDHGA3"
"ENSG00000254221","PCDHGB1"
"ENSG00000262576","PCDHGA4"
"ENSG00000253910","PCDHGB2"
"ENSG00000253485","PCDHGA5"
"ENSG00000262209","PCDHGB3"
"ENSG00000253731","PCDHGA6"
"ENSG00000253537","PCDHGA7"
"ENSG00000253953","PCDHGB4"
"ENSG00000253767","PCDHGA8"
"ENSG00000276547","PCDHGB5"
"ENSG00000261934","PCDHGA9"
"ENSG00000253305","PCDHGB6"
"ENSG00000253846","PCDHGA10"
"ENSG00000254122","PCDHGB7"
"ENSG00000253873","PCDHGA11"
"ENSG00000170412","GPRC5C"
"ENSG00000132323","ILKAP"
"ENSG00000144730","IL17RD"
"ENSG00000283217","AC068205.1"
"ENSG00000133315","MACROD1"
"ENSG00000256824","AP000721.2"
"ENSG00000256481","AP006333.2"
"ENSG00000125503","PPP1R12C"
"ENSG00000278828","H3C10"
"ENSG00000099308","MAST3"
"ENSG00000177663","IL17RA"
"ENSG00000245870","LINC00682"
"ENSG00000099797","TECR"
"ENSG00000166105","GLB1L3"
"ENSG00000155729","KCTD18"
"ENSG00000163535","SGO2"
"ENSG00000237463","LRRC52-AS1"
"ENSG00000162763","LRRC52"
"ENSG00000119760","SUPT7L"
"ENSG00000163798","SLC4A1AP"
"ENSG00000104970","KIR3DX1"
"ENSG00000135540","NHSL1"
"ENSG00000159842","ABR"
"ENSG00000111913","RIPOR2"
"ENSG00000283629","AC016526.4"
"ENSG00000185761","ADAMTSL5"
"ENSG00000185988","PLK5"
