"ensembl_gene_id","gene_name"
"ENSG00000288630","AC009093.11"
"ENSG00000196296","ATP2A1"
"ENSG00000177614","PGBD5"
"ENSG00000282564","AL133516.1"
"ENSG00000168405","CMAHP"
"ENSG00000079691","CARMIL1"
"ENSG00000206145","P2RX6P"
"ENSG00000003987","MTMR7"
"ENSG00000184786","TCTE3"
"ENSG00000130023","ERMARD"
"ENSG00000128652","HOXD3"
"ENSG00000224189","HAGLR"
"ENSG00000272729","AC009336.1"
"ENSG00000115155","OTOF"
"ENSG00000102309","PIN4"
"ENSG00000198034","RPS4X"
"ENSG00000132005","RFX1"
"ENSG00000168779","SHOX2"
"ENSG00000258661","AL079303.1"
"ENSG00000198807","PAX9"
"ENSG00000232377","AC016910.1"
"ENSG00000189030","VHLL"
"ENSG00000235217","TSPY26P"
"ENSG00000265241","RBM8A"
"ENSG00000234222","LIX1L-AS1"
"ENSG00000280778","AC243547.3"
"ENSG00000049768","FOXP3"
"ENSG00000286181","AC232271.3"
"ENSG00000049769","PPP1R3F"
"ENSG00000249378","LINC01060"
"ENSG00000178096","BOLA1"
"ENSG00000242247","ARFGAP3"
"ENSG00000100266","PACSIN2"
"ENSG00000187013","LINC02875"
"ENSG00000176783","RUFY1"
"ENSG00000084731","KIF3C"
"ENSG00000128268","MGAT3"
"ENSG00000198010","DLGAP2"
"ENSG00000101665","SMAD7"
"ENSG00000080561","MID2"
"ENSG00000135537","AFG1L"
"ENSG00000104435","STMN2"
"ENSG00000165283","STOML2"
"ENSG00000244067","GSTA2"
"ENSG00000227757","AP000282.1"
"ENSG00000257065","AL049844.1"
"ENSG00000135521","LTV1"
"ENSG00000102858","MGRN1"
"ENSG00000263955","RN7SL850P"
"ENSG00000261442","AC023830.1"
"ENSG00000092847","AGO1"
"ENSG00000197332","AC008543.1"
"ENSG00000175662","TOM1L2"
"ENSG00000283064","AL353759.1"
"ENSG00000274290","H2BC6"
"ENSG00000250286","AC021491.2"
"ENSG00000049283","EPN3"
"ENSG00000100207","TCF20"
"ENSG00000183454","GRIN2A"
"ENSG00000107957","SH3PXD2A"
"ENSG00000187824","TMEM220"
"ENSG00000285220","AC015908.7"
"ENSG00000263400","TMEM220-AS1"
"ENSG00000170145","SIK2"
"ENSG00000137497","NUMA1"
"ENSG00000251143","AP002490.1"
"ENSG00000092607","TBX15"
"ENSG00000102804","TSC22D1"
"ENSG00000182473","EXOC7"
"ENSG00000117280","RAB29"
"ENSG00000213445","SIPA1"
"ENSG00000196498","NCOR2"
"ENSG00000023171","GRAMD1B"
"ENSG00000143862","ARL8A"
"ENSG00000070831","CDC42"
"ENSG00000068383","INPP5A"
"ENSG00000178980","SELENOW"
"ENSG00000174963","ZIC4"
"ENSG00000152977","ZIC1"
"ENSG00000174963","ZIC4"
"ENSG00000133612","AGAP3"
"ENSG00000126351","THRA"
"ENSG00000126368","NR1D1"
"ENSG00000128652","HOXD3"
"ENSG00000153930","ANKFN1"
"ENSG00000231061","LINC00395"
"ENSG00000274052","OR7E156P"
"ENSG00000285764","AL445989.2"
"ENSG00000274020","LINC01138"
"ENSG00000224481","AC245100.1"
"ENSG00000235988","AC245100.5"
"ENSG00000203739","AL645568.1"
"ENSG00000128710","HOXD10"
"ENSG00000126778","SIX1"
"ENSG00000132581","SDF2"
"ENSG00000282278","AC058822.1"
"ENSG00000142621","FHAD1"
"ENSG00000187187","ZNF546"
"ENSG00000136535","TBR1"
"ENSG00000251621","AC009487.2"
"ENSG00000224076","AC009487.1"
"ENSG00000144290","SLC4A10"
"ENSG00000166016","ABTB2"
"ENSG00000188816","HMX2"
"ENSG00000163328","GPR155"
"ENSG00000213316","LTC4S"
"ENSG00000237813","AC002066.1"
"ENSG00000105971","CAV2"
"ENSG00000177238","TRIM72"
"ENSG00000169900","PYDC1"
"ENSG00000142330","CAPN10"
"ENSG00000146083","RNF44"
"ENSG00000270617","URGCP-MRPS24"
"ENSG00000106608","URGCP"
"ENSG00000053254","FOXN3"
"ENSG00000077044","DGKD"
"ENSG00000089116","LHX5"
"ENSG00000128710","HOXD10"
"ENSG00000128710","HOXD10"
"ENSG00000100441","KHNYN"
"ENSG00000100445","SDR39U1"
"ENSG00000164778","EN2"
"ENSG00000114388","NPRL2"
"ENSG00000114395","CYB561D2"
"ENSG00000272104","Z84492.1"
"ENSG00000272305","AC096887.1"
"ENSG00000249673","NOP14-AS1"
"ENSG00000087269","NOP14"
"ENSG00000092607","TBX15"
"ENSG00000116604","MEF2D"
"ENSG00000248265","FLJ12825"
"ENSG00000250654","AC023794.3"
"ENSG00000020577","SAMD4A"
"ENSG00000103544","VPS35L"
"ENSG00000103257","SLC7A5"
"ENSG00000286215","AL356534.1"
"ENSG00000134258","VTCN1"
