"ensembl_gene_id","gene_name"
"ENSG00000288630","AC009093.11"
"ENSG00000196296","ATP2A1"
"ENSG00000168405","CMAHP"
"ENSG00000079691","CARMIL1"
"ENSG00000111364","DDX55"
"ENSG00000116833","NR5A2"
"ENSG00000233639","PANTR1"
"ENSG00000170417","TMEM182"
"ENSG00000128011","LRFN1"
"ENSG00000169217","CD2BP2"
"ENSG00000260219","CD2BP2-DT"
"ENSG00000196420","S100A5"
"ENSG00000258199","AC073896.4"
"ENSG00000139613","SMARCC2"
"ENSG00000163528","CHCHD4"
"ENSG00000170876","TMEM43"
"ENSG00000235652","FBXO30-DT"
"ENSG00000181090","EHMT1"
"ENSG00000255585","AL590627.1"
"ENSG00000260272","AC093525.2"
"ENSG00000185883","ATP6V0C"
"ENSG00000259784","AC093525.1"
"ENSG00000162066","AMDHD2"
"ENSG00000123395","ATG101"
"ENSG00000147475","ERLIN2"
"ENSG00000233170","AC138356.2"
"ENSG00000168779","SHOX2"
"ENSG00000115596","WNT6"
"ENSG00000102924","CBLN1"
"ENSG00000163466","ARPC2"
"ENSG00000032389","EIPR1"
"ENSG00000175164","ABO"
"ENSG00000174963","ZIC4"
"ENSG00000152977","ZIC1"
"ENSG00000183955","KMT5A"
"ENSG00000225556","C2CD4D"
"ENSG00000234377","OBI1-AS1"
"ENSG00000152193","OBI1"
"ENSG00000189403","HMGB1"
"ENSG00000285840","AL353648.1"
"ENSG00000132554","RGS22"
"ENSG00000188517","COL25A1"
"ENSG00000246774","COL25A1-DT"
"ENSG00000007402","CACNA2D2"
"ENSG00000234432","AC092171.3"
"ENSG00000273084","AC092171.5"
"ENSG00000135127","BICDL1"
"ENSG00000179604","CDC42EP4"
"ENSG00000115286","NDUFS7"
"ENSG00000137473","TTC29"
"ENSG00000248764","AC092435.2"
"ENSG00000111058","ACSS3"
"ENSG00000164920","OSR2"
"ENSG00000177380","PPFIA3"
"ENSG00000257545","AC079385.1"
"ENSG00000111783","RFX4"
"ENSG00000173272","MZT2A"
"ENSG00000075886","TUBA3D"
"ENSG00000219438","TAFA5"
"ENSG00000146063","TRIM41"
"ENSG00000155849","ELMO1"
"ENSG00000103313","MEFV"
"ENSG00000115239","ASB3"
"ENSG00000119737","GPR75"
"ENSG00000163807","KIAA1143"
"ENSG00000163808","KIF15"
"ENSG00000143740","SNAP47"
"ENSG00000206560","ANKRD28"
"ENSG00000287042","AC090945.1"
"ENSG00000227265","GXYLT1P7"
"ENSG00000167580","AQP2"
"ENSG00000257588","AC025154.2"
"ENSG00000152977","ZIC1"
"ENSG00000130226","DPP6"
"ENSG00000277214","AC009159.2"
"ENSG00000151914","DST"
