"ensembl_gene_id","gene_name"
"ENSG00000103479","RBL2"
"ENSG00000288630","AC009093.11"
"ENSG00000196296","ATP2A1"
"ENSG00000168405","CMAHP"
"ENSG00000079691","CARMIL1"
"ENSG00000157470","FAM81A"
"ENSG00000066322","ELOVL1"
"ENSG00000283836","MIR6734"
"ENSG00000116833","NR5A2"
"ENSG00000170417","TMEM182"
"ENSG00000176225","RTTN"
"ENSG00000287646","AC021701.1"
"ENSG00000258199","AC073896.4"
"ENSG00000139613","SMARCC2"
"ENSG00000206199","ANKUB1"
"ENSG00000143552","NUP210L"
"ENSG00000147475","ERLIN2"
"ENSG00000233170","AC138356.2"
"ENSG00000107771","CCSER2"
"ENSG00000137251","TINAG"
"ENSG00000100030","MAPK1"
"ENSG00000132446","FTHL17"
"ENSG00000172554","SNTG2"
"ENSG00000214357","NEURL1B"
"ENSG00000182324","KCNJ14"
"ENSG00000268465","AC008403.1"
"ENSG00000268530","AC008403.2"
"ENSG00000112297","CRYBG1"
"ENSG00000185736","ADARB2"
"ENSG00000164050","PLXNB1"
"ENSG00000108001","EBF3"
"ENSG00000157368","IL34"
"ENSG00000060237","WNK1"
"ENSG00000104518","GSDMD"
"ENSG00000255308","CSRP3-AS1"
"ENSG00000129173","E2F8"
"ENSG00000260868","LINC01960"
"ENSG00000234753","FOXP4-AS1"
"ENSG00000226917","LINC01276"
"ENSG00000285016","AC017002.3"
"ENSG00000153107","ANAPC1"
"ENSG00000171940","ZNF217"
"ENSG00000124587","PEX6"
"ENSG00000265683","SYPL1P2"
"ENSG00000168397","ATG4B"
"ENSG00000162377","COA7"
"ENSG00000197321","SVIL"
"ENSG00000053524","MCF2L2"
"ENSG00000176597","B3GNT5"
"ENSG00000169429","CXCL8"
"ENSG00000127663","KDM4B"
"ENSG00000182667","NTM"
"ENSG00000124788","ATXN1"
"ENSG00000067082","KLF6"
"ENSG00000250317","SMIM20"
"ENSG00000163947","ARHGEF3"
"ENSG00000186451","SPATA12"
"ENSG00000249240","AC069368.1"
"ENSG00000185504","FAAP100"
"ENSG00000125741","OPA3"
"ENSG00000150760","DOCK1"
"ENSG00000188916","INSYN2A"
"ENSG00000277152","AC110048.2"
"ENSG00000020256","ZFP64"
"ENSG00000287511","AL109984.1"
"ENSG00000144535","DIS3L2"
