"ensembl_gene_id","gene_name"
"ENSG00000179774","ATOH7"
"ENSG00000169962","TAS1R3"
"ENSG00000166634","SERPINB12"
"ENSG00000258561","AL359232.1"
"ENSG00000171723","GPHN"
"ENSG00000071626","DAZAP1"
"ENSG00000100280","AP1B1"
"ENSG00000280968","AC002059.2"
"ENSG00000239127","SNORD125"
"ENSG00000128652","HOXD3"
"ENSG00000207744","MIR10B"
"ENSG00000170166","HOXD4"
"ENSG00000174469","CNTNAP2"
"ENSG00000032389","EIPR1"
"ENSG00000108106","UBE2S"
"ENSG00000186487","MYT1L"
"ENSG00000260971","AC119674.1"
"ENSG00000284686","AC119674.2"
"ENSG00000186976","EFCAB6"
"ENSG00000287076","AC092805.1"
"ENSG00000145335","SNCA"
"ENSG00000247775","SNCA-AS1"
"ENSG00000122435","TRMT13"
"ENSG00000122477","LRRC39"
"ENSG00000174963","ZIC4"
"ENSG00000152977","ZIC1"
"ENSG00000165995","CACNB2"
"ENSG00000068781","STON1-GTF2A1L"
"ENSG00000279956","AC073082.1"
"ENSG00000138039","LHCGR"
"ENSG00000270617","URGCP-MRPS24"
"ENSG00000140107","SLC25A47"
"ENSG00000113430","IRX4"
"ENSG00000249116","IRX4-AS1"
"ENSG00000167011","NAT16"
"ENSG00000197989","SNHG12"
"ENSG00000278274","SNORA61"
"ENSG00000273544","SNORA44"
"ENSG00000274582","SNORA16A"
"ENSG00000280498","SNORA16A"
"ENSG00000229953","AL590666.2"
"ENSG00000182324","KCNJ14"
"ENSG00000268465","AC008403.1"
"ENSG00000268530","AC008403.2"
"ENSG00000164920","OSR2"
"ENSG00000106404","CLDN15"
"ENSG00000185774","KCNIP4"
"ENSG00000250039","AC096719.1"
"ENSG00000278535","DHRS11"
"ENSG00000054793","ATP9A"
"ENSG00000010319","SEMA3G"
"ENSG00000172782","FADS6"
"ENSG00000167178","ISLR2"
"ENSG00000118420","UBE3D"
"ENSG00000266208","AC080112.1"
"ENSG00000183153","GJD3"
"ENSG00000073146","MOV10L1"
"ENSG00000280395","AL034546.1"
"ENSG00000100605","ITPK1"
"ENSG00000164040","PGRMC2"
"ENSG00000145335","SNCA"
"ENSG00000247775","SNCA-AS1"
"ENSG00000142765","SYTL1"
