"ensembl_gene_id","gene_name"
"ENSG00000177614","PGBD5"
"ENSG00000282564","AL133516.1"
"ENSG00000066322","ELOVL1"
"ENSG00000283836","MIR6734"
"ENSG00000116833","NR5A2"
"ENSG00000169962","TAS1R3"
"ENSG00000161956","SENP3"
"ENSG00000277957","SENP3-EIF4A1"
"ENSG00000161960","EIF4A1"
"ENSG00000264772","AC016876.3"
"ENSG00000287127","AC009879.4"
"ENSG00000246145","RRS1-AS1"
"ENSG00000179041","RRS1"
"ENSG00000285655","AC009879.2"
"ENSG00000011485","PPP5C"
"ENSG00000128652","HOXD3"
"ENSG00000207744","MIR10B"
"ENSG00000170166","HOXD4"
"ENSG00000121075","TBX4"
"ENSG00000237380","HOXD-AS2"
"ENSG00000099834","CDHR5"
"ENSG00000070031","SCT"
"ENSG00000163623","NKX6-1"
"ENSG00000168884","TNIP2"
"ENSG00000233860","SHROOM3-AS1"
"ENSG00000224218","AC107072.1"
"ENSG00000173991","TCAP"
"ENSG00000106785","TRIM14"
"ENSG00000226239","AL031658.1"
"ENSG00000101331","CCM2L"
"ENSG00000286836","AC092844.1"
"ENSG00000138363","ATIC"
"ENSG00000164062","APEH"
"ENSG00000282278","AC058822.1"
"ENSG00000072201","LNX1"
"ENSG00000248494","LNX1-AS2"
"ENSG00000136378","ADAMTS7"
"ENSG00000281880","PAUPAR"
"ENSG00000285283","AL035078.4"
"ENSG00000159322","ADPGK"
"ENSG00000260898","ADPGK-AS1"
"ENSG00000069011","PITX1"
"ENSG00000143355","LHX9"
"ENSG00000197406","DIO3"
"ENSG00000258399","AL117190.1"
"ENSG00000225746","MEG8"
"ENSG00000201672","SNORD113-4"
"ENSG00000224322","AC004009.1"
"ENSG00000288630","AC009093.11"
"ENSG00000198597","ZNF536"
"ENSG00000138363","ATIC"
"ENSG00000175793","SFN"
"ENSG00000074800","ENO1"
"ENSG00000230679","ENO1-AS1"
"ENSG00000104714","ERICH1"
"ENSG00000146047","H2BC1"
"ENSG00000164508","H2AC1"
"ENSG00000069011","PITX1"
"ENSG00000126583","PRKCG"
"ENSG00000112699","GMDS"
"ENSG00000285016","AC017002.3"
"ENSG00000153107","ANAPC1"
"ENSG00000137825","ITPKA"
"ENSG00000143355","LHX9"
"ENSG00000140836","ZFHX3"
"ENSG00000102935","ZNF423"
"ENSG00000167100","SAMD14"
"ENSG00000155093","PTPRN2"
"ENSG00000225365","AC078942.1"
"ENSG00000115598","IL1RL2"
"ENSG00000070831","CDC42"
"ENSG00000128709","HOXD9"
"ENSG00000237380","HOXD-AS2"
"ENSG00000160963","COL26A1"
"ENSG00000163947","ARHGEF3"
"ENSG00000116147","TNR"
"ENSG00000115306","SPTBN1"
"ENSG00000254827","SLC22A18AS"
"ENSG00000110628","SLC22A18"
"ENSG00000248673","LINC01331"
"ENSG00000249343","LINC01333"
"ENSG00000238230","LINC00391"
"ENSG00000249641","HOXC13-AS"
"ENSG00000164916","FOXK1"
"ENSG00000182111","ZNF716"
"ENSG00000214077","GNAQP1"
"ENSG00000182048","TRPC2"
"ENSG00000198685","LINC01565"
"ENSG00000122691","TWIST1"
"ENSG00000236536","AC003986.3"
"ENSG00000115295","CLIP4"
"ENSG00000145996","CDKAL1"
"ENSG00000113504","SLC12A7"
"ENSG00000228013","IL6R-AS1"
"ENSG00000160712","IL6R"
"ENSG00000099834","CDHR5"
"ENSG00000070031","SCT"
"ENSG00000036672","USP2"
"ENSG00000121454","LHX4"
"ENSG00000181409","AATK"
"ENSG00000211563","MIR3065"
"ENSG00000207736","MIR657"
"ENSG00000283604","MIR338"
"ENSG00000196248","OR10S1"
