"ensembl_gene_id","gene_name"
"ENSG00000103479","RBL2"
"ENSG00000072110","ACTN1"
"ENSG00000177614","PGBD5"
"ENSG00000282564","AL133516.1"
"ENSG00000111364","DDX55"
"ENSG00000163950","SLBP"
"ENSG00000270195","AC016773.2"
"ENSG00000013810","TACC3"
"ENSG00000196666","FAM180B"
"ENSG00000115596","WNT6"
"ENSG00000176566","DCAF4L2"
"ENSG00000128652","HOXD3"
"ENSG00000207744","MIR10B"
"ENSG00000170166","HOXD4"
"ENSG00000160999","SH2B2"
"ENSG00000171798","KNDC1"
"ENSG00000112576","CCND3"
"ENSG00000137413","TAF8"
"ENSG00000146540","C7orf50"
"ENSG00000112541","PDE10A"
"ENSG00000100346","CACNA1I"
"ENSG00000065882","TBC1D1"
"ENSG00000119547","ONECUT2"
"ENSG00000204595","DPRX"
"ENSG00000147724","FAM135B"
"ENSG00000162804","SNED1"
"ENSG00000268388","FENDRR"
"ENSG00000245864","MEF2C-AS2"
"ENSG00000250377","AC008525.1"
"ENSG00000171735","CAMTA1"
"ENSG00000245571","FAM111A-DT"
"ENSG00000198353","HOXC4"
"ENSG00000269699","ZIM2"
"ENSG00000198300","PEG3"
"ENSG00000268654","MIMT1"
"ENSG00000005243","COPZ2"
"ENSG00000207947","MIR152"
"ENSG00000257582","LINC01475"
"ENSG00000111452","ADGRD1"
"ENSG00000066735","KIF26A"
"ENSG00000285939","AC034268.2"
"ENSG00000141200","KIF2B"
"ENSG00000182158","CREB3L2"
"ENSG00000154118","JPH3"
"ENSG00000157933","SKI"
"ENSG00000129538","RNASE1"
"ENSG00000153303","FRMD1"
"ENSG00000128710","HOXD10"
"ENSG00000285939","AC034268.2"
"ENSG00000141200","KIF2B"
"ENSG00000229150","CRYGEP"
"ENSG00000121075","TBX4"
"ENSG00000155093","PTPRN2"
"ENSG00000286261","AC022137.3"
"ENSG00000241015","TPM3P9"
"ENSG00000158106","RHPN1"
"ENSG00000139915","MDGA2"
"ENSG00000198856","OSTC"
"ENSG00000213169","AC069218.1"
"ENSG00000235275","KRT18P16"
"ENSG00000170442","KRT86"
"ENSG00000135477","KRT87P"
"ENSG00000145075","CCDC39"
"ENSG00000285336","AC108734.4"
"ENSG00000239516","FLYWCH1P1"
"ENSG00000232551","MTCO1P14"
"ENSG00000111452","ADGRD1"
"ENSG00000204956","PCDHGA1"
"ENSG00000081853","PCDHGA2"
"ENSG00000254245","PCDHGA3"
"ENSG00000105246","EBI3"
"ENSG00000070950","RAD18"
"ENSG00000092607","TBX15"
"ENSG00000174963","ZIC4"
"ENSG00000152977","ZIC1"
"ENSG00000106018","VIPR2"
"ENSG00000164362","TERT"
"ENSG00000159842","ABR"
"ENSG00000231482","AC105450.1"
"ENSG00000115705","TPO"
"ENSG00000250166","AC053513.1"
"ENSG00000111731","C2CD5"
"ENSG00000141994","DUS3L"
"ENSG00000204956","PCDHGA1"
"ENSG00000081853","PCDHGA2"
"ENSG00000254245","PCDHGA3"
"ENSG00000254221","PCDHGB1"
"ENSG00000262576","PCDHGA4"
"ENSG00000253910","PCDHGB2"
"ENSG00000253485","PCDHGA5"
"ENSG00000262209","PCDHGB3"
"ENSG00000253731","PCDHGA6"
"ENSG00000253537","PCDHGA7"
"ENSG00000253953","PCDHGB4"
"ENSG00000253767","PCDHGA8"
"ENSG00000276547","PCDHGB5"
"ENSG00000261934","PCDHGA9"
"ENSG00000253305","PCDHGB6"
"ENSG00000253846","PCDHGA10"
"ENSG00000254122","PCDHGB7"
"ENSG00000253873","PCDHGA11"
"ENSG00000253159","PCDHGA12"
"ENSG00000111981","ULBP1"
"ENSG00000198216","CACNA1E"
"ENSG00000091317","CMTM6"
"ENSG00000183715","OPCML"
"ENSG00000254896","OPCML-IT1"
"ENSG00000092607","TBX15"
"ENSG00000256209","AC073578.1"
"ENSG00000182533","CAV3"
"ENSG00000070950","RAD18"
"ENSG00000164093","PITX2"
"ENSG00000185736","ADARB2"
"ENSG00000228144","AC078927.1"
"ENSG00000155957","TMBIM4"
