"ensembl_gene_id","gene_name"
"ENSG00000103479","RBL2"
"ENSG00000078668","VDAC3"
"ENSG00000224596","ZMIZ1-AS1"
"ENSG00000108175","ZMIZ1"
"ENSG00000170417","TMEM182"
"ENSG00000069345","DNAJA2"
"ENSG00000261173","AC018845.3"
"ENSG00000176225","RTTN"
"ENSG00000287646","AC021701.1"
"ENSG00000169217","CD2BP2"
"ENSG00000260219","CD2BP2-DT"
"ENSG00000123933","MXD4"
"ENSG00000117477","CCDC181"
"ENSG00000118194","TNNT2"
"ENSG00000286600","AC119427.2"
"ENSG00000206145","P2RX6P"
"ENSG00000160216","AGPAT3"
"ENSG00000169193","CCDC126"
"ENSG00000156973","PDE6D"
"ENSG00000163312","HELQ"
"ENSG00000163319","MRPS18C"
"ENSG00000138640","FAM13A"
"ENSG00000180346","TIGD2"
"ENSG00000130783","CCDC62"
"ENSG00000151846","PABPC3"
"ENSG00000122042","UBL3"
"ENSG00000259080","AC074091.2"
"ENSG00000176714","CCDC121"
"ENSG00000198522","GPN1"
"ENSG00000151150","ANK3"
"ENSG00000186834","HEXIM1"
"ENSG00000100814","CCNB1IP1"
"ENSG00000153303","FRMD1"
"ENSG00000171045","TSNARE1"
"ENSG00000022355","GABRA1"
"ENSG00000169884","WNT10B"
"ENSG00000132256","TRIM5"
"ENSG00000181009","OR52N5"
"ENSG00000145832","SLC25A48"
"ENSG00000015153","YAF2"
"ENSG00000134283","PPHLN1"
"ENSG00000096433","ITPR3"
"ENSG00000249041","AC009567.1"
"ENSG00000151962","RBM46"
"ENSG00000196498","NCOR2"
"ENSG00000066422","ZBTB11"
"ENSG00000256628","ZBTB11-AS1"
"ENSG00000239445","ST3GAL6-AS1"
"ENSG00000064225","ST3GAL6"
"ENSG00000196376","SLC35F1"
"ENSG00000196526","AFAP1"
"ENSG00000287164","AC112254.1"
"ENSG00000235724","AC009299.2"
"ENSG00000162927","PUS10"
"ENSG00000162928","PEX13"
"ENSG00000137821","LRRC49"
"ENSG00000129028","THAP10"
"ENSG00000197157","SND1"
"ENSG00000128594","LRRC4"
"ENSG00000268297","CLEC4GP1"
"ENSG00000285330","AC126283.2"
"ENSG00000205403","CFI"
"ENSG00000158092","NCK1"
"ENSG00000169213","RAB3B"
"ENSG00000108733","PEX12"
"ENSG00000006125","AP2B1"
"ENSG00000174891","RSRC1"
"ENSG00000123496","IL13RA2"
"ENSG00000225746","MEG8"
"ENSG00000202293","SNORD114-22"
"ENSG00000101670","LIPG"
"ENSG00000147124","ZNF41"
"ENSG00000196741","LINC01560"
"ENSG00000167693","NXN"
"ENSG00000260630","SNAI3-AS1"
"ENSG00000185669","SNAI3"
"ENSG00000150093","ITGB1"
"ENSG00000173406","DAB1"
"ENSG00000226759","DAB1-AS1"
"ENSG00000187231","SESTD1"
"ENSG00000288630","AC009093.11"
"ENSG00000284685","AC009093.10"
"ENSG00000198106","AC025279.1"
"ENSG00000260413","AC025279.2"
"ENSG00000264058","AC073508.2"
"ENSG00000213424","KRT222"
"ENSG00000144935","TRPC1"
"ENSG00000250838","AC091133.3"
"ENSG00000159217","IGF2BP1"
"ENSG00000121964","GTDC1"
"ENSG00000256206","AC018523.2"
"ENSG00000129084","PSMA1"
"ENSG00000118307","CASC1"
"ENSG00000205707","ETFRF1"
"ENSG00000065600","PACC1"
"ENSG00000120885","CLU"
"ENSG00000141664","ZCCHC2"
"ENSG00000274769","AC016747.4"
"ENSG00000212978","AC016747.1"
"ENSG00000237651","C2orf74"
"ENSG00000135697","BCO1"
"ENSG00000223944","AL353604.1"
"ENSG00000009709","PAX7"
"ENSG00000152348","ATG10"
"ENSG00000186468","RPS23"
"ENSG00000118492","ADGB"
"ENSG00000228283","KATNBL1P6"
"ENSG00000286827","AC072026.2"
"ENSG00000145087","STXBP5L"
"ENSG00000115525","ST3GAL5"
"ENSG00000232504","ST3GAL5-AS1"
"ENSG00000131149","GSE1"
"ENSG00000134532","SOX5"
"ENSG00000138356","AOX1"
"ENSG00000144724","PTPRG"
