"ensembl_gene_id","gene_name"
"ENSG00000103479","RBL2"
"ENSG00000078668","VDAC3"
"ENSG00000288630","AC009093.11"
"ENSG00000196296","ATP2A1"
"ENSG00000170892","TSEN34"
"ENSG00000111364","DDX55"
"ENSG00000157470","FAM81A"
"ENSG00000170417","TMEM182"
"ENSG00000179774","ATOH7"
"ENSG00000176225","RTTN"
"ENSG00000287646","AC021701.1"
"ENSG00000169217","CD2BP2"
"ENSG00000260219","CD2BP2-DT"
"ENSG00000169962","TAS1R3"
"ENSG00000258199","AC073896.4"
"ENSG00000139613","SMARCC2"
"ENSG00000178395","CCDC185"
"ENSG00000119314","PTBP3"
"ENSG00000139946","PELI2"
"ENSG00000277763","AL138995.1"
"ENSG00000167984","NLRC3"
"ENSG00000262312","AC004494.1"
"ENSG00000042445","RETSAT"
"ENSG00000115459","ELMOD3"
"ENSG00000140743","CDR2"
"ENSG00000260790","AC092338.2"
"ENSG00000082153","BZW1"
"ENSG00000007372","PAX6"
"ENSG00000281880","PAUPAR"
"ENSG00000285283","AL035078.4"
"ENSG00000181856","SLC2A4"
"ENSG00000111961","SASH1"
"ENSG00000048471","SNX29"
"ENSG00000124225","PMEPA1"
"ENSG00000139200","PIANP"
"ENSG00000214357","NEURL1B"
"ENSG00000134324","LPIN1"
"ENSG00000006327","TNFRSF12A"
"ENSG00000243660","ZNF487"
"ENSG00000162344","FGF19"
"ENSG00000188822","CNR2"
"ENSG00000115306","SPTBN1"
"ENSG00000238018","AC093110.1"
"ENSG00000163347","CLDN1"
"ENSG00000222046","DCDC2B"
"ENSG00000160055","TMEM234"
"ENSG00000239392","AL354989.2"
"ENSG00000171206","TRIM8"
"ENSG00000144406","UNC80"
"ENSG00000267750","RUNDC3A-AS1"
"ENSG00000108309","RUNDC3A"
"ENSG00000254409","AC087521.3"
"ENSG00000187479","C11orf96"
"ENSG00000145817","YIPF5"
"ENSG00000183775","KCTD16"
"ENSG00000145685","LHFPL2"
"ENSG00000130477","UNC13A"
"ENSG00000186635","ARAP1"
"ENSG00000185650","ZFP36L1"
"ENSG00000124782","RREB1"
"ENSG00000243629","LINC00880"
"ENSG00000241135","LINC00881"
"ENSG00000137073","UBAP2"
"ENSG00000118903","BTF3P11"
"ENSG00000117395","EBNA1BP2"
"ENSG00000243710","CFAP57"
"ENSG00000284410","MIR6733"
"ENSG00000102871","TRADD"
"ENSG00000175866","BAIAP2"
"ENSG00000162994","CLHC1"
"ENSG00000227799","CDPF1P1"
"ENSG00000145494","NDUFS6"
"ENSG00000249459","ZNF286B"
"ENSG00000240445","FOXO3B"
"ENSG00000121774","KHDRBS1"
"ENSG00000104369","JPH1"
"ENSG00000104381","GDAP1"
"ENSG00000111911","HINT3"
"ENSG00000175793","SFN"
"ENSG00000134107","BHLHE40"
"ENSG00000173918","C1QTNF1"
"ENSG00000287823","AL603783.1"
"ENSG00000125753","VASP"
"ENSG00000119042","SATB2"
"ENSG00000132669","RIN2"
"ENSG00000168924","LETM1"
"ENSG00000131788","PIAS3"
"ENSG00000103723","AP3B2"
"ENSG00000178764","ZHX2"
"ENSG00000124762","CDKN1A"
"ENSG00000283411","AL590627.3"
"ENSG00000203993","ARRDC1-AS1"
"ENSG00000181090","EHMT1"
"ENSG00000178038","ALS2CL"
"ENSG00000282278","AC058822.1"
"ENSG00000180613","GSX2"
"ENSG00000110987","BCL7A"
"ENSG00000129991","TNNI3"
"ENSG00000267110","AC010327.2"
"ENSG00000267577","AC010327.4"
"ENSG00000132485","ZRANB2"
"ENSG00000229956","ZRANB2-AS2"
"ENSG00000112559","MDFI"
"ENSG00000204991","SPIRE2"
"ENSG00000072110","ACTN1"
"ENSG00000166016","ABTB2"
"ENSG00000263874","LINC00672"
"ENSG00000012660","ELOVL5"
"ENSG00000184058","TBX1"
"ENSG00000141252","VPS53"
"ENSG00000173120","KDM2A"
"ENSG00000287934","AP001885.3"
"ENSG00000150394","CDH8"
"ENSG00000260115","AC012174.1"
"ENSG00000223343","AC137630.1"
"ENSG00000178467","P4HTM"
