"ensembl_gene_id","gene_name"
"ENSG00000103479","RBL2"
"ENSG00000078668","VDAC3"
"ENSG00000288630","AC009093.11"
"ENSG00000196296","ATP2A1"
"ENSG00000170892","TSEN34"
"ENSG00000176225","RTTN"
"ENSG00000287646","AC021701.1"
"ENSG00000286282","AC021733.4"
"ENSG00000136999","CCN3"
"ENSG00000117477","CCDC181"
"ENSG00000258947","TUBB3"
"ENSG00000106511","MEOX2"
"ENSG00000185650","ZFP36L1"
"ENSG00000188816","HMX2"
"ENSG00000175691","ZNF77"
"ENSG00000110218","PANX1"
"ENSG00000226124","FTCDNL1"
"ENSG00000203709","MIR29B2CHG"
"ENSG00000112246","SIM1"
"ENSG00000142700","DMRTA2"
"ENSG00000185630","PBX1"
"ENSG00000236130","PTCSC2"
"ENSG00000144036","EXOC6B"
"ENSG00000174697","LEP"
"ENSG00000187170","LCE4A"
"ENSG00000259215","AC027237.2"
"ENSG00000245750","DRAIC"
"ENSG00000131149","GSE1"
"ENSG00000112246","SIM1"
"ENSG00000121075","TBX4"
"ENSG00000237489","C10orf143"
"ENSG00000196557","CACNA1H"
"ENSG00000196557","CACNA1H"
"ENSG00000165970","SLC6A5"
"ENSG00000180053","NKX2-6"
"ENSG00000253471","AC012574.1"
"ENSG00000155093","PTPRN2"
"ENSG00000196557","CACNA1H"
"ENSG00000173200","PARP15"
"ENSG00000229637","PRAC2"
"ENSG00000273750","AC091179.3"
"ENSG00000159182","PRAC1"
"ENSG00000277542","AC091179.4"
"ENSG00000204519","ZNF551"
"ENSG00000269026","AC003006.1"
"ENSG00000179909","ZNF154"
"ENSG00000104518","GSDMD"
"ENSG00000121075","TBX4"
"ENSG00000287206","AC069421.3"
"ENSG00000065615","CYB5R4"
"ENSG00000283496","ZNF511-PRAP1"
"ENSG00000168594","ADAM29"
"ENSG00000112246","SIM1"
"ENSG00000181085","MAPK15"
"ENSG00000137203","TFAP2A"
"ENSG00000007372","PAX6"
"ENSG00000272259","LINC01749"
"ENSG00000101203","COL20A1"
"ENSG00000213420","GPC2"
"ENSG00000066923","STAG3"
"ENSG00000233191","AC006372.2"
"ENSG00000155093","PTPRN2"
"ENSG00000175161","CADM2"
"ENSG00000225746","MEG8"
"ENSG00000199914","SNORD114-16"
"ENSG00000137265","IRF4"
"ENSG00000092607","TBX15"
"ENSG00000170128","GPR25"
"ENSG00000204956","PCDHGA1"
"ENSG00000081853","PCDHGA2"
"ENSG00000254245","PCDHGA3"
"ENSG00000254221","PCDHGB1"
"ENSG00000262576","PCDHGA4"
"ENSG00000253910","PCDHGB2"
"ENSG00000253485","PCDHGA5"
"ENSG00000070366","SMG6"
"ENSG00000253471","AC012574.1"
"ENSG00000254002","AC012574.2"
"ENSG00000265788","NOS2P1"
"ENSG00000197177","ADGRA1"
"ENSG00000104447","TRPS1"
"ENSG00000112246","SIM1"
"ENSG00000259280","AC018563.1"
"ENSG00000171798","KNDC1"
"ENSG00000202264","RNA5SP77"
"ENSG00000179023","KLHDC7A"
"ENSG00000169840","GSX1"
"ENSG00000183117","CSMD1"
"ENSG00000174899","SLC66A1L"
"ENSG00000071242","RPS6KA2"
"ENSG00000156395","SORCS3"
"ENSG00000226828","LINC02774"
"ENSG00000259439","LINC01833"
"ENSG00000277311","AC012354.7"
"ENSG00000138180","CEP55"
"ENSG00000234377","OBI1-AS1"
"ENSG00000271776","AL445209.1"
