"ensembl_gene_id","gene_name"
"ENSG00000103479","RBL2"
"ENSG00000072110","ACTN1"
"ENSG00000143194","MAEL"
"ENSG00000166634","SERPINB12"
"ENSG00000169291","SHE"
"ENSG00000163239","TDRD10"
"ENSG00000142949","PTPRF"
"ENSG00000144647","POMGNT2"
"ENSG00000011347","SYT7"
"ENSG00000138640","FAM13A"
"ENSG00000180346","TIGD2"
"ENSG00000143869","GDF7"
"ENSG00000258910","LINC01956"
"ENSG00000139438","FAM222A"
"ENSG00000236445","LINC00608"
"ENSG00000163497","FEV"
"ENSG00000140836","ZFHX3"
"ENSG00000168575","SLC20A2"
"ENSG00000102760","RGCC"
"ENSG00000032389","EIPR1"
"ENSG00000136002","ARHGEF4"
"ENSG00000173821","RNF213"
"ENSG00000263069","RNF213-AS1"
"ENSG00000010671","BTK"
"ENSG00000241343","RPL36A"
"ENSG00000257529","RPL36A-HNRNPH2"
"ENSG00000153303","FRMD1"
"ENSG00000114520","SNX4"
"ENSG00000180638","SLC47A2"
"ENSG00000287544","AC097518.2"
"ENSG00000249008","AC097518.1"
"ENSG00000102780","DGKH"
"ENSG00000165152","PGAP4"
"ENSG00000120137","PANK3"
"ENSG00000109667","SLC2A9"
"ENSG00000286192","AC069288.1"
"ENSG00000122687","MRM2"
"ENSG00000106268","NUDT1"
"ENSG00000285446","Z84488.1"
"ENSG00000188820","CALHM6"
"ENSG00000097021","ACOT7"
"ENSG00000187535","IFT140"
"ENSG00000203709","MIR29B2CHG"
"ENSG00000136574","GATA4"
"ENSG00000077238","IL4R"
"ENSG00000274092","AC106739.1"
"ENSG00000285907","AL161910.1"
"ENSG00000130222","GADD45G"
"ENSG00000143793","C1orf35"
"ENSG00000131149","GSE1"
"ENSG00000287787","AC092275.1"
"ENSG00000179219","LINC00311"
"ENSG00000227757","AP000282.1"
"ENSG00000187862","TTC24"
"ENSG00000198286","CARD11"
"ENSG00000142599","RERE"
"ENSG00000232912","RERE-AS1"
"ENSG00000112541","PDE10A"
"ENSG00000111981","ULBP1"
"ENSG00000171483","SSX6P"
"ENSG00000250579","CTD-2297D10.2"
"ENSG00000145536","ADAMTS16"
"ENSG00000140993","TIGD7"
"ENSG00000132932","ATP8A2"
"ENSG00000103855","CD276"
"ENSG00000079819","EPB41L2"
"ENSG00000172380","GNG12"
"ENSG00000234390","USP27X-AS1"
"ENSG00000170430","MGMT"
"ENSG00000131652","THOC6"
"ENSG00000103145","HCFC1R1"
"ENSG00000101384","JAG1"
