"train_1year" "train_5year" "test_1year" "test_5year"
"BLCA_Genes and covars_1" 0.827706974357591 0.903521975429106 0.775564664242595 0.615619888601377
"BLCA_Genes_1" 0.791989465944032 0.891038709449424 0.767791415403869 0.601729705618708
"BLCA_Covars_1" 0.627759932527426 0.665943738321829 0.731666891559906 0.689376114200344
"BLCA_Genes and covars_2" 0.820532192018112 0.822922865807464 0.691493725466643 0.576062261469709
"BLCA_Genes_2" 0.791643938944682 0.778526004496045 0.601737832688727 0.530056694407174
"BLCA_Covars_2" 0.637188392482543 0.669950773031671 0.664332672894995 0.638516077708479
"BLCA_Genes and covars_3" 0.833133419716592 0.834548433847696 0.719076372401653 0.839876362823527
"BLCA_Genes_3" 0.820876340622685 0.803549247797194 0.689005504153883 0.724428959204617
"BLCA_Covars_3" 0.617467612649049 0.628507397190826 0.758853846467734 0.788950157269007
"BLCA_Genes and covars_4" 0.764734322624474 0.845146150094242 0.742899156603839 0.695805867695124
"BLCA_Genes_4" 0.731515967165142 0.792200196602094 0.651894831738483 0.581492262651971
"BLCA_Covars_4" 0.625890717985559 0.744400280901913 0.689273278597686 0.587745195082097
"BLCA_Genes and covars_5" 0.867524625175879 0.860540831558028 0.671458455201297 0.812722476267148
"BLCA_Genes_5" 0.843722285096164 0.825474647960131 0.594380062833955 0.729835382636397
"BLCA_Covars_5" 0.689843916145268 0.657874767454048 0.574262151120327 0.685005853620715
"BLCA_Genes and covars_6" 0.835520361997398 0.830532246124117 0.642933788049829 0.547878617412422
"BLCA_Genes_6" 0.784796894693775 0.742736545139406 0.59476248615012 0.5063766010519
"BLCA_Covars_6" 0.668118276627336 0.691658124162078 0.574004707391542 0.586667975026854
"BLCA_Genes and covars_7" 0.8403638964035 0.863937709349881 0.609031371631576 0.654683853970031
"BLCA_Genes_7" 0.813696669303176 0.812229920195375 0.580206505963087 0.647375815329298
"BLCA_Covars_7" 0.683943727013728 0.711335031791271 0.548569989542975 0.568589561865572
"BLCA_Genes and covars_8" 0.817264342581758 0.833262463298754 0.597906926043705 0.646353816477222
"BLCA_Genes_8" 0.795887186637677 0.815484462278206 0.584133272794756 0.625017932852276
"BLCA_Covars_8" 0.656356395632777 0.644855361383527 0.650716474108221 0.641570766261633
"BLCA_Genes and covars_9" 0.834670998566682 0.823048391721325 0.589873196923696 0.532390101786673
"BLCA_Genes_9" 0.829575323452601 0.794246464672216 0.50456684925477 0.558003648727957
"BLCA_Covars_9" 0.65923321719806 0.658046005246292 0.593332155771468 0.608276654310114
"BLCA_Genes and covars_10" 0.857409697291801 0.895579589819093 0.713163242050285 0.593853240872379
"BLCA_Genes_10" 0.811893805952188 0.826815338812067 0.629443204855068 0.651942516615853
"BLCA_Covars_10" 0.674937651763512 0.71893619046946 0.565242427647909 0.472071459246308
