"Concordance" "se"
"BLCA Genes and covars train" 0.803310206469949 0.0249686934790448
"BLCA Genes and covars test" 0.649659863945578 NA
"BLCA Genes train" 0.780740616902115 0.0267280558503421
"BLCA Genes test" 0.647108843537415 NA
"BLCA Covars train" 0.631823121290646 0.0330317881450025
"BLCA Covars test" 0.68213058419244 NA
"BLCA Genes and covars train1" 0.783304027463786 0.0231844653401397
"BLCA Genes and covars test1" 0.717666948436179 NA
"BLCA Genes train1" 0.745373859164364 0.0245623249150045
"BLCA Genes test1" 0.63905325443787 NA
"BLCA Covars train1" 0.627020011722348 0.0319434903827046
"BLCA Covars test1" 0.68452380952381 NA
"BLCA Genes and covars train2" 0.795807264158609 0.0241642113966545
"BLCA Genes and covars test2" 0.700277520814061 NA
"BLCA Genes train2" 0.777931258633298 0.0248753831722393
"BLCA Genes test2" 0.649398704902868 NA
"BLCA Covars train2" 0.614975217355976 0.0327031054791064
"BLCA Covars test2" 0.746505125815471 NA
"BLCA Genes and covars train3" 0.756008619260733 0.0263346457586055
"BLCA Genes and covars test3" 0.72212389380531 NA
"BLCA Genes train3" 0.728244654400796 0.0281780495150406
"BLCA Genes test3" 0.629203539823009 NA
"BLCA Covars train3" 0.625393668158462 0.0336514385977025
"BLCA Covars test3" 0.660107334525939 NA
"BLCA Genes and covars train4" 0.808744152572868 0.0261563810460787
"BLCA Genes and covars test4" 0.665983606557377 NA
"BLCA Genes train4" 0.778697373155811 0.0276554040149876
"BLCA Genes test4" 0.569672131147541 NA
"BLCA Covars train4" 0.652572867938107 0.0322386040468206
"BLCA Covars test4" 0.629375428963624 NA
"BLCA Genes and covars train5" 0.788088524310006 0.0241741519372408
"BLCA Genes and covars test5" 0.608076009501188 NA
"BLCA Genes train5" 0.73229086559002 0.0293666851282269
"BLCA Genes test5" 0.53840063341251 NA
"BLCA Covars train5" 0.650559685550714 0.0328475155251826
"BLCA Covars test5" 0.611510791366906 NA
"BLCA Genes and covars train6" 0.784298105859444 0.0294879241746433
"BLCA Genes and covars test6" 0.631879914224446 NA
"BLCA Genes train6" 0.756682598690034 0.0302505381045583
"BLCA Genes test6" 0.578984989278056 NA
"BLCA Covars train6" 0.651973800672685 0.0346785220681725
"BLCA Covars test6" 0.615218951902369 NA
"BLCA Genes and covars train7" 0.814217064103727 0.0220142396670879
"BLCA Genes and covars test7" 0.579826319305277 NA
"BLCA Genes train7" 0.798349805059389 0.0235257645128078
"BLCA Genes test7" 0.567134268537074 NA
"BLCA Covars train7" 0.659669961011878 0.0335137589231886
"BLCA Covars test7" 0.598111935266352 NA
"BLCA Genes and covars train8" 0.812278071490571 0.0236484418293582
"BLCA Genes and covars test8" 0.610505450941526 NA
"BLCA Genes train8" 0.798942633946185 0.0262523682712077
"BLCA Genes test8" 0.547076313181368 NA
"BLCA Covars train8" 0.637812672611063 0.0317506837955374
