"chisq" "df" "pval"
"BLCA" 102.980296748825 25 1.96587697235913e-11
"BLCA1" 68.6272561959072 23 1.97752849591774e-06
"BLCA2" 83.5080385266164 27 1.098484203112e-07
"BLCA3" 71.4575238367061 28 1.1614263976123e-05
"BLCA4" 82.1693021864178 25 5.19583708618611e-08
"BLCA5" 63.8552495087797 22 5.90349911758711e-06
"BLCA6" 66.5931109037888 20 6.48969360717693e-07
"BLCA7" 72.3380030026701 19 3.74272307472049e-08
"BLCA8" 95.2051383024683 40 2.13087266997086e-06
"BLCA9" 86.1583160924532 26 2.2839059052737e-08
"BLCA10" 68.1206775429113 25 7.28903830344301e-06
"BLCA11" 71.1419213170167 19 5.93510514087614e-08
"BLCA12" 60.6141321022315 17 8.31870247579513e-07
"BLCA13" 85.5446996032671 28 9.695993490593e-08
"BLCA14" 89.1444160168435 27 1.44806508392081e-08
"BLCA15" 89.2599074941071 22 4.57894036859767e-10
"BLCA16" 74.7959367916825 24 4.01357035469805e-07
"BLCA17" 80.3962757145298 26 1.82113868851446e-07
"BLCA18" 75.8425386081246 25 5.03977386698415e-07
"BLCA19" 76.2088898804597 27 1.39880954065568e-06
"BLCA20" 59.5137845327099 20 8.46675873175249e-06
"BLCA21" 96.380411397914 26 5.09440206827408e-10
"BLCA22" 80.2203645130761 29 1.07551361807271e-06
"BLCA23" 78.8211204141392 19 2.96649126918733e-09
"BLCA24" 93.5599904190982 29 1.02106404430325e-08
"BLCA25" 89.9987097351687 23 7.11221199816241e-10
"BLCA26" 79.7549270500846 23 3.47880713299706e-08
"BLCA27" 113.579867191048 30 1.19026259816512e-11
"BLCA28" 65.63483535393 21 1.72935154110738e-06
"BLCA29" 90.2646660502435 32 1.85794365323134e-07
"BRCA" 93.3499115388161 40 3.75176027991558e-06
"BRCA1" 92.6301528690317 33 1.44430157570006e-07
"BRCA2" 87.9640176921409 38 7.75957990856717e-06
"BRCA3" 78.660453471575 35 3.33972484933046e-05
"BRCA4" 95.2902409705098 43 7.87704260178477e-06
"BRCA5" 85.3648161299687 39 2.59885565529821e-05
"BRCA6" 100.869392569104 40 3.63925620967807e-07
"BRCA7" 88.6462845458346 42 3.50789725781216e-05
"BRCA8" 121.364523916245 38 1.2122650554273e-10
"BRCA9" 136.755835434006 52 1.50792784428508e-09
"BRCA10" 93.8694587714556 41 5.02293391142779e-06
"BRCA11" 106.395222066479 39 3.64911836725206e-08
"BRCA12" 130.210745268137 47 9.57955721037219e-10
"BRCA13" 136.717606243633 59 4.14421126656568e-08
"BRCA14" 126.10529956252 44 7.46646209550907e-10
"BRCA15" 79.1526160239857 36 4.45458803170775e-05
"BRCA16" 103.004911054635 41 3.01761961367875e-07
"BRCA17" 98.1500432243917 53 0.000161946878952172
"BRCA18" 112.981251558909 47 2.3418761401543e-07
"BRCA19" 100.577951273608 38 1.46399028712087e-07
"BRCA20" 91.3645956207677 39 4.352180381011e-06
"BRCA21" 157.868818283935 54 4.09496216365429e-12
"BRCA22" 89.3546022357923 42 2.86995545250811e-05
"BRCA23" 96.8727346888356 44 7.59877307731225e-06
"BRCA24" 86.7991132634114 50 0.000967991575977164
"BRCA25" 78.5382435955054 30 3.19841220520221e-06
"BRCA26" 111.053106231299 53 5.3695310353856e-06
"BRCA27" 65.3008539183203 29 0.000129494036456283
"BRCA28" 80.3226057196613 43 0.000481578329137575
"BRCA29" 93.6562491531815 41 5.35339517082014e-06
"COAD" 24.5032778555379 3 1.96101439786464e-05
"COAD1" 19.4607753522574 3 0.000219519165983152
"COAD2" 30.8062938080489 4 3.35293759209764e-06
"COAD3" 12.5913666025467 2 0.00184424868491468
"COAD4" 20.9390049136558 4 0.000325609774471604
"COAD5" 16.1457056737396 3 0.00105858954377214
"COAD6" 18.1166375908567 4 0.00117097474401954
"COAD7" 8.20606191317734 2 0.0165225203892897
"COAD8" 20.5980185314659 3 0.00012757843633528
"COAD9" 26.8416135340607 5 6.12395510320173e-05
"COAD10" 29.9673470176589 5 1.4968453492225e-05
"COAD11" 25.4046442109701 4 4.17105363728696e-05
"COAD12" 24.0337322369773 6 0.000514848955693749
"COAD13" 18.0898690767914 4 0.00118517355288913
"COAD14" 25.4950300290845 3 1.21652723912244e-05
"COAD15" 20.5768021378149 5 0.000973553605308357
"COAD16" 35.8650058308349 4 3.08475707870815e-07
"COAD17" 37.6535002190092 7 3.52613750755541e-06
"COAD18" 13.6460288322316 2 0.00108843497623
"COAD19" 23.3245635131908 4 0.000109055446391308
"COAD20" 28.7039730912695 4 8.97792597025912e-06
"COAD21" 12.7537317648304 2 0.0017004440053306
"COAD22" 14.5298810984876 4 0.00578250666600064
"COAD23" 21.5184996992724 3 8.21478864925062e-05
"COAD24" 23.7272490378569 4 9.0585083891019e-05
"COAD25" 19.2748821470752 3 0.000239851312624661
"COAD26" 13.9592265907503 2 0.000930663025324101
"COAD27" 25.3977851143622 3 1.27487341007725e-05
"COAD28" 19.6824076253596 1 9.1439298297343e-06
"COAD29" 20.1633401711115 3 0.00015701232704901
"ESCA" 28.2750408208574 8 0.000424680124522371
"ESCA1" 27.8392853921737 10 0.00191533108871789
"ESCA2" 30.3611942555196 6 3.35556127628517e-05
"ESCA3" 41.730448396304 8 1.52145133927781e-06
"ESCA4" 18.0567396460204 6 0.00609195337977169
"ESCA5" 28.9990702795153 6 6.08615884163221e-05
"ESCA6" 37.839801757052 10 4.04672674926111e-05
"ESCA7" 28.6584136192343 8 0.000363965176945371
"ESCA8" 30.2436616612465 6 3.53296025159198e-05
"ESCA9" 33.7556723627733 9 9.85710397155795e-05
"ESCA10" 31.5353307101255 8 0.000112784195582228
"ESCA11" 27.9435982809383 7 0.000225127528912786
"ESCA12" 31.2666901197122 6 2.25434617099815e-05
"ESCA13" 18.3231145161434 4 0.00106695598974861
"ESCA14" 30.0593081174469 8 0.000206335986768298
"ESCA15" 33.6766405288721 8 4.64887532956882e-05
"ESCA16" 37.2203420003735 14 0.000683140181508281
"ESCA17" 39.1627812646587 9 1.07674109561646e-05
"ESCA18" 15.587325751056 4 0.00362597688580365
"ESCA19" 12.2983173658468 2 0.00213527745994983
"ESCA20" 24.6187267353593 5 0.000165047543640208
"ESCA21" 10.0435711705262 4 0.039700092509628
"ESCA22" 14.901566845116 6 0.0210362756890602
"ESCA23" 17.7720611595497 3 0.000490117605695247
"ESCA24" 42.8503286509159 7 3.56510142488368e-07
"ESCA25" 23.952776825105 5 0.000221696690741463
"ESCA26" 35.555663526032 6 3.36261062626947e-06
"ESCA27" 14.465413841146 4 0.00594864360461807
"ESCA28" 24.2854198180359 6 0.000462737796700832
"ESCA29" 30.0676500362914 8 0.000205636288010671
"HNSC" 95.3303465840858 22 4.17755009890963e-11
"HNSC1" 85.5526415035298 21 9.33656886922195e-10
"HNSC2" 107.177149706826 34 1.66251642916014e-09
"HNSC3" 92.3222283743877 23 2.88801076342027e-10
"HNSC4" 77.2668140546791 18 2.56599452527694e-09
"HNSC5" 95.2381968728174 22 4.33347672528949e-11
"HNSC6" 105.374440945386 33 1.72302357644028e-09
"HNSC7" 112.852134972881 26 8.57506100410263e-13
"HNSC8" 85.7253838260571 23 3.66683146939701e-09
"HNSC9" 90.4304231920873 20 6.23287197109891e-11
"HNSC10" 111.02387769866 31 6.14054877057265e-11
"HNSC11" 99.9013167462512 31 3.58920838844141e-09
"HNSC12" 80.2994195535337 19 1.65117158390853e-09
"HNSC13" 74.2426929941601 24 4.89132112678288e-07
"HNSC14" 78.2787082338568 18 1.7114829255054e-09
"HNSC15" 82.8021892147053 23 1.1103960478427e-08
"HNSC16" 124.311044707018 24 1.64500216023621e-15
"HNSC17" 98.0428186719931 21 6.39249349854474e-12
"HNSC18" 83.5502211068217 17 8.91946424362192e-11
"HNSC19" 99.6528648579931 22 7.41658885276967e-12
"HNSC20" 100.754264350317 21 2.12224860598147e-12
"HNSC21" 116.839590588469 26 1.75611662154782e-13
"HNSC22" 99.2830394990776 20 1.69218782634666e-12
"HNSC23" 98.150960616681 31 6.71004962412966e-09
"HNSC24" 90.1795911511128 26 5.20408116504836e-09
"HNSC25" 83.7227254866716 24 1.53611535384902e-08
"HNSC26" 100.560189861684 24 2.41075318390599e-11
"HNSC27" 75.1269201529412 21 5.17817510605961e-08
"HNSC28" 108.552124124529 29 4.00726104927014e-11
"HNSC29" 106.76888802961 25 4.43768937101067e-12
"KIRC" 64.1912392407589 33 0.000916903674013228
"KIRC1" 79.3940813268991 39 0.000141657333259094
"KIRC2" 77.6412110224744 38 0.000155765372944904
"KIRC3" 82.5466747476753 38 3.86566590761183e-05
"KIRC4" 92.4170581920487 42 1.1894910449663e-05
"KIRC5" 62.6408967898716 34 0.00198305808239457
"KIRC6" 80.4308939019363 38 7.1040328789564e-05
"KIRC7" 80.8252273356777 40 0.000140700299534669
"KIRC8" 98.6914872774862 42 1.84060061137944e-06
"KIRC9" 76.8017852429182 37 0.000132543940181351
"KIRC10" 82.2856479776638 41 0.000138464134765176
"KIRC11" 69.7244859733371 40 0.00248473147468499
"KIRC12" 50.1617780502045 37 0.0729134734727335
"KIRC13" 94.6991973130321 42 6.08988697505308e-06
"KIRC14" 74.7178401194558 40 0.000714605488551673
"KIRC15" 75.5717218455334 41 0.000811555307123638
"KIRC16" 78.9754319647899 36 4.69225436946179e-05
"KIRC17" 77.1821615633066 39 0.000259422200098213
"KIRC18" 67.3281914963798 36 0.00118716105035411
"KIRC19" 84.9105580776711 43 0.00014472580192486
"KIRC20" 77.1839377471651 38 0.000176813062606742
"KIRC21" 85.2835926471112 37 1.11222550586657e-05
"KIRC22" 73.6593623751708 44 0.00335133633146448
"KIRC23" 90.2855269847576 40 9.40622694144281e-06
"KIRC24" 66.9027731646703 34 0.00063982366227047
"KIRC25" 76.5307594486947 35 6.26933735237275e-05
"KIRC26" 74.6073354932054 34 7.1907161384366e-05
"KIRC27" 81.7026471142235 38 4.93424935183103e-05
"KIRC28" 83.4377067692164 43 0.000214197962987665
"KIRC29" 69.1328025659666 36 0.000738590265326119
"KIRP" 9.1446115471567 2 0.0103341041211424
"KIRP1" 18.9339947309411 3 0.000282126076714627
"KIRP2" 15.556068227081 7 0.0294965288234783
"KIRP3" 20.6969601620051 8 0.00799751197821444
"KIRP4" 27.9673349317485 11 0.00327484660684465
"KIRP5" 29.3364743724619 13 0.00586292017168058
"KIRP6" 16.7187342664213 6 0.0103744646298396
"KIRP7" 14.2542435105911 5 0.0140725843963212
"KIRP8" 12.9240051628097 3 0.00480386426564571
"KIRP9" 31.9301084249924 13 0.00246025223459021
"KIRP10" 15.6347480485771 7 0.0286710879668064
"KIRP11" 9.68961239864055 3 0.0213974508018213
"KIRP12" 7.25490746162379 2 0.0265837877839106
"KIRP13" 12.6472663307647 3 0.00546496236583336
"KIRP14" 38.6002372899315 16 0.00124175311916854
"KIRP15" 20.4070655434548 5 0.00104790085679681
"KIRP16" 26.2836040504308 10 0.00337690730822643
"KIRP17" 37.0681819718011 10 5.50768307511415e-05
"KIRP18" 21.0241823762018 10 0.0209255698930579
"KIRP19" 19.3538214464858 6 0.00360599736900122
"KIRP20" 9.30518845449144 5 0.0974931064674458
"KIRP21" 10.26624407967 5 0.068033391794899
"KIRP22" 18.5461912507883 5 0.0023343113944223
"KIRP23" 33.1587993441623 13 0.00161290898070868
"KIRP24" 17.1066872293937 10 0.0720363465627261
"KIRP25" 21.1641144787095 7 0.00353469621518709
"KIRP26" 13.5694665619071 6 0.0348331781587824
"KIRP27" 26.8121489319433 8 0.0007617646122815
"KIRP28" 21.2586824664999 6 0.00164822092747023
"KIRP29" 2.26811703515884 2 0.32172487710847
"LIHC" 84.5645786093089 27 7.54225228940296e-08
"LIHC1" 45.2468058319468 17 0.000223733257823067
"LIHC2" 73.0089510865522 22 2.20513115684559e-07
"LIHC3" 43.2527634333631 18 0.000736961110592547
"LIHC4" 56.4800623146418 20 2.46046282846859e-05
"LIHC5" 58.7985646906056 16 8.33018147141007e-07
"LIHC6" 51.9971233798969 19 6.62272591950053e-05
"LIHC7" 38.7843981619435 14 0.000393774575488061
"LIHC8" 47.7036800166044 12 3.51943823931812e-06
"LIHC9" 63.3804102688318 20 2.10865251258282e-06
"LIHC10" 61.992643771684 12 9.75642187322218e-09
"LIHC11" 59.9133245775828 18 2.11312597501778e-06
"LIHC12" 49.764691595881 14 6.68586254745356e-06
"LIHC13" 48.8983033365683 14 9.32600036061459e-06
"LIHC14" 47.9477442813854 16 4.84058791504381e-05
"LIHC15" 33.736497937383 13 0.00131956100256318
"LIHC16" 48.9960943747658 19 0.000183884902299849
"LIHC17" 54.41088570936 13 5.12565250795282e-07
"LIHC18" 61.8485784892951 16 2.54732066464127e-07
"LIHC19" 38.1611875553164 14 0.000490950097030716
"LIHC20" 48.4427296882561 19 0.000221327163669612
"LIHC21" 47.5706026730007 16 5.54653535625516e-05
"LIHC22" 56.8967673829696 19 1.18555813126122e-05
"LIHC23" 58.6473275796793 15 4.30167696075822e-07
"LIHC24" 54.6717215309915 21 7.89140734869598e-05
"LIHC25" 48.1923478523036 15 2.36762193412866e-05
"LIHC26" 41.5371601487864 13 7.79306941420358e-05
"LIHC27" 55.9995159535678 21 5.04772217451404e-05
"LIHC28" 86.5285212085863 22 1.3262146332639e-09
"LIHC29" 40.5611574258218 12 5.80037882963262e-05
"LUAD" 29.7164322807154 10 0.000953048561562709
"LUAD1" 33.0585574259388 9 0.000130452916106056
"LUAD2" 33.5334887437433 9 0.000107795589279512
"LUAD3" 34.2497635658273 9 8.07508597026142e-05
"LUAD4" 43.9925046482 13 3.07770173031239e-05
"LUAD5" 23.1981293204037 10 0.0100384084261165
"LUAD6" 21.9701416801049 6 0.00122605101832073
"LUAD7" 28.6004920655349 11 0.00261727120989124
"LUAD8" 36.0872343021165 12 0.000313696388896799
"LUAD9" 26.6412042125229 9 0.00160317425067166
"LUAD10" 36.4795247160706 9 3.25837064051331e-05
"LUAD11" 26.8002314134001 7 0.000362025023297453
"LUAD12" 17.1308156427928 10 0.0715190175324097
"LUAD13" 30.8113822013348 12 0.00210472358584924
"LUAD14" 30.4006412346276 13 0.00412185763324959
"LUAD15" 30.0487656198303 9 0.000430417756518605
"LUAD16" 13.0131239251131 6 0.0428280107091854
