"num_sig_genes"
"BLCA_Genes and covars" 25
"BLCA_Genes and covars1" 23
"BLCA_Genes and covars2" 27
"BLCA_Genes and covars3" 28
"BLCA_Genes and covars4" 25
"BLCA_Genes and covars5" 22
"BLCA_Genes and covars6" 20
"BLCA_Genes and covars7" 19
"BLCA_Genes and covars8" 40
"BLCA_Genes and covars9" 26
"BLCA_Genes and covars10" 25
"BLCA_Genes and covars11" 19
"BLCA_Genes and covars12" 17
"BLCA_Genes and covars13" 28
"BLCA_Genes and covars14" 27
"BLCA_Genes and covars15" 22
"BLCA_Genes and covars16" 24
"BLCA_Genes and covars17" 26
"BLCA_Genes and covars18" 25
"BLCA_Genes and covars19" 27
"BLCA_Genes and covars20" 20
"BLCA_Genes and covars21" 26
"BLCA_Genes and covars22" 29
"BLCA_Genes and covars23" 19
"BLCA_Genes and covars24" 29
"BLCA_Genes and covars25" 23
"BLCA_Genes and covars26" 23
"BLCA_Genes and covars27" 30
"BLCA_Genes and covars28" 21
"BLCA_Genes and covars29" 32
"BRCA_Genes and covars" 40
"BRCA_Genes and covars1" 33
"BRCA_Genes and covars2" 38
"BRCA_Genes and covars3" 35
"BRCA_Genes and covars4" 43
"BRCA_Genes and covars5" 39
"BRCA_Genes and covars6" 40
"BRCA_Genes and covars7" 42
"BRCA_Genes and covars8" 38
"BRCA_Genes and covars9" 52
"BRCA_Genes and covars10" 41
"BRCA_Genes and covars11" 39
"BRCA_Genes and covars12" 47
"BRCA_Genes and covars13" 59
"BRCA_Genes and covars14" 44
"BRCA_Genes and covars15" 36
"BRCA_Genes and covars16" 41
"BRCA_Genes and covars17" 53
"BRCA_Genes and covars18" 47
"BRCA_Genes and covars19" 38
"BRCA_Genes and covars20" 39
"BRCA_Genes and covars21" 54
"BRCA_Genes and covars22" 42
"BRCA_Genes and covars23" 44
"BRCA_Genes and covars24" 50
"BRCA_Genes and covars25" 30
"BRCA_Genes and covars26" 53
"BRCA_Genes and covars27" 29
"BRCA_Genes and covars28" 43
"BRCA_Genes and covars29" 41
"COAD_Genes and covars" 3
"COAD_Genes and covars1" 3
"COAD_Genes and covars2" 4
"COAD_Genes and covars3" 2
"COAD_Genes and covars4" 4
"COAD_Genes and covars5" 3
"COAD_Genes and covars6" 4
"COAD_Genes and covars7" 2
"COAD_Genes and covars8" 3
"COAD_Genes and covars9" 5
"COAD_Genes and covars10" 5
"COAD_Genes and covars11" 4
"COAD_Genes and covars12" 6
"COAD_Genes and covars13" 4
"COAD_Genes and covars14" 3
"COAD_Genes and covars15" 5
"COAD_Genes and covars16" 4
"COAD_Genes and covars17" 7
"COAD_Genes and covars18" 2
"COAD_Genes and covars19" 4
"COAD_Genes and covars20" 4
"COAD_Genes and covars21" 2
"COAD_Genes and covars22" 4
"COAD_Genes and covars23" 3
"COAD_Genes and covars24" 4
"COAD_Genes and covars25" 3
"COAD_Genes and covars26" 2
"COAD_Genes and covars27" 3
"COAD_Genes and covars28" 1
"COAD_Genes and covars29" 3
"ESCA_Genes and covars" 8
"ESCA_Genes and covars1" 10
"ESCA_Genes and covars2" 6
"ESCA_Genes and covars3" 8
"ESCA_Genes and covars4" 6
"ESCA_Genes and covars5" 6
"ESCA_Genes and covars6" 10
"ESCA_Genes and covars7" 8
"ESCA_Genes and covars8" 6
"ESCA_Genes and covars9" 9
"ESCA_Genes and covars10" 8
"ESCA_Genes and covars11" 7
"ESCA_Genes and covars12" 6
"ESCA_Genes and covars13" 4
"ESCA_Genes and covars14" 8
"ESCA_Genes and covars15" 8
"ESCA_Genes and covars16" 14
"ESCA_Genes and covars17" 9
"ESCA_Genes and covars18" 4
"ESCA_Genes and covars19" 2
"ESCA_Genes and covars20" 5
"ESCA_Genes and covars21" 4
"ESCA_Genes and covars22" 6
"ESCA_Genes and covars23" 3
"ESCA_Genes and covars24" 7
"ESCA_Genes and covars25" 5
"ESCA_Genes and covars26" 6
"ESCA_Genes and covars27" 4
"ESCA_Genes and covars28" 6
"ESCA_Genes and covars29" 8
"HNSC_Genes and covars" 22
"HNSC_Genes and covars1" 21
"HNSC_Genes and covars2" 34
"HNSC_Genes and covars3" 23
"HNSC_Genes and covars4" 18
"HNSC_Genes and covars5" 22
"HNSC_Genes and covars6" 33
"HNSC_Genes and covars7" 26
"HNSC_Genes and covars8" 23
"HNSC_Genes and covars9" 20
"HNSC_Genes and covars10" 31
"HNSC_Genes and covars11" 31
"HNSC_Genes and covars12" 19
"HNSC_Genes and covars13" 24
"HNSC_Genes and covars14" 18
"HNSC_Genes and covars15" 23
"HNSC_Genes and covars16" 24
"HNSC_Genes and covars17" 21
"HNSC_Genes and covars18" 17
"HNSC_Genes and covars19" 22
"HNSC_Genes and covars20" 21
"HNSC_Genes and covars21" 26
"HNSC_Genes and covars22" 20
"HNSC_Genes and covars23" 31
"HNSC_Genes and covars24" 26
"HNSC_Genes and covars25" 24
"HNSC_Genes and covars26" 24
"HNSC_Genes and covars27" 21
"HNSC_Genes and covars28" 29
"HNSC_Genes and covars29" 25
"KIRC_Genes and covars" 33
"KIRC_Genes and covars1" 39
"KIRC_Genes and covars2" 38
"KIRC_Genes and covars3" 38
"KIRC_Genes and covars4" 42
"KIRC_Genes and covars5" 34
"KIRC_Genes and covars6" 38
"KIRC_Genes and covars7" 40
"KIRC_Genes and covars8" 42
"KIRC_Genes and covars9" 37
"KIRC_Genes and covars10" 41
"KIRC_Genes and covars11" 40
"KIRC_Genes and covars12" 37
"KIRC_Genes and covars13" 42
"KIRC_Genes and covars14" 40
"KIRC_Genes and covars15" 41
"KIRC_Genes and covars16" 36
"KIRC_Genes and covars17" 39
"KIRC_Genes and covars18" 36
"KIRC_Genes and covars19" 43
"KIRC_Genes and covars20" 38
"KIRC_Genes and covars21" 37
"KIRC_Genes and covars22" 44
"KIRC_Genes and covars23" 40
"KIRC_Genes and covars24" 34
"KIRC_Genes and covars25" 35
"KIRC_Genes and covars26" 34
