feature,importances,count
215686,"[0.04211, 0.0147, 0.01773, 0.02576]",4
77064,"[0.03419, 0.04288, 0.0522, 0.00713]",4
185000,"[0.1398, 0.05291, 0.05652]",3
230575,"[0.1133, 0.0929, 0.3074]",3
114530,"[0.06221, 0.07588, 0.17003]",3
132840,"[0.03322, 0.03863, 0.27129]",3
42699,"[0.16851, 0.35089, 0.1934]",3
72519,"[0.01634, 0.02775, 0.01076]",3
123548,"[0.02645, 0.02075, 0.02651]",3
183978,"[0.13467, 0.08082, 0.14576]",3
0,"[0.00283, 0.0274]",2
38,"[0.00556, 0.00963]",2
87985,"[0.00972, 0.0186]",2
213039,"[0.06212, 0.03635]",2
9824,"[0.02243, 0.0524]",2
237094,"[0.0468, 0.05507]",2
186429,"[0.29957, 0.08191]",2
55865,"[0.23694, 0.26939]",2
150348,"[0.06286, 0.04204]",2
181627,"[0.17401, 0.06365]",2
232414,"[0.0823, 0.13565]",2
157898,"[0.00589, 0.03559]",2
56924,"[0.00455, 0.02957]",2
249367,"[0.13297, 0.04057]",2
4518,[0.00436],1
91864,[0.00966],1
57288,[0.00488],1
22792,[0.00343],1
19630,[0.01344],1
8498,[0.01572],1
5225,[0.00658],1
105710,[0.00162],1
73,[0.02629],1
2121,[0.0162],1
1930,[0.02373],1
75156,[0.0029],1
82168,[0.0128],1
85950,[0.00122],1
91023,[0.01804],1
152799,[0.00333],1
176666,[0.05941],1
204145,[0.00199],1
211585,[0.00279],1
212118,[0.00235],1
223479,[0.00036],1
9,[0.00284],1
17,[0.01185],1
121118,[0.00246],1
742,[0.01033],1
902,[0.03338],1
34,[0.0159],1
216307,[0.01476],1
133822,[0.05294],1
1486,[0.00562],1
178796,[0.01077],1
184240,[0.07004],1
195113,[0.00389],1
204883,[0.00476],1
21,[0.08561],1
319,[0.01104],1
2048,[0.00238],1
151629,[0.00408],1
57330,[0.01028],1
90288,[0.00498],1
98684,[0.00706],1
132044,[0.02216],1
160944,[0.02822],1
201652,[0.03005],1
139997,[0.01329],1
127652,[0.03175],1
95773,[0.00586],1
69426,[0.00869],1
13434,[0.0164],1
5915,[0.01239],1
5258,[0.00891],1
3280,[0.00354],1
2244,[0.00183],1
1660,[0.00347],1
384,[0.01126],1
40,[0.02881],1
22,[0.02604],1
12,[0.03504],1
250379,[0.0029],1
213304,[0.01482],1
192213,[0.00304],1
57432,[0.03992],1
505,[0.01305],1
55199,[0.00094],1
41035,[0.0128],1
15953,[0.0146],1
9163,[0.02651],1
3082,[0.01338],1
2567,[0.00467],1
1235,[0.00239],1
4,[0.0124],1
226626,[0.17378],1
173913,[0.05502],1
162426,[0.23532],1
158768,[0.02688],1
137069,[0.08308],1
95208,[0.10464],1
81098,[0.03891],1
54126,[0.01954],1
33165,[0.02458],1
36219,[0.00972],1
22157,[0.04546],1
10226,[0.02262],1
275838,[0.00503],1
258256,[0.0106],1
161515,[0.38],1
143839,[0.00719],1
117128,[0.0036],1
80013,[0.05161],1
65307,[0.02086],1
15559,[0.08163],1
9132,[0.02554],1
4200,[0.03919],1
3393,[0.00093],1
197,[0.01638],1
27414,[0.01096],1
114877,[0.00773],1
43815,[0.01692],1
256209,[0.00254],1
28586,[0.00399],1
25687,[0.00459],1
22806,[0.00484],1
15591,[0.04919],1
9768,[0.01298],1
5553,[0.00607],1
89,[0.00941],1
401,[0.00788],1
273,[0.01601],1
270,[0.00087],1
74,[2e-05],1
62,[0.02552],1
6,[0.0013],1
258695,[0.00502],1
195486,[0.00731],1
140920,[0.01179],1
169402,[0.01541],1
115976,[0.0195],1
92333,[0.01107],1
56660,[0.00353],1
48995,[0.12922],1
16515,[0.00138],1
7598,[0.00687],1
4425,[0.02512],1
311,[0.00686],1
299,[0.02924],1
1,[0.00263],1
206040,[0.02492],1
158344,[0.00714],1
154647,[0.00331],1
244282,[0.08188],1
