feature,importances,count
112353,"[0.27419, 0.08043, 0.11683, 0.07993, 0.10862, 0.44744, 0.3137]",7
165611,"[0.25204, 0.10758, 0.26506, 0.35196, 0.1855, 0.23174]",6
33250,"[0.0212, 0.01046, 0.00263, 0.03711, 0.00825, 0.00215]",6
114335,"[0.02119, 0.17991, 0.02675, 0.0986, 0.02488]",5
169532,"[0.00726, 0.00461, 0.00489, 0.10354, 0.00372]",5
138210,"[0.00299, 0.0036, 0.00251, 0.00392, 0.00417]",5
95653,"[0.01416, 0.00911, 0.01354, 0.0069, 0.00368]",5
42406,"[0.00903, 0.0141, 0.00727, 0.03005, 0.0265]",5
37043,"[0.0038, 0.01165, 0.00158, 0.00242, 0.00616]",5
186270,"[0.02032, 0.06495, 0.02416, 0.01762, 0.03531]",5
56694,"[0.02457, 0.08243, 0.05519, 0.01158]",4
264545,"[0.00665, 0.00978, 0.06279, 0.01478]",4
108925,"[0.10016, 0.47217, 0.22958, 0.00932]",4
115850,"[0.00531, 0.00575, 0.00851, 0.00889]",4
191014,"[0.00366, 0.01271, 0.0325, 0.00274]",4
257980,"[0.00961, 0.00332, 0.00267, 0.00944]",4
13797,"[0.00204, 0.00705, 0.00341, 0.02099]",4
231274,"[0.01379, 0.01919, 0.01236]",3
29380,"[0.04427, 0.00223, 0.00687]",3
178915,"[0.01198, 0.03909, 0.01867]",3
238395,"[0.00515, 0.34953, 0.02538]",3
60541,"[0.00199, 0.05167]",2
97204,"[0.0026, 0.00551]",2
1,"[0.00758, 0.00572]",2
140602,"[0.00413, 0.01186]",2
167146,"[0.00816, 0.01101]",2
254832,"[0.01678, 0.00586]",2
67350,"[0.0656, 0.08142]",2
69281,"[0.00178, 0.002]",2
83760,"[0.03859, 0.03726]",2
170689,"[0.00311, 0.00186]",2
191050,"[0.10717, 0.1185]",2
122789,"[0.00724, 0.00544]",2
158035,"[0.00797, 0.01143]",2
84770,"[0.0366, 0.0418]",2
50132,"[0.00352, 0.00342]",2
40662,"[0.00234, 0.00209]",2
215869,"[0.05091, 0.02017]",2
6877,"[0.00498, 0.0098]",2
212427,"[0.09691, 0.02859]",2
275657,"[0.00697, 0.00442]",2
127433,"[0.00496, 0.00362]",2
