feature nr: 10, importance: 0.00093
feature nr: 6904, importance: 0.00262
feature nr: 10359, importance: 0.02258
feature nr: 11296, importance: 0.00037
feature nr: 16079, importance: 0.02017
feature nr: 16963, importance: 0.00756
feature nr: 17263, importance: 0.10319
feature nr: 29380, importance: 0.04427
feature nr: 37043, importance: 0.01165
feature nr: 47721, importance: 0.00725
feature nr: 56694, importance: 0.02457
feature nr: 72893, importance: 0.01441
feature nr: 83760, importance: 0.03859
feature nr: 90970, importance: 0.00142
feature nr: 95565, importance: 0.00265
feature nr: 108327, importance: 0.00023
feature nr: 112353, importance: 0.11683
feature nr: 114335, importance: 0.17991
feature nr: 115850, importance: 0.00575
feature nr: 128570, importance: 0.00343
feature nr: 138210, importance: 0.00299
feature nr: 150268, importance: 0.01113
feature nr: 150460, importance: 0.00081
feature nr: 158035, importance: 0.00797
feature nr: 165611, importance: 0.26506
feature nr: 167146, importance: 0.01101
feature nr: 186270, importance: 0.06495
feature nr: 191014, importance: 0.00366
feature nr: 219816, importance: 0.00249
feature nr: 250396, importance: 0.00218
feature nr: 257980, importance: 0.00961
feature nr: 264545, importance: 0.00978
