feature,importances,count
8649,"[0.0727, 0.0727, 0.81825]",3
12674,"[0.81825, 0.81825, 1.0]",3
6970,"[0.0727, 0.0727, 0.0727]",3
496,"[0.04471, 0.04471, 0.04471]",3
759,"[0.02962, 0.05227]",2
71382,[0.01435],1
283,[0.04471],1
2673,[0.02037],1
17202,[0.02962],1
47380,[0.01434],1
3840,[0.04234],1
5648,[0.03461],1
1382,[0.05227],1
6767,[0.06601],1
27941,[0.02378],1
38232,[0.01991],1
57453,[0.02859],1
111756,[0.01676],1
135454,[0.68946],1
136051,[0.0142],1
255007,[0.01208],1
14553,[0.02037],1
83654,[0.02962],1
112984,[0.02037],1
188762,[0.01435],1
31205,[0.81825],1
189895,[0.0199],1
6472,[0.04234],1
31977,[0.68945],1
50769,[0.02858],1
94075,[0.02378],1
113152,[0.03462],1
160051,[0.01676],1
174004,[0.0142],1
251328,[0.01208],1
6645,[0.02962],1
625,[0.04471],1
24410,[0.81825],1
81214,[0.01435],1
109334,[0.02962],1
175519,[0.02037],1
40603,[0.02037],1
6095,[0.06601],1
252494,[0.01435],1
