feature,importances,count
175047,"[0.08592, 0.05039, 0.21551, 0.02411, 0.07303, 0.01543]",6
211805,"[0.43092, 0.31276, 0.13949, 0.15752, 0.19827]",5
260204,"[0.34059, 0.35639, 0.06416, 0.29933, 0.35772]",5
10365,"[0.00905, 0.03602, 0.07888, 0.02015]",4
152,"[0.05623, 0.02557, 0.04778, 0.04118]",4
150732,"[0.00923, 0.03691, 0.01431]",3
62209,"[0.01795, 0.01201, 0.08011]",3
1,"[0.00832, 0.00387, 0.00315]",3
204275,"[0.03824, 0.01776]",2
263527,"[0.07307, 0.02671]",2
1282,"[0.0527, 0.02087]",2
161,"[0.01418, 0.00771]",2
194020,"[0.02523, 0.0434]",2
263253,"[0.02824, 0.02216]",2
103696,"[0.07122, 0.02756]",2
8740,"[0.1334, 0.0664]",2
7,"[0.0037, 0.0026]",2
77603,"[0.03748, 0.02285]",2
1884,"[0.00959, 0.00727]",2
410,"[0.02235, 0.05954]",2
33359,"[0.11986, 0.19408]",2
89097,"[0.04941, 0.02869]",2
18548,[0.05576],1
171773,[0.0105],1
693,[0.03429],1
269566,[0.04069],1
263880,[0.00946],1
236118,[0.04731],1
235718,[0.05153],1
219992,[0.10099],1
155371,[0.04259],1
169702,[0.01267],1
118358,[0.00527],1
110291,[0.01908],1
107835,[0.01513],1
101825,[0.08705],1
42173,[0.00639],1
25680,[0.02399],1
24187,[0.04038],1
178994,[0.00699],1
6068,[0.0022],1
1376,[0.02172],1
115107,[0.16336],1
1844,[0.00373],1
20618,[0.00313],1
81849,[0.00856],1
16040,[0.00107],1
14440,[0.00317],1
1950,[0.01852],1
89713,[0.20996],1
102865,[0.00401],1
1065,[0.00347],1
450,[0.01115],1
289,[0.00917],1
85,[0.00136],1
80,[0.01187],1
74,[0.00591],1
11,[0.0221],1
260394,[0.02201],1
174361,[0.01002],1
149066,[0.07875],1
51018,[0.03323],1
37081,[0.04084],1
4658,[0.0079],1
126,[0.00838],1
236165,[0.01575],1
55,[0.0056],1
4284,[0.01798],1
1074,[0.00505],1
1057,[0.008],1
136497,[0.01413],1
122102,[0.07492],1
52663,[0.02154],1
29807,[0.03731],1
10995,[0.00394],1
108,[0.01268],1
65,[0.01174],1
4,[0.00948],1
249877,[0.01459],1
165585,[0.01901],1
143815,[0.08416],1
139340,[0.04679],1
108853,[0.00597],1
16242,[0.01718],1
4497,[0.00262],1
454,[0.0047],1
403,[0.00953],1
2355,[0.01003],1
4705,[0.02338],1
5,[0.00014],1
93755,[0.12543],1
246136,[0.05005],1
172390,[0.22097],1
151394,[0.0293],1
78006,[0.11314],1
9512,[0.09671],1
266770,[0.04773],1
79,[0.18548],1
233733,[0.02419],1
195940,[0.18088],1
185122,[0.01952],1
36578,[0.01153],1
24481,[0.00696],1
8506,[0.02949],1
4398,[0.02156],1
2483,[0.02701],1
664,[0.03874],1
147,[0.00129],1
174397,[0.00615],1
111345,[0.08806],1
265396,[0.03542],1
