feature nr: 1, importance: 0.00387
feature nr: 1057, importance: 0.00800
feature nr: 1074, importance: 0.00505
feature nr: 2355, importance: 0.01003
feature nr: 4284, importance: 0.01798
feature nr: 4705, importance: 0.02338
feature nr: 10365, importance: 0.03602
feature nr: 33359, importance: 0.19408
feature nr: 62209, importance: 0.01201
feature nr: 89097, importance: 0.02869
feature nr: 93755, importance: 0.12543
feature nr: 111345, importance: 0.08806
feature nr: 150732, importance: 0.00923
feature nr: 174397, importance: 0.00615
feature nr: 175047, importance: 0.05039
feature nr: 194020, importance: 0.02523
feature nr: 260204, importance: 0.35639
