feature,importances,count
82124,"[0.27414, 0.27016, 0.12652, 0.27525, 0.41177, 0.05034]",6
71741,"[0.11461, 0.02715, 0.02721, 0.01836, 0.01516, 0.01626]",6
84459,"[0.19799, 0.04886, 0.03096, 0.05607, 0.03729]",5
173639,"[0.04361, 0.02428, 0.19745, 0.00791, 0.07364]",5
1220,"[0.16789, 0.00602, 0.05571, 0.04635, 0.07043]",5
29285,"[0.01037, 0.00801, 0.0091, 0.01653]",4
41104,"[0.41868, 0.04773, 0.40098, 0.11076]",4
145649,"[0.02764, 0.00752, 0.00385, 0.00603]",4
60753,"[0.0156, 0.0521, 0.07826, 0.26687]",4
1930,"[0.00509, 0.00014, 0.01273]",3
49331,"[0.01686, 0.01442, 0.01419]",3
90239,"[0.09817, 0.01935, 0.02219]",3
138036,"[0.02723, 0.00302, 0.01002]",3
43149,"[0.06038, 0.02486, 0.02846]",3
1,"[0.00788, 0.01738, 0.00014]",3
203626,"[0.0119, 0.00408, 0.00218]",3
222696,"[0.05755, 0.05312, 0.21854]",3
108795,"[0.01733, 0.01467, 0.01733]",3
71676,"[0.01855, 0.00487, 0.00547]",3
122912,"[0.10755, 0.02955]",2
158,"[0.00204, 0.00268]",2
8663,"[0.00836, 0.0075]",2
107095,"[0.01458, 0.0051]",2
9,"[0.0001, 0.00256]",2
65124,"[0.14926, 0.13377]",2
18,"[0.00526, 0.00423]",2
1073,"[0.00943, 0.01665]",2
228716,"[0.0077, 0.01753]",2
235129,"[0.00592, 0.00701]",2
241811,"[0.0165, 0.00553]",2
242655,"[0.02213, 0.01311]",2
288,"[0.0243, 0.00398]",2
4311,"[0.01558, 0.02177]",2
209,"[0.00083, 0.00138]",2
20511,"[0.02281, 0.00363]",2
40,"[0.01516, 0.00555]",2
165329,"[0.008, 0.01031]",2
184837,"[0.10597, 0.36501]",2
5642,"[0.00632, 0.00592]",2
63998,[0.00928],1
21,[0.01566],1
138886,[0.00513],1
143314,[0.00139],1
160110,[0.01278],1
160420,[0.00037],1
12006,[0.0156],1
5245,[0.00418],1
175493,[0.00079],1
243617,[0.00624],1
250,[0.00038],1
348,[0.04045],1
84,[0.00278],1
56375,[0.03978],1
1515,[0.00412],1
7526,[0.00378],1
8652,[0.01193],1
12507,[0.00065],1
16,[0.02981],1
272195,[0.00018],1
212823,[0.01953],1
19834,[0.00332],1
114634,[0.0004],1
30708,[0.00088],1
100202,[0.00221],1
15323,[0.00118],1
254990,[0.10707],1
59843,[0.00052],1
61592,[0.00755],1
175,[0.00105],1
427,[0.00175],1
1015,[0.00157],1
2303,[0.00447],1
3235,[0.00164],1
25239,[0.00285],1
26867,[0.00254],1
38290,[0.00048],1
123075,[0.0],1
123782,[0.00152],1
169663,[0.00054],1
201651,[0.00788],1
216243,[0.01284],1
245321,[0.00018],1
251039,[0.00464],1
266881,[0.02125],1
274030,[0.1871],1
132,[0.01411],1
231322,[0.00117],1
207748,[0.02328],1
57,[0.0011],1
96817,[0.00595],1
138855,[0.01343],1
143586,[0.09702],1
144841,[0.00382],1
233056,[0.00249],1
95441,[0.0008],1
4,[0.00052],1
486,[0.00215],1
189858,[0.05117],1
1700,[0.00638],1
5573,[0.01266],1
15388,[0.00296],1
33346,[0.00487],1
78496,[0.06978],1
123643,[0.0032],1
127222,[0.01032],1
98381,[0.00242],1
3847,[0.00074],1
94203,[0.24758],1
74,[0.00257],1
667,[0.00161],1
5994,[0.01654],1
6533,[0.01439],1
6850,[0.0423],1
21020,[0.00858],1
36694,[0.0085],1
40554,[0.00221],1
69570,[0.01038],1
91952,[0.00494],1
117113,[0.0023],1
132163,[0.00302],1
136697,[0.00106],1
140048,[0.00514],1
141649,[0.00071],1
144305,[0.00787],1
153,[0.0055],1
31,[0.01388],1
83577,[0.00061],1
17,[0.02841],1
14477,[0.01393],1
16462,[0.00353],1
27600,[0.01018],1
27960,[0.03924],1
33055,[0.00338],1
131288,[0.00128],1
145408,[0.07226],1
211670,[0.00185],1
234640,[0.00387],1
235886,[0.00022],1
243417,[0.00578],1
252947,[0.00768],1
256788,[0.0002],1
257634,[0.00034],1
258445,[0.00663],1
158218,[0.00345],1
186632,[0.00311],1
188715,[0.00724],1
196351,[0.00251],1
532,[0.00415],1
2872,[0.00117],1
4825,[0.00106],1
4398,[0.00332],1
8882,[0.00506],1
14112,[0.0034],1
21567,[0.00211],1
29726,[0.00141],1
30143,[0.01055],1
32323,[0.00276],1
33292,[0.01683],1
47695,[0.05256],1
60938,[0.086],1
67168,[0.00267],1
79054,[0.00134],1
60,[0.00089],1
39,[0.00137],1
32,[0.00403],1
18993,[0.00731],1
205967,[0.00025],1
250696,[0.00617],1
7,[0.001],1
106,[0.0035],1
168,[0.00941],1
10324,[0.00082],1
62107,[0.00214],1
24,[0.00134],1
62911,[0.00811],1
157225,[0.00557],1
160518,[0.00424],1
228549,[0.007],1
243517,[0.00212],1
268122,[0.00326],1
274862,[0.0016],1
