feature nr: 7, importance: 0.00100
feature nr: 106, importance: 0.00350
feature nr: 168, importance: 0.00941
feature nr: 288, importance: 0.02430
feature nr: 1930, importance: 0.00509
feature nr: 8663, importance: 0.00750
feature nr: 10324, importance: 0.00082
feature nr: 18993, importance: 0.00731
feature nr: 29285, importance: 0.00910
feature nr: 41104, importance: 0.41868
feature nr: 43149, importance: 0.06038
feature nr: 49331, importance: 0.01442
feature nr: 62107, importance: 0.00214
feature nr: 62911, importance: 0.00811
feature nr: 65124, importance: 0.14926
feature nr: 71676, importance: 0.01855
feature nr: 71741, importance: 0.02721
feature nr: 82124, importance: 0.12652
feature nr: 84459, importance: 0.03096
feature nr: 107095, importance: 0.01458
feature nr: 108795, importance: 0.01467
feature nr: 157225, importance: 0.00557
feature nr: 160518, importance: 0.00424
feature nr: 173639, importance: 0.02428
feature nr: 228549, importance: 0.00700
feature nr: 243517, importance: 0.00212
feature nr: 268122, importance: 0.00326
