feature,importances,count
136155,"[0.15743, 0.18901, 0.12802, 0.08777, 0.07818, 0.13303, 0.05633, 0.09258]",8
165740,"[0.63757, 0.54461, 0.48226, 0.61938, 0.37219, 0.67956, 0.29843, 0.59233]",8
32,"[0.00174, 0.00156, 0.00173, 0.00144, 0.00111, 0.00076]",6
4,"[0.00235, 0.00234, 0.00194, 0.0015, 0.00244]",5
7,"[0.00127, 0.00126, 0.00105, 0.00081, 0.0011]",5
258817,"[0.02524, 0.02738, 0.06052, 0.00839, 0.07108]",5
174357,"[0.04302, 0.00968, 0.03525, 0.01835, 0.01065]",5
4315,"[0.07335, 0.06358, 0.04208, 0.03242, 0.02451]",5
83129,"[0.00973, 0.00514, 0.00502, 0.00431]",4
132638,"[0.01308, 0.0506, 0.01457, 0.03444]",4
10,"[0.0017, 0.00042, 0.0012]",3
226833,"[0.08539, 0.30241, 0.47469]",3
216548,"[0.02753, 0.07341, 0.04024]",3
80338,"[0.0129, 0.02049]",2
201,"[0.00135, 0.00086]",2
121,"[0.00052, 0.00127]",2
16,"[0.00053, 0.00034]",2
11963,"[0.16171, 0.08714]",2
69154,"[0.06809, 0.0506]",2
57054,"[0.01802, 0.02928]",2
212907,[0.01545],1
175962,[0.00528],1
277378,[0.05361],1
277568,[0.01706],1
14,[0.00012],1
100645,[0.01176],1
121700,[0.05803],1
49205,[7e-05],1
23,[0.00095],1
4046,[0.04654],1
15797,[0.00618],1
34225,[0.00687],1
309,[0.00221],1
173,[0.00189],1
47,[0.0005],1
262200,[0.00599],1
276715,[0.01926],1
177541,[0.00374],1
64612,[0.03886],1
89,[0.00135],1
239637,[0.00699],1
271379,[0.05134],1
106,[9e-05],1
40784,[0.01097],1
87918,[0.02053],1
141674,[0.1008],1
18,[0.00192],1
2627,[0.00098],1
256581,[0.00364],1
274054,[0.01367],1
277154,[0.05756],1
87241,[0.00658],1
94725,[0.10691],1
0,[0.00157],1
135979,[0.00516],1
