feature,importances,count
244098,"[0.75323, 0.8808, 1.0, 0.02986]",4
182,"[0.05127, 0.05127, 0.05127]",3
276,"[0.04621, 0.05127, 0.04621]",3
42169,"[0.88079, 0.88079]",2
3843,"[0.02122, 0.03215]",2
217107,[0.00201],1
226597,[0.04259],1
250250,[0.02123],1
258554,[0.0131],1
20676,[0.03215],1
39074,[0.02122],1
118084,[0.01457],1
61055,[0.02122],1
140518,[0.09207],1
116850,[0.01457],1
942,[0.05907],1
11945,[0.02973],1
13761,[0.03677],1
24903,[0.75323],1
25930,[0.01397],1
238162,[0.0243],1
248083,[0.01667],1
155640,[0.06185],1
85172,[0.1425],1
130958,[0.00299],1
152670,[0.02973],1
9729,[0.02122],1
28879,[0.01457],1
165573,[0.88079],1
1335,[0.05907],1
8036,[0.03677],1
28840,[0.0243],1
122188,[0.01397],1
155943,[0.02004],1
4684,[0.03215],1
270666,[0.01668],1
6522,[0.03215],1
78673,[0.01456],1
0,[0.00015],1
6759,[0.00469],1
9191,[0.46464],1
12042,[0.12232],1
265066,[0.02004],1
