feature,importances,count
276097,"[0.12262, 0.30685, 0.39188, 0.0122, 0.03888, 0.28831, 0.14701, 0.0709]",8
240311,"[0.05644, 0.05077, 0.01184, 0.11421, 0.07688, 0.02709, 0.06259, 0.05433]",8
216005,"[0.22789, 0.23603, 0.03929, 0.24523, 0.44632, 0.04406, 0.4346, 0.34938]",8
251017,"[0.01684, 0.02533, 0.02857, 0.04352, 0.13652, 0.03396]",6
266966,"[0.00927, 0.00712, 0.05711, 0.01357, 0.01234]",5
242314,"[0.16794, 0.02005, 0.01815, 0.06502]",4
14421,"[0.00974, 0.07152, 0.01066, 0.00622]",4
147114,"[0.00707, 0.12117, 0.0502]",3
12032,"[0.04088, 0.25857, 0.03805]",3
179313,"[0.04997, 0.02034]",2
82301,"[0.01637, 0.01879]",2
33100,"[0.00436, 0.00439]",2
16442,"[0.01193, 0.00211]",2
103740,"[0.03429, 0.13403]",2
198,"[0.00258, 0.00155]",2
165570,"[0.20035, 0.06434]",2
4306,"[0.00747, 0.08299]",2
114701,"[0.07417, 0.05795]",2
131078,"[0.16716, 0.11001]",2
119281,"[0.06499, 0.06324]",2
192928,"[0.02701, 0.01495]",2
41299,[0.00105],1
399,[0.00858],1
256157,[0.0009],1
203509,[0.00182],1
135340,[0.0139],1
135873,[0.00363],1
151339,[0.00934],1
67800,[0.0094],1
60212,[0.00477],1
45780,[0.002],1
2652,[0.00177],1
8479,[0.01419],1
981,[0.00334],1
348,[0.00129],1
277273,[0.00611],1
261354,[0.00446],1
163994,[0.00085],1
239134,[0.0033],1
193382,[0.00046],1
163323,[0.00016],1
162977,[0.00209],1
154401,[0.0011],1
19530,[0.00102],1
264594,[0.00614],1
10384,[0.02196],1
276557,[0.00966],1
125685,[0.0021],1
238,[0.0024],1
99819,[0.01447],1
68324,[0.03011],1
2012,[0.0068],1
1615,[0.00391],1
518,[0.01435],1
1184,[0.10988],1
82,[0.01198],1
48,[0.00748],1
277342,[0.00283],1
930,[0.02671],1
252175,[0.02831],1
120825,[0.00688],1
214920,[0.00543],1
5367,[0.12949],1
13682,[0.02111],1
174804,[0.0105],1
108960,[0.00077],1
39428,[0.00832],1
19327,[0.09354],1
14001,[0.04694],1
1,[0.00192],1
115732,[0.01548],1
114390,[0.02128],1
221804,[0.00097],1
114820,[0.03234],1
106759,[0.00171],1
79572,[0.00353],1
44717,[0.00802],1
32946,[0.00406],1
30530,[0.00577],1
3292,[0.02986],1
2788,[0.05908],1
1600,[0.07151],1
1068,[0.00942],1
71,[0.00134],1
269171,[0.00782],1
245566,[0.01928],1
220486,[0.00983],1
204666,[0.00114],1
184149,[0.0789],1
160376,[0.0039],1
119891,[0.00195],1
56495,[0.03424],1
26174,[0.00714],1
4816,[0.01305],1
3054,[0.11898],1
243487,[0.00291],1
253318,[0.00259],1
256657,[0.00047],1
213,[0.00298],1
110653,[0.00971],1
70734,[0.00363],1
51211,[0.00161],1
32028,[0.02416],1
22875,[0.00872],1
217,[0.01811],1
4083,[0.06076],1
3276,[0.02323],1
3001,[0.00684],1
2315,[0.01002],1
276804,[0.0057],1
256802,[0.00882],1
224147,[0.0005],1
191281,[0.02658],1
116642,[0.00099],1
92582,[0.03379],1
53101,[0.01281],1
39390,[0.04507],1
16535,[0.00205],1
29,[0.02517],1
20,[0.00363],1
276322,[0.01284],1
260611,[0.00582],1
