feature nr: 238, importance: 0.00240
feature nr: 518, importance: 0.01435
feature nr: 930, importance: 0.02671
feature nr: 5367, importance: 0.12949
feature nr: 13682, importance: 0.02111
feature nr: 19530, importance: 0.00102
feature nr: 103740, importance: 0.13403
feature nr: 131078, importance: 0.11001
feature nr: 135873, importance: 0.00363
feature nr: 151339, importance: 0.00934
feature nr: 163994, importance: 0.00085
feature nr: 179313, importance: 0.02034
feature nr: 216005, importance: 0.34938
feature nr: 240311, importance: 0.05433
feature nr: 251017, importance: 0.03396
feature nr: 260611, importance: 0.00582
feature nr: 266966, importance: 0.01234
feature nr: 276097, importance: 0.07090
