feature,importances,count
188113,"[0.77691, 0.35916, 0.77692, 0.23529, 0.77691, 0.42317, 0.3208, 0.1024]",8
179173,"[0.1394, 0.06027, 0.17821, 0.16634, 0.46562]",5
94660,"[0.06303, 0.03385, 0.04325, 0.02729]",4
556,"[0.07319, 0.07319, 0.07318]",3
40160,"[0.05477, 0.01648, 0.05318]",3
258454,"[0.02166, 0.04266, 0.06641]",3
21105,"[0.04955, 0.04955]",2
50844,"[0.13166, 0.03073]",2
26032,"[0.13553, 0.10554]",2
186501,"[0.03235, 0.03657]",2
149074,[0.03733],1
16,[0.00502],1
185752,[0.03603],1
49242,[0.0869],1
22093,[0.01694],1
262523,[0.01317],1
141475,[0.0248],1
161116,[0.00978],1
80199,[0.00978],1
154279,[0.09043],1
8354,[0.03463],1
3145,[0.02047],1
95,[0.04955],1
224231,[0.00461],1
195334,[0.0121],1
20176,[0.01797],1
159306,[0.00329],1
124255,[0.00998],1
73929,[0.14719],1
213767,[0.00177],1
200837,[0.02762],1
175553,[0.00338],1
169197,[0.0048],1
104942,[0.06985],1
87036,[0.09931],1
79337,[0.03726],1
40119,[0.00243],1
103236,[0.00661],1
26246,[0.01071],1
2477,[0.00701],1
236382,[0.12799],1
212149,[0.00238],1
202503,[0.00668],1
190938,[0.00463],1
186833,[0.18552],1
115553,[0.18709],1
68974,[0.0028],1
97081,[0.00388],1
21192,[0.02812],1
236134,[0.01186],1
219448,[0.00421],1
210490,[0.01442],1
208534,[0.0069],1
142546,[0.00984],1
68812,[0.06998],1
56435,[0.00494],1
217,[0.00243],1
85653,[0.008],1
164,[1e-05],1
29,[0.00199],1
160577,[0.01318],1
132890,[0.00977],1
101038,[0.03463],1
71446,[0.01797],1
40544,[0.0248],1
242373,[0.00583],1
245505,[0.00361],1
261090,[0.03636],1
267786,[0.00822],1
82456,[0.03956],1
79026,[0.06618],1
65790,[0.00329],1
60296,[0.0055],1
59859,[0.00239],1
11500,[0.00274],1
59,[0.00188],1
14,[0.00515],1
5,[0.00077],1
106635,[0.00978],1
87014,[0.02479],1
76058,[0.01797],1
9147,[0.01317],1
3915,[0.03463],1
274019,[0.01774],1
219205,[0.02065],1
