feature nr: 5, importance: 0.00077
feature nr: 14, importance: 0.00515
feature nr: 59, importance: 0.00188
feature nr: 11500, importance: 0.00274
feature nr: 40160, importance: 0.01648
feature nr: 50844, importance: 0.13166
feature nr: 59859, importance: 0.00239
feature nr: 60296, importance: 0.00550
feature nr: 65790, importance: 0.00329
feature nr: 68974, importance: 0.00280
feature nr: 79026, importance: 0.06618
feature nr: 82456, importance: 0.03956
feature nr: 85653, importance: 0.00800
feature nr: 94660, importance: 0.03385
feature nr: 97081, importance: 0.00388
feature nr: 103236, importance: 0.00661
feature nr: 115553, importance: 0.18709
feature nr: 149074, importance: 0.03733
feature nr: 154279, importance: 0.09043
feature nr: 161116, importance: 0.00978
feature nr: 179173, importance: 0.06027
feature nr: 186501, importance: 0.03235
feature nr: 188113, importance: 0.23529
feature nr: 195334, importance: 0.01210
feature nr: 224231, importance: 0.00461
