feature,importances,count
235615,"[0.20856, 0.13735, 0.71702, 0.034, 0.45419]",5
205571,"[0.02396, 0.01829, 0.07988, 0.01559, 0.04436]",5
14963,"[0.08651, 0.23473, 0.05398]",3
0,"[0.01249, 0.00011, 0.00746]",3
111392,"[0.19557, 0.12521, 0.02489]",3
1,"[0.00018, 0.00117]",2
195592,"[0.01776, 0.01346]",2
155917,"[0.022, 0.00582]",2
176969,"[0.32721, 0.85928]",2
261537,"[0.08209, 0.09172]",2
252824,"[0.00553, 0.02125]",2
275138,"[0.01007, 0.02717]",2
11,"[0.00118, 0.00526]",2
139440,[0.03647],1
25,[0.00144],1
3,[0.0024],1
230289,[0.01205],1
149176,[0.01681],1
17139,[0.02396],1
809,[0.03503],1
13817,[0.02015],1
22680,[0.49865],1
158,[0.05288],1
56281,[0.01444],1
179536,[0.13251],1
154968,[0.00887],1
1858,[0.00433],1
109127,[0.00398],1
77,[0.00296],1
111995,[0.00644],1
25572,[0.0101],1
33359,[0.02049],1
252315,[0.09156],1
207184,[0.02853],1
115631,[0.13444],1
33222,[0.03876],1
23000,[0.0718],1
232908,[0.00599],1
222498,[0.09993],1
215631,[0.00187],1
184922,[0.10025],1
175496,[0.13121],1
161333,[0.01824],1
116456,[0.06683],1
78688,[0.49676],1
29469,[0.00391],1
9693,[0.00267],1
146030,[0.03614],1
88826,[0.4162],1
274239,[0.01327],1
2528,[0.02634],1
135069,[0.03174],1
114301,[0.01132],1
1499,[0.00094],1
522,[0.0002],1
495,[0.00122],1
188,[0.00211],1
38,[0.00339],1
5,[0.00638],1
263386,[0.08788],1
256976,[0.04445],1
254974,[0.0022],1
166132,[0.41815],1
128467,[0.00748],1
78539,[0.00999],1
66649,[0.00336],1
54956,[0.01344],1
9261,[0.06188],1
493,[0.00026],1
345,[0.00035],1
21117,[0.00426],1
32591,[0.00234],1
46952,[0.00534],1
254458,[0.0133],1
91375,[0.01562],1
27031,[0.01849],1
7439,[0.03856],1
9,[0.01132],1
571,[0.04735],1
217,[0.05829],1
262149,[0.15125],1
195644,[0.02057],1
88432,[0.00195],1
179211,[0.00345],1
176231,[0.0697],1
175761,[0.03683],1
173950,[0.04298],1
169019,[0.01015],1
164108,[0.02367],1
161714,[0.00283],1
272191,[0.06112],1
