feature nr: 1, importance: 0.00018
feature nr: 9, importance: 0.01132
feature nr: 11, importance: 0.00118
feature nr: 345, importance: 0.00035
feature nr: 493, importance: 0.00026
feature nr: 9261, importance: 0.06188
feature nr: 54956, importance: 0.01344
feature nr: 66649, importance: 0.00336
feature nr: 78539, importance: 0.00999
feature nr: 128467, importance: 0.00748
feature nr: 166132, importance: 0.41815
feature nr: 195592, importance: 0.01776
feature nr: 205571, importance: 0.02396
feature nr: 235615, importance: 0.20856
feature nr: 252824, importance: 0.00553
feature nr: 254974, importance: 0.00220
feature nr: 256976, importance: 0.04445
feature nr: 261537, importance: 0.08209
feature nr: 263386, importance: 0.08788
