feature,importances,count
6934,"[0.02081, 0.00508, 0.01722, 0.01071, 0.00787, 0.03301]",6
42958,"[0.11217, 0.06426, 0.07491, 0.05546, 0.13963, 0.22529]",6
154975,"[0.09955, 0.19286, 0.34867, 0.14022, 0.04506]",5
144256,"[0.00665, 0.00601, 0.00323, 0.00926, 0.00885]",5
88841,"[0.13897, 0.008, 0.02522, 0.02339, 0.04682]",5
12024,"[0.00305, 0.00209, 0.00427, 0.00184, 0.00217]",5
275850,"[0.02023, 0.00845, 0.00815, 0.00655, 0.00907]",5
18935,"[0.02755, 0.01511, 0.04109, 0.0091]",4
276242,"[0.18772, 0.0168, 0.00975, 0.02827]",4
47894,"[0.04676, 0.00807, 0.00685, 0.00519]",4
191610,"[0.21644, 0.04678, 0.04033]",3
174941,"[0.00821, 0.02228, 0.01396]",3
4003,"[0.00519, 0.00669, 0.00333]",3
105575,"[0.00658, 0.00149, 0.00146]",3
136602,"[0.01344, 0.0105, 0.00815]",3
83429,"[0.16999, 0.18557, 0.06399]",3
61,"[0.00149, 0.00243, 0.00158]",3
150791,"[0.01407, 0.01102]",2
27,"[0.00147, 0.00071]",2
18260,"[0.00883, 0.0082]",2
53934,"[0.00298, 0.00257]",2
226142,"[0.02716, 0.01611]",2
4331,"[0.03845, 0.01652]",2
227925,"[0.00367, 0.00121]",2
272664,"[0.0035, 0.09739]",2
274443,"[0.00262, 0.00173]",2
608,"[0.02207, 0.01775]",2
15085,"[0.01985, 0.01628]",2
174860,"[0.00245, 0.02006]",2
23,"[0.0017, 0.00082]",2
265015,"[0.06637, 0.00874]",2
50363,"[0.03319, 0.01232]",2
251753,"[0.00357, 0.01838]",2
92566,"[0.00448, 0.0036]",2
105386,"[0.02137, 0.00284]",2
60628,"[0.00411, 0.00452]",2
132978,"[0.00243, 0.00085]",2
203421,"[0.00174, 0.00171]",2
170202,"[0.0069, 0.0069]",2
55493,"[0.00615, 0.00474]",2
2,"[5e-05, 0.00024]",2
271434,"[0.01149, 0.01989]",2
146336,"[0.17915, 0.01026]",2
261580,"[0.00173, 0.00398]",2
140196,"[0.006, 0.0137]",2
30285,"[0.02734, 0.01409]",2
124416,"[0.00357, 0.00445]",2
71175,"[0.01765, 0.00406]",2
123082,"[0.00622, 0.00757]",2
4767,"[0.05287, 0.00215]",2
64002,"[0.00588, 0.00826]",2
44762,"[0.00605, 0.00243]",2
158925,"[0.00923, 0.02421]",2
129017,[0.00077],1
155697,[0.00154],1
136646,[0.28521],1
112447,[0.00158],1
112418,[0.01006],1
264269,[0.00056],1
147144,[0.00294],1
162944,[0.003],1
251175,[0.00223],1
271966,[0.00103],1
166718,[0.0355],1
236413,[0.00074],1
235681,[0.00906],1
229605,[0.01],1
175172,[0.00308],1
186955,[0.07757],1
204546,[0.00186],1
216531,[0.00576],1
226622,[0.00417],1
248760,[0.0169],1
220830,[0.01043],1
247452,[0.01544],1
96145,[0.02682],1
106339,[0.00328],1
21687,[0.00172],1
108631,[0.0472],1
105902,[0.00834],1
179966,[0.09689],1
206782,[0.04831],1
215152,[0.00401],1
99974,[0.01972],1
89199,[0.00222],1
253970,[0.00762],1
231725,[0.00257],1
243951,[0.00579],1
250002,[0.01758],1
0,[0.0052],1
81378,[0.03632],1
15,[0.00133],1
141969,[0.02682],1
4620,[0.01168],1
19,[0.00211],1
18306,[0.00908],1
2695,[0.00868],1
25072,[0.00163],1
27798,[0.00173],1
267,[0.00291],1
53971,[0.00289],1
42,[0.00322],1
278135,[0.00547],1
77692,[0.00435],1
80290,[0.00337],1
274170,[0.00125],1
112,[0.01751],1
437,[0.02163],1
256138,[0.01777],1
1809,[0.00196],1
384,[0.00113],1
276801,[0.0319],1
257591,[0.00169],1
251741,[0.0038],1
245117,[0.00204],1
237788,[0.00279],1
232400,[0.00013],1
224447,[0.01927],1
212566,[0.00033],1
206565,[0.00042],1
189914,[0.00058],1
170606,[0.01513],1
165703,[0.00293],1
155292,[0.01602],1
138658,[0.01379],1
808,[0.05443],1
2028,[0.00242],1
134351,[0.00302],1
3034,[0.00751],1
238230,[0.00783],1
232246,[0.0051],1
173620,[0.01453],1
173477,[0.00103],1
155450,[0.00122],1
154779,[0.0106],1
147131,[0.00625],1
144220,[0.0681],1
137022,[0.02081],1
134851,[0.00529],1
131299,[0.01493],1
99240,[0.02192],1
86802,[0.00289],1
57605,[0.0968],1
8559,[0.00969],1
137530,[0.18268],1
126350,[0.00192],1
273782,[0.14105],1
34361,[0.00632],1
29771,[0.01322],1
28743,[7e-05],1
15704,[0.01023],1
15626,[0.0107],1
13167,[0.00641],1
11431,[0.01322],1
9562,[0.0032],1
6081,[0.00936],1
1494,[0.00846],1
218598,[0.00755],1
413,[0.00178],1
266,[0.00793],1
192,[0.00139],1
154,[0.01016],1
92,[0.00054],1
31992,[0.01344],1
37998,[0.00301],1
122332,[0.00159],1
38038,[0.00203],1
118130,[0.01216],1
113282,[0.0047],1
109331,[0.00548],1
108390,[0.04377],1
93987,[0.00276],1
93706,[0.00357],1
93466,[0.00785],1
90399,[0.02135],1
88573,[0.04595],1
80982,[0.00145],1
73309,[0.00431],1
71218,[0.00382],1
59559,[0.00362],1
50706,[0.01117],1
43274,[0.00446],1
219207,[0.00101],1
72107,[0.00202],1
201864,[0.00159],1
35883,[0.00943],1
211262,[0.00857],1
215140,[0.00148],1
222737,[0.0209],1
233669,[0.00398],1
267330,[0.00467],1
11,[0.00878],1
24,[0.00094],1
33,[0.00171],1
460,[0.00142],1
4052,[0.03472],1
9553,[0.00016],1
11186,[0.00051],1
22281,[0.01429],1
25752,[0.33328],1
48113,[0.00029],1
181350,[0.00805],1
51949,[0.04027],1
56521,[0.00602],1
61238,[0.00947],1
72375,[0.00305],1
96339,[0.00161],1
104318,[0.01661],1
112451,[0.00849],1
112681,[0.00183],1
116090,[0.00951],1
124928,[0.00185],1
136074,[0.0031],1
147295,[0.00944],1
193172,[0.00319],1
207937,[0.00316],1
203872,[0.00806],1
178358,[0.005],1
200430,[0.00014],1
59986,[0.00077],1
1342,[0.01258],1
2885,[0.00324],1
4775,[0.00418],1
5043,[0.00583],1
5318,[0.01582],1
15701,[0.00563],1
16816,[0.00286],1
19049,[0.00547],1
22914,[0.01165],1
23384,[0.00732],1
27673,[0.00227],1
30362,[0.01455],1
31048,[0.01024],1
59547,[0.01054],1
67924,[0.00114],1
173964,[0.00366],1
72511,[0.00287],1
77950,[0.00567],1
88245,[0.00741],1
99182,[0.00169],1
105646,[0.00422],1
113629,[0.00269],1
117900,[0.00218],1
128737,[0.00459],1
139282,[0.0008],1
141370,[0.03215],1
150910,[0.01013],1
152589,[0.00254],1
167033,[0.00327],1
169839,[0.00883],1
230204,[0.00103],1
243744,[0.00269],1
260096,[0.03451],1
81816,[0.001],1
22159,[0.00895],1
22192,[0.00138],1
24958,[0.00168],1
29399,[0.00138],1
32027,[0.00054],1
45321,[0.00465],1
59451,[0.00363],1
63141,[0.0005],1
63284,[0.00151],1
64943,[0.00665],1
65893,[0.0019],1
68901,[0.01277],1
320,[0.00443],1
80414,[0.00172],1
82212,[0.00147],1
18,[0.00748],1
86732,[0.00253],1
86752,[0.00116],1
101865,[0.06228],1
103993,[0.00326],1
104281,[0.0332],1
116965,[0.10184],1
136545,[0.00169],1
155925,[0.00021],1
162542,[0.00069],1
169448,[0.00568],1
172924,[0.00027],1
177155,[0.00623],1
181166,[0.0009],1
196072,[0.00318],1
21565,[0.00193],1
21148,[0.07863],1
20199,[0.04147],1
19900,[0.00093],1
155,[0.00102],1
430,[0.00409],1
713,[0.01461],1
3179,[0.00469],1
4406,[0.04071],1
5753,[0.00077],1
50220,[0.00541],1
52197,[0.00391],1
85832,[0.00319],1
90015,[0.00214],1
92939,[0.00106],1
98762,[0.00064],1
103033,[0.00105],1
127884,[0.00794],1
139631,[0.00278],1
154781,[0.01625],1
157100,[0.05114],1
184325,[0.00317],1
190577,[0.01062],1
206606,[0.00169],1
241131,[0.00697],1
245154,[0.01947],1
252507,[0.0093],1
273922,[0.00248],1
55,[0.00326],1
1066,[0.02339],1
1203,[0.0006],1
17093,[0.00549],1
19703,[0.00064],1
245905,[0.24897],1
