feature nr: 0, importance: 0.00520
feature nr: 15, importance: 0.00133
feature nr: 19, importance: 0.00211
feature nr: 27, importance: 0.00071
feature nr: 61, importance: 0.00158
feature nr: 6934, importance: 0.01071
feature nr: 12024, importance: 0.00217
feature nr: 18306, importance: 0.00908
feature nr: 18935, importance: 0.04109
feature nr: 25072, importance: 0.00163
feature nr: 27798, importance: 0.00173
feature nr: 42958, importance: 0.05546
feature nr: 44762, importance: 0.00243
feature nr: 47894, importance: 0.00519
feature nr: 53971, importance: 0.00289
feature nr: 64002, importance: 0.00826
feature nr: 77692, importance: 0.00435
feature nr: 80290, importance: 0.00337
feature nr: 88841, importance: 0.04682
feature nr: 92566, importance: 0.00448
feature nr: 96145, importance: 0.02682
feature nr: 105575, importance: 0.00146
feature nr: 106339, importance: 0.00328
feature nr: 112418, importance: 0.01006
feature nr: 112447, importance: 0.00158
feature nr: 129017, importance: 0.00077
feature nr: 136602, importance: 0.01050
feature nr: 136646, importance: 0.28521
feature nr: 140196, importance: 0.01370
feature nr: 144256, importance: 0.00926
feature nr: 147144, importance: 0.00294
feature nr: 150791, importance: 0.01102
feature nr: 155697, importance: 0.00154
feature nr: 158925, importance: 0.02421
feature nr: 166718, importance: 0.03550
feature nr: 174941, importance: 0.02228
feature nr: 175172, importance: 0.00308
feature nr: 186955, importance: 0.07757
feature nr: 204546, importance: 0.00186
feature nr: 216531, importance: 0.00576
feature nr: 227925, importance: 0.00121
feature nr: 248760, importance: 0.01690
feature nr: 253970, importance: 0.00762
feature nr: 256138, importance: 0.01777
feature nr: 271434, importance: 0.01989
feature nr: 273782, importance: 0.14105
feature nr: 274443, importance: 0.00173
feature nr: 275850, importance: 0.00655
feature nr: 276242, importance: 0.02827
