feature,importances,count
96380,"[0.06663, 0.09092, 0.06407, 0.06349, 0.07459, 0.0421, 0.01388, 0.13551]",8
272171,"[0.37728, 0.38583, 0.2971, 0.44353, 0.2231, 0.38092, 0.31616]",7
6406,"[0.03759, 0.29022, 0.02201, 0.01823, 0.01826, 0.03173, 0.04499]",7
100477,"[0.00891, 0.05374, 0.01036, 0.00801, 0.008, 0.00938, 0.01569]",7
10485,"[0.00752, 0.00037, 0.00078, 0.00378, 0.01005, 0.00262]",6
268609,"[0.03559, 0.0272, 0.18497, 0.04833, 0.007, 0.01497]",6
99346,"[0.00339, 0.00705, 0.01018, 0.01382, 0.0117]",5
165565,"[0.03915, 0.01434, 0.02306, 0.05202, 0.04847]",5
20088,"[0.01181, 0.06132, 0.01634, 0.07256, 0.03898]",5
212512,"[0.00533, 0.00727, 0.02788, 0.00522]",4
209728,"[0.00349, 0.00986, 0.00462, 0.02344]",4
92530,"[0.05281, 0.10365, 0.04572, 0.03412]",4
4,"[0.00206, 0.00324, 0.00217, 0.00347]",4
4049,"[0.06051, 0.0119, 0.00905, 0.00996]",4
237859,"[0.01568, 0.00918, 0.02066]",3
201218,"[0.00677, 0.01021, 0.02484]",3
141789,"[0.03687, 0.03003, 0.07505]",3
20060,"[0.02709, 0.05265, 0.00818]",3
269729,"[0.01396, 0.00336, 0.13752]",3
25011,"[0.00497, 0.01293, 0.01362]",3
226602,"[0.02003, 0.00415, 0.00618]",3
27104,"[0.03537, 0.05378]",2
8191,"[0.0082, 0.05288]",2
145526,"[0.00788, 0.00808]",2
3003,"[0.01484, 0.00649]",2
94283,"[0.01452, 0.01278]",2
106567,"[0.00797, 0.02315]",2
13827,"[0.011, 0.01136]",2
102176,"[0.00333, 0.00344]",2
23,"[0.00154, 0.00454]",2
55905,"[0.00531, 0.00748]",2
8765,"[0.00515, 0.01279]",2
71631,"[0.01517, 0.00341]",2
128757,"[0.02344, 0.01997]",2
139267,"[0.00262, 0.00413]",2
42455,"[0.00688, 0.00268]",2
123924,"[0.0088, 0.00826]",2
69617,"[0.02657, 0.02597]",2
225663,"[0.00969, 0.00233]",2
215836,"[0.02768, 0.00512]",2
192433,"[0.01723, 0.0134]",2
274771,"[0.00235, 0.04803]",2
219922,"[0.09033, 0.04489]",2
189024,"[0.02833, 0.04052]",2
2,"[0.00047, 0.0004]",2
244499,"[0.0599, 0.02409]",2
9,"[0.00392, 0.00146]",2
17295,"[0.01225, 0.01098]",2
6,"[0.00128, 0.00096]",2
261913,"[0.00369, 0.00378]",2
134,"[0.00237, 0.00051]",2
15428,[0.0096],1
15548,[0.00221],1
237001,[0.03732],1
11750,[0.01462],1
449,[0.00735],1
358,[0.01636],1
265,[0.00144],1
163,[0.00124],1
20,[0.00204],1
261793,[0.01074],1
217703,[0.08732],1
179038,[0.02485],1
167277,[0.00637],1
155311,[0.01934],1
63046,[0.05003],1
53073,[0.00917],1
16739,[0.06383],1
3000,[0.02023],1
16160,[3e-05],1
142168,[0.0158],1
17658,[0.00166],1
57161,[0.00894],1
42967,[0.01737],1
75824,[0.0255],1
118721,[0.00408],1
184396,[0.01654],1
945,[0.00264],1
20733,[0.09892],1
38428,[0.0042],1
45884,[0.01145],1
63056,[0.04324],1
32410,[0.00049],1
64678,[0.00166],1
109021,[0.06211],1
120590,[0.00131],1
148680,[0.01315],1
158367,[0.00423],1
161460,[0.01997],1
166618,[0.00645],1
230562,[0.00879],1
11321,[0.13268],1
5457,[0.00124],1
118,[0.00502],1
35,[0.00498],1
35111,[0.00577],1
67516,[0.02525],1
74500,[0.00216],1
80184,[0.00424],1
107382,[0.00692],1
114399,[0.00083],1
136926,[0.00122],1
672,[0.00271],1
175845,[0.00395],1
188023,[0.00775],1
192792,[0.00414],1
214595,[0.02699],1
214952,[0.00306],1
221085,[0.00238],1
260846,[0.00415],1
273635,[0.00274],1
10,[0.00372],1
829,[0.00687],1
93350,[0.00837],1
200,[0.00438],1
9897,[0.00069],1
1468,[0.03241],1
277514,[0.00599],1
277379,[0.02382],1
260254,[0.00046],1
251274,[0.01481],1
209918,[0.00283],1
202093,[0.02723],1
117013,[0.01245],1
103453,[0.02034],1
102060,[0.00403],1
55222,[0.00583],1
18834,[0.00432],1
13351,[0.02827],1
972,[0.04615],1
29,[0.00314],1
24,[0.03295],1
276070,[0.01527],1
241103,[0.01058],1
233323,[0.00588],1
200108,[0.00257],1
198065,[0.01347],1
176806,[0.01367],1
131997,[0.02451],1
123409,[0.0221],1
40358,[0.00633],1
36383,[0.03453],1
18569,[0.0104],1
15615,[0.05735],1
7390,[0.01082],1
5221,[0.00126],1
56672,[0.00551],1
32,[0.00398],1
110287,[0.00053],1
0,[0.00056],1
264742,[0.00346],1
210341,[0.02096],1
162862,[0.01103],1
161092,[0.00674],1
149233,[0.03966],1
147827,[0.00299],1
118898,[0.001],1
104019,[0.00119],1
888,[0.00055],1
92499,[0.01096],1
73540,[0.00159],1
66939,[0.01094],1
61438,[0.02672],1
49850,[0.0055],1
33742,[4e-05],1
23524,[0.00015],1
7622,[0.0111],1
18,[0.00167],1
273630,[0.02512],1
245643,[0.00236],1
227358,[0.00483],1
197055,[0.01967],1
196152,[0.0247],1
170532,[0.00104],1
167977,[0.01014],1
144056,[0.00268],1
114538,[0.01511],1
113649,[0.01045],1
262788,[0.00345],1
