feature nr: 2, importance: 0.00047
feature nr: 4, importance: 0.00206
feature nr: 6, importance: 0.00128
feature nr: 18, importance: 0.00167
feature nr: 23, importance: 0.00154
feature nr: 4049, importance: 0.06051
feature nr: 6406, importance: 0.02201
feature nr: 7622, importance: 0.01110
feature nr: 10485, importance: 0.00078
feature nr: 13827, importance: 0.01100
feature nr: 17295, importance: 0.01225
feature nr: 20060, importance: 0.00818
feature nr: 20088, importance: 0.06132
feature nr: 23524, importance: 0.00015
feature nr: 33742, importance: 0.00004
feature nr: 49850, importance: 0.00550
feature nr: 61438, importance: 0.02672
feature nr: 66939, importance: 0.01094
feature nr: 71631, importance: 0.00341
feature nr: 73540, importance: 0.00159
feature nr: 92499, importance: 0.01096
feature nr: 92530, importance: 0.10365
feature nr: 93350, importance: 0.00837
feature nr: 94283, importance: 0.01452
feature nr: 96380, importance: 0.06349
feature nr: 99346, importance: 0.00705
feature nr: 100477, importance: 0.01036
feature nr: 102176, importance: 0.00333
feature nr: 104019, importance: 0.00119
feature nr: 118898, importance: 0.00100
feature nr: 123924, importance: 0.00880
feature nr: 139267, importance: 0.00262
feature nr: 141789, importance: 0.03687
feature nr: 147827, importance: 0.00299
feature nr: 149233, importance: 0.03966
feature nr: 161092, importance: 0.00674
feature nr: 162862, importance: 0.01103
feature nr: 189024, importance: 0.02833
feature nr: 209728, importance: 0.00349
feature nr: 210341, importance: 0.02096
feature nr: 212512, importance: 0.00727
feature nr: 215836, importance: 0.02768
feature nr: 225663, importance: 0.00969
feature nr: 226602, importance: 0.00415
feature nr: 237859, importance: 0.01568
feature nr: 261913, importance: 0.00369
feature nr: 264742, importance: 0.00346
feature nr: 269729, importance: 0.00336
feature nr: 272171, importance: 0.29710
