feature,importances,count
213559,"[0.1218, 0.17924, 0.01227, 0.05303, 0.1579, 0.08873, 0.09963]",7
82601,"[0.14544, 0.19161, 0.02976, 0.11783, 0.11912, 0.23992, 0.10069]",7
2,"[0.00117, 0.00155, 0.0036, 0.0003, 0.0024]",5
1,"[0.00025, 0.0002, 0.00036, 0.00129]",4
90870,"[0.01777, 0.21661, 0.03858, 0.06218]",4
196283,"[0.05396, 0.05893, 0.01607, 0.01432]",4
162244,"[0.03386, 0.03409, 0.02093]",3
78582,"[0.06268, 0.0604, 0.1051]",3
72370,"[0.35252, 0.42583, 0.53384]",3
0,"[0.00292, 0.00439, 0.00396]",3
6,"[0.00064, 0.00147]",2
246816,"[0.4758, 0.05138]",2
33,"[0.01086, 0.01325]",2
209488,"[0.01328, 0.09355]",2
141623,"[0.12599, 0.02224]",2
3512,"[0.00685, 0.25175]",2
139590,"[0.18317, 0.0608]",2
102466,"[0.13222, 0.07135]",2
14967,"[0.09002, 0.10379]",2
254711,"[0.00868, 0.03119]",2
10323,"[0.0887, 0.02057]",2
195712,"[0.01255, 0.02526]",2
44149,"[0.01681, 0.00918]",2
207,[0.00242],1
232592,[0.00587],1
185041,[0.46209],1
207833,[0.00231],1
2809,[0.03903],1
1170,[0.05966],1
1149,[0.04813],1
223446,[0.01901],1
2420,[0.29213],1
251770,[0.01008],1
243381,[0.02144],1
165152,[0.00441],1
85843,[0.00651],1
66650,[0.05269],1
108,[0.00255],1
83,[1e-05],1
136655,[0.00274],1
12059,[0.02652],1
100,[0.00127],1
14434,[0.70403],1
34,[0.00088],1
26,[0.00166],1
15339,[0.00729],1
233293,[0.01131],1
38686,[0.00394],1
160832,[0.00967],1
23,[0.00244],1
104287,[0.00328],1
110034,[0.02192],1
81208,[0.02212],1
133415,[0.00479],1
75684,[0.01566],1
136501,[0.00196],1
69210,[0.01857],1
53207,[0.03202],1
148758,[0.01328],1
74655,[0.00133],1
237823,[0.00236],1
160352,[0.00349],1
42138,[0.00552],1
252959,[0.00991],1
240803,[0.00442],1
222154,[0.00648],1
187267,[0.00532],1
134065,[0.00796],1
115737,[0.0031],1
65195,[0.40422],1
53320,[0.01462],1
46370,[0.00369],1
30629,[0.02566],1
6252,[0.00109],1
64,[0.00211],1
52,[0.00289],1
4,[0.00519],1
79759,[0.1332],1
101889,[0.06343],1
112849,[0.00856],1
38821,[0.00276],1
107219,[0.0115],1
50507,[0.00539],1
23760,[0.51936],1
317,[0.00013],1
51,[0.00279],1
141554,[0.00917],1
25021,[0.00189],1
153636,[0.0026],1
7057,[0.00423],1
120151,[0.00373],1
111245,[0.00532],1
72578,[0.00785],1
47471,[0.01211],1
213485,[0.00373],1
262001,[0.05081],1
