feature nr: 1, importance: 0.00020
feature nr: 14967, importance: 0.09002
feature nr: 42138, importance: 0.00552
feature nr: 72370, importance: 0.35252
feature nr: 79759, importance: 0.13320
feature nr: 90870, importance: 0.01777
feature nr: 101889, importance: 0.06343
feature nr: 112849, importance: 0.00856
feature nr: 139590, importance: 0.18317
feature nr: 141623, importance: 0.12599
feature nr: 153636, importance: 0.00260
feature nr: 209488, importance: 0.01328
feature nr: 213485, importance: 0.00373
