feature,importances,count
0,[2e-05],1
184140,[0.0],1
182422,[0.00645],1
182427,[2e-05],1
182578,[2e-05],1
182659,[4e-05],1
182734,[9e-05],1
182773,[0.0],1
182879,[0.00027],1
182881,[2e-05],1
182895,[0.0],1
182942,[3e-05],1
182948,[0.0],1
183012,[0.00109],1
183015,[1e-05],1
183026,[3e-05],1
183250,[0.0],1
183299,[4e-05],1
183374,[7e-05],1
183444,[1e-05],1
183613,[0.00017],1
183641,[1e-05],1
183646,[0.0],1
183844,[0.0016],1
184036,[0.0],1
182314,[0.0],1
182036,[0.01859],1
181948,[0.00044],1
180901,[0.0],1
179651,[0.0002],1
179741,[4e-05],1
179809,[0.00146],1
180075,[0.00073],1
180119,[0.0003],1
180238,[0.0],1
180254,[8e-05],1
180318,[0.0],1
180514,[0.0021],1
180801,[0.00032],1
180909,[0.0],1
181861,[2e-05],1
180997,[8e-05],1
181118,[0.00019],1
181433,[0.0],1
181442,[4e-05],1
181454,[0.0],1
181608,[2e-05],1
181627,[0.0],1
181647,[0.0],1
181654,[6e-05],1
181683,[1e-05],1
184082,[5e-05],1
184233,[1e-05],1
179591,[0.00031],1
184417,[5e-05],1
186752,[3e-05],1
186781,[0.0],1
186829,[0.00021],1
186963,[0.0],1
187020,[3e-05],1
187200,[1e-05],1
187319,[0.00105],1
187444,[1e-05],1
187459,[1e-05],1
187580,[1e-05],1
187591,[3e-05],1
187928,[1e-05],1
188004,[8e-05],1
188138,[0.00083],1
188142,[5e-05],1
188181,[0.00017],1
188308,[2e-05],1
188325,[1e-05],1
188338,[0.00287],1
188389,[1e-05],1
188416,[2e-05],1
188451,[2e-05],1
188463,[0.00012],1
186696,[2e-05],1
186590,[0.0001],1
186564,[4e-05],1
185423,[3e-05],1
184520,[3e-05],1
184631,[1e-05],1
184638,[6e-05],1
184662,[5e-05],1
184704,[0.0],1
184779,[4e-05],1
185011,[4e-05],1
185085,[0.00014],1
185379,[0.0],1
185388,[0.0],1
185432,[1e-05],1
186408,[0.00866],1
185520,[7e-05],1
185554,[0.00185],1
185699,[0.0003],1
185839,[0.0],1
185960,[0.0],1
185979,[2e-05],1
186080,[0.0],1
186082,[1e-05],1
186248,[3e-05],1
186316,[0.00029],1
179650,[0.0],1
179572,[4e-05],1
188651,[1e-05],1
174634,[8e-05],1
172246,[0.0],1
172502,[0.0],1
172512,[1e-05],1
172710,[0.0],1
172780,[1e-05],1
172792,[9e-05],1
173012,[1e-05],1
173013,[0.00021],1
173401,[0.0],1
173419,[0.0],1
173432,[0.05681],1
173476,[0.00013],1
173552,[3e-05],1
173583,[5e-05],1
173638,[0.0],1
173908,[0.0],1
174023,[1e-05],1
174040,[1e-05],1
174141,[1e-05],1
174209,[1e-05],1
174240,[4e-05],1
174255,[3e-05],1
174451,[0.0],1
172078,[2e-05],1
171738,[0.0],1
171735,[0.0],1
170544,[1e-05],1
170033,[8e-05],1
170074,[0.0],1
170165,[0.00473],1
170171,[5e-05],1
170248,[0.00045],1
170288,[1e-05],1
170358,[0.0002],1
170440,[0.0],1
170441,[0.0002],1
170502,[0.0],1
170598,[0.0],1
171648,[0.0],1
170700,[0.0],1
170703,[1e-05],1
170935,[1e-05],1
171184,[0.00191],1
171214,[1e-05],1
171252,[0.00014],1
171360,[0.00079],1
171444,[0.0],1
171464,[0.0],1
171496,[0.0],1
174456,[4e-05],1
174801,[0.00019],1
179486,[1e-05],1
174888,[3e-05],1
177361,[5e-05],1
177439,[1e-05],1
177461,[1e-05],1
177492,[1e-05],1
177543,[5e-05],1
178007,[2e-05],1
178070,[5e-05],1
178151,[1e-05],1
178205,[0.0],1
178343,[5e-05],1
178444,[3e-05],1
178461,[0.00011],1
178518,[1e-05],1
178544,[5e-05],1
178567,[0.00048],1
178584,[0.00029],1
178603,[3e-05],1
178751,[0.0],1
178806,[0.0],1
178865,[0.00064],1
179065,[0.0],1
179380,[0.00052],1
179386,[0.00199],1
177358,[1e-05],1
177272,[0.0],1
177051,[1e-05],1
175783,[6e-05],1
174895,[4e-05],1
174908,[0.00015],1
174953,[0.00126],1
175268,[2e-05],1
175304,[0.00026],1
175329,[3e-05],1
175393,[2e-05],1
175485,[0.00021],1
175513,[0.0001],1
175679,[0.00033],1
175823,[0.00024],1
176834,[9e-05],1
175969,[0.00118],1
176033,[3e-05],1
176036,[0.00011],1
176091,[0.0],1
176393,[2e-05],1
176402,[0.00022],1
176422,[0.0],1
176487,[5e-05],1
176726,[0.0],1
176820,[0.00225],1
188471,[0.00702],1
188666,[2e-05],1
169501,[0.00019],1
202444,[3e-05],1
200331,[0.00011],1
200446,[1e-05],1
200469,[2e-05],1
200619,[3e-05],1
200648,[7e-05],1
200776,[5e-05],1
200855,[3e-05],1
200861,[0.0],1
201202,[2e-05],1
201308,[0.00402],1
201357,[1e-05],1
201367,[5e-05],1
201467,[0.00022],1
201542,[0.0],1
201638,[0.00021],1
201663,[2e-05],1
201667,[0.00014],1
201702,[0.0],1
201818,[0.00022],1
201941,[0.00022],1
201956,[0.00046],1
202020,[8e-05],1
202119,[7e-05],1
200204,[1e-05],1
200169,[1e-05],1
200139,[5e-05],1
199393,[0.00017],1
198355,[5e-05],1
198631,[0.00012],1
198704,[3e-05],1
198728,[0.00094],1
198903,[0.00015],1
198906,[0.0],1
198981,[0.0],1
199197,[0.0],1
199231,[1e-05],1
199316,[0.0],1
199425,[6e-05],1
200022,[1e-05],1
199462,[0.0001],1
199518,[1e-05],1
199562,[2e-05],1
199564,[7e-05],1
199660,[0.0],1
199791,[2e-05],1
199808,[3e-05],1
199848,[8e-05],1
199926,[1e-05],1
199928,[0.0],1
202346,[1e-05],1
202607,[0.0],1
198074,[0.0006],1
202728,[0.0],1
204731,[0.0],1
204778,[1e-05],1
204833,[0.0],1
204959,[0.0],1
205178,[0.0],1
205259,[5e-05],1
