feature nr: 0, importance: 0.00002
feature nr: 1, importance: 0.00022
feature nr: 3, importance: 0.00003
feature nr: 12, importance: 0.00012
feature nr: 57, importance: 0.00022
feature nr: 66, importance: 0.00006
feature nr: 70, importance: 0.00004
feature nr: 77, importance: 0.00006
feature nr: 84, importance: 0.00005
feature nr: 96, importance: 0.00036
feature nr: 119, importance: 0.00002
feature nr: 129, importance: 0.00000
feature nr: 154, importance: 0.00003
feature nr: 158, importance: 0.00005
feature nr: 253, importance: 0.00000
feature nr: 275, importance: 0.00003
feature nr: 300, importance: 0.00006
feature nr: 325, importance: 0.00001
feature nr: 355, importance: 0.00000
feature nr: 364, importance: 0.00012
feature nr: 366, importance: 0.00128
feature nr: 372, importance: 0.00004
feature nr: 398, importance: 0.00003
feature nr: 408, importance: 0.00002
feature nr: 418, importance: 0.00010
feature nr: 433, importance: 0.00019
feature nr: 437, importance: 0.00002
feature nr: 447, importance: 0.00022
feature nr: 458, importance: 0.00022
feature nr: 473, importance: 0.00000
feature nr: 572, importance: 0.00002
feature nr: 696, importance: 0.00125
feature nr: 731, importance: 0.00163
feature nr: 768, importance: 0.00000
feature nr: 779, importance: 0.00007
feature nr: 799, importance: 0.00004
feature nr: 812, importance: 0.00000
feature nr: 841, importance: 0.00002
feature nr: 970, importance: 0.00039
feature nr: 987, importance: 0.00002
feature nr: 997, importance: 0.00001
feature nr: 1082, importance: 0.00001
feature nr: 1099, importance: 0.00005
feature nr: 1139, importance: 0.00002
feature nr: 1209, importance: 0.00002
feature nr: 1221, importance: 0.00014
feature nr: 1391, importance: 0.00001
feature nr: 1407, importance: 0.00029
feature nr: 1416, importance: 0.00000
feature nr: 1464, importance: 0.00004
feature nr: 1520, importance: 0.00001
feature nr: 1572, importance: 0.00001
feature nr: 1582, importance: 0.00008
feature nr: 1599, importance: 0.00005
feature nr: 1608, importance: 0.00011
feature nr: 1622, importance: 0.00002
feature nr: 1668, importance: 0.00010
feature nr: 1670, importance: 0.00011
feature nr: 1678, importance: 0.00007
feature nr: 1697, importance: 0.00020
feature nr: 1750, importance: 0.00000
feature nr: 1756, importance: 0.00000
feature nr: 1827, importance: 0.00001
feature nr: 1911, importance: 0.00009
feature nr: 1919, importance: 0.00003
feature nr: 1936, importance: 0.00008
feature nr: 1945, importance: 0.00000
feature nr: 1966, importance: 0.00000
feature nr: 1989, importance: 0.00001
feature nr: 1998, importance: 0.00016
feature nr: 2047, importance: 0.00018
feature nr: 2072, importance: 0.00000
feature nr: 2147, importance: 0.00002
feature nr: 2276, importance: 0.00172
feature nr: 2301, importance: 0.00005
feature nr: 2307, importance: 0.00030
feature nr: 2351, importance: 0.00011
feature nr: 2381, importance: 0.00017
feature nr: 2450, importance: 0.00001
feature nr: 2479, importance: 0.00009
feature nr: 2480, importance: 0.00010
feature nr: 2481, importance: 0.00254
feature nr: 2581, importance: 0.00000
feature nr: 2586, importance: 0.00020
feature nr: 2604, importance: 0.00001
feature nr: 2691, importance: 0.00006
feature nr: 2749, importance: 0.00004
feature nr: 2754, importance: 0.00002
feature nr: 2845, importance: 0.00000
feature nr: 2899, importance: 0.00043
feature nr: 2937, importance: 0.00008
feature nr: 2938, importance: 0.00002
feature nr: 2944, importance: 0.00000
