"ensembl_gene_id" "external_gene_name"
"1" "ENSG00000001617" "SEMA3F"
"2" "ENSG00000006015" "REX1BD"
"3" "ENSG00000006016" "CRLF1"
"4" "ENSG00000008735" "MAPK8IP2"
"5" "ENSG00000010295" "IFFO1"
"6" "ENSG00000011304" "PTBP1"
"7" "ENSG00000012048" "BRCA1"
"8" "ENSG00000012779" "ALOX5"
"9" "ENSG00000016864" "GLT8D1"
"10" "ENSG00000023697" "DERA"
"11" "ENSG00000026025" "VIM"
"12" "ENSG00000042286" "AIFM2"
"13" "ENSG00000042781" "USH2A"
"14" "ENSG00000042813" "ZPBP"
"15" "ENSG00000049656" "CLPTM1L"
"16" "ENSG00000051382" "PIK3CB"
"17" "ENSG00000061918" "GUCY1B1"
"18" "ENSG00000064547" "LPAR2"
"19" "ENSG00000068383" "INPP5A"
"20" "ENSG00000068650" "ATP11A"
"21" "ENSG00000069188" "SDK2"
"22" "ENSG00000071242" "RPS6KA2"
"23" "ENSG00000072041" "SLC6A15"
"24" "ENSG00000072133" "RPS6KA6"
"25" "ENSG00000072195" "SPEG"
"26" "ENSG00000072657" "TRHDE"
"27" "ENSG00000072786" "STK10"
"28" "ENSG00000077684" "JADE1"
"29" "ENSG00000078399" "HOXA9"
"30" "ENSG00000080572" "PIH1D3"
"31" "ENSG00000083307" "GRHL2"
"32" "ENSG00000083814" "ZNF671"
"33" "ENSG00000085563" "ABCB1"
"34" "ENSG00000087269" "NOP14"
"35" "ENSG00000087274" "ADD1"
"36" "ENSG00000088899" "LZTS3"
"37" "ENSG00000089163" "SIRT4"
"38" "ENSG00000089639" "GMIP"
"39" "ENSG00000099284" "MACROH2A2"
"40" "ENSG00000099869" "IGF2-AS"
"41" "ENSG00000099940" "SNAP29"
"42" "ENSG00000100288" "CHKB"
"43" "ENSG00000100596" "SPTLC2"
"44" "ENSG00000100647" "SUSD6"
"45" "ENSG00000101246" "ARFRP1"
"46" "ENSG00000101421" "CHMP4B"
"47" "ENSG00000101493" "ZNF516"
"48" "ENSG00000101670" "LIPG"
"49" "ENSG00000101871" "MID1"
"50" "ENSG00000101966" "XIAP"
"51" "ENSG00000102053" "ZC3H12B"
"52" "ENSG00000102606" "ARHGEF7"
"53" "ENSG00000102763" "VWA8"
"54" "ENSG00000103479" "RBL2"
"55" "ENSG00000105438" "KDELR1"
"56" "ENSG00000105464" "GRIN2D"
"57" "ENSG00000105576" "TNPO2"
"58" "ENSG00000105825" "TFPI2"
"59" "ENSG00000105928" "GSDME"
"60" "ENSG00000105989" "WNT2"
"61" "ENSG00000105997" "HOXA3"
"62" "ENSG00000106004" "HOXA5"
"63" "ENSG00000106006" "HOXA6"
"64" "ENSG00000106038" "EVX1"
"65" "ENSG00000106348" "IMPDH1"
"66" "ENSG00000107485" "GATA3"
"67" "ENSG00000107614" "TRDMT1"
"68" "ENSG00000108001" "EBF3"
"69" "ENSG00000109158" "GABRA4"
"70" "ENSG00000109736" "MFSD10"
"71" "ENSG00000110171" "TRIM3"
"72" "ENSG00000110328" "GALNT18"
"73" "ENSG00000111218" "PRMT8"
"74" "ENSG00000111490" "TBC1D30"
"75" "ENSG00000111641" "NOP2"
"76" "ENSG00000112246" "SIM1"
"77" "ENSG00000113448" "PDE4D"
"78" "ENSG00000114656" "KIAA1257"
"79" "ENSG00000114988" "LMAN2L"
"80" "ENSG00000116544" "DLGAP3"
"81" "ENSG00000116679" "IVNS1ABP"
"82" "ENSG00000119042" "SATB2"
"83" "ENSG00000119541" "VPS4B"
"84" "ENSG00000119685" "TTLL5"
"85" "ENSG00000119686" "FLVCR2"
"86" "ENSG00000119927" "GPAM"
"87" "ENSG00000121851" "POLR3GL"
"88" "ENSG00000122121" "XPNPEP2"
"89" "ENSG00000122641" "INHBA"
"90" "ENSG00000122786" "CALD1"
"91" "ENSG00000123066" "MED13L"
"92" "ENSG00000123612" "ACVR1C"
"93" "ENSG00000124249" "KCNK15"
"94" "ENSG00000125247" "TMTC4"
"95" "ENSG00000125337" "KIF25"
"96" "ENSG00000125779" "PANK2"
"97" "ENSG00000125835" "SNRPB"
"98" "ENSG00000125861" "GFRA4"
"99" "ENSG00000126217" "MCF2L"
"100" "ENSG00000126247" "CAPNS1"
"101" "ENSG00000126970" "ZC4H2"
"102" "ENSG00000127124" "HIVEP3"
"103" "ENSG00000127884" "ECHS1"
"104" "ENSG00000127928" "GNGT1"
"105" "ENSG00000128512" "DOCK4"
"106" "ENSG00000128656" "CHN1"
"107" "ENSG00000129465" "RIPK3"
"108" "ENSG00000129467" "ADCY4"
"109" "ENSG00000129965" "INS-IGF2"
"110" "ENSG00000130699" "TAF4"
"111" "ENSG00000130787" "HIP1R"
"112" "ENSG00000130812" "ANGPTL6"
"113" "ENSG00000130813" "SHFL"
"114" "ENSG00000131378" "RFTN1"
"115" "ENSG00000131446" "MGAT1"
"116" "ENSG00000131831" "RAI2"
"117" "ENSG00000132254" "ARFIP2"
"118" "ENSG00000132286" "TIMM10B"
"119" "ENSG00000133121" "STARD13"
"120" "ENSG00000133131" "MORC4"
"121" "ENSG00000133138" "TBC1D8B"
"122" "ENSG00000133315" "MACROD1"
"123" "ENSG00000133858" "ZFC3H1"
"124" "ENSG00000133935" "ERG28"
"125" "ENSG00000134030" "CTIF"
"126" "ENSG00000134533" "RERG"
"127" "ENSG00000136147" "PHF11"
"128" "ENSG00000136295" "TTYH3"
"129" "ENSG00000136367" "ZFHX2"
"130" "ENSG00000137203" "TFAP2A"
"131" "ENSG00000138381" "ASNSD1"
"132" "ENSG00000139287" "TPH2"
"133" "ENSG00000139514" "SLC7A1"
"134" "ENSG00000139835" "GRTP1"
"135" "ENSG00000140564" "FURIN"
"136" "ENSG00000140612" "SEC11A"
"137" "ENSG00000140798" "ABCC12"
"138" "ENSG00000141564" "RPTOR"
