"seqnames","start","end","width","strand","probe","gene_feature.ranges.start","gene_feature.ranges.end","gene_feature.ranges.width","gene_feature.strand","ensembl_gene_id","gene_name","start_position","end_position","feature_type"
"1","chr16",53434200,53434201,2,"*","cg00000029",53433977,53491648,57672,"+","ENSG00000103479","RBL2",53434490,53435297,"N_Shore"
"2","chr8",42405776,42405777,2,"*","cg00000236",42391624,42405937,14314,"+","ENSG00000078668","VDAC3",42410919,42411241,"."
"3","chr16",28878779,28878780,2,"*","cg00000292",28341434,29370272,1028839,"+","ENSG00000288630","AC009093.11",28879634,28880547,"N_Shore"
"4","chr16",28878779,28878780,2,"*","cg00000292",28878405,28904466,26062,"+","ENSG00000196296","ATP2A1",28879634,28880547,"N_Shore"
"5","chr19",54191827,54191828,2,"*","cg00000714",54189938,54194536,4599,"+","ENSG00000170892","TSEN34",54189179,54191646,"S_Shore"
"6","chr12",123601930,123601931,2,"*","cg00000769",123602077,123620943,18867,"+","ENSG00000111364","DDX55",123601671,123602468,"Island"
"7","chr15",59493107,59493108,2,"*","cg00000905",59372693,59523555,150863,"+","ENSG00000157470","FAM81A",59437872,59438539,"."
"8","chr2",102797583,102797584,2,"*","cg00001791",102736905,103019900,282996,"+","ENSG00000170417","TMEM182",102736680,102736955,"."
"9","chr10",68230831,68230832,2,"*","cg00001874",68230595,68232113,1519,"-","ENSG00000179774","ATOH7",68231137,68231766,"N_Shore"
"10","chr18",70205825,70205826,2,"*","cg00002236",70003031,70205726,202696,"-","ENSG00000176225","RTTN",70205286,70206122,"Island"
"11","chr18",70205825,70205826,2,"*","cg00002236",70205774,70208781,3008,"+","ENSG00000287646","AC021701.1",70205286,70206122,"Island"
"12","chr16",30355114,30355115,2,"*","cg00002406",30350773,30355308,4536,"-","ENSG00000169217","CD2BP2",30354886,30355440,"Island"
"13","chr16",30355114,30355115,2,"*","cg00002406",30355441,30357104,1664,"+","ENSG00000260219","CD2BP2-DT",30354886,30355440,"Island"
"14","chr1",1333413,1333414,2,"*","cg00002593",1331280,1335314,4035,"+","ENSG00000169962","TAS1R3",1332056,1333606,"Island"
"15","chr12",56189826,56189827,2,"*","cg00002660",56162359,56190284,27926,"-","ENSG00000258199","AC073896.4",56188925,56189898,"Island"
"16","chr12",56189826,56189827,2,"*","cg00002660",56162359,56189567,27209,"-","ENSG00000139613","SMARCC2",56188925,56189898,"Island"
"17","chr1",223395358,223395359,2,"*","cg00002808",223393415,223395465,2051,"+","ENSG00000178395","CCDC185",223394340,223394644,"S_Shore"
"18","chr9",112331381,112331382,2,"*","cg00008629",112217716,112333664,115949,"-","ENSG00000119314","PTBP3",112332870,112334173,"N_Shore"
"19","chr14",56119310,56119311,2,"*","cg00009364",56117814,56301524,183711,"+","ENSG00000139946","PELI2",56117893,56119516,"Island"
"20","chr14",56119310,56119311,2,"*","cg00009364",56117316,56117990,675,"-","ENSG00000277763","AL138995.1",56117893,56119516,"Island"
"21","chr16",3541728,3541729,2,"*","cg00011564",3539033,3577403,38371,"-","ENSG00000167984","NLRC3",3563100,3563545,"."
"22","chr16",3541728,3541729,2,"*","cg00011564",3542739,3545785,3047,"+","ENSG00000262312","AC004494.1",3563100,3563545,"."
"23","chr2",85354382,85354383,2,"*","cg00014085",85341955,85354531,12577,"-","ENSG00000042445","RETSAT",85354510,85354840,"N_Shore"
"24","chr2",85354382,85354383,2,"*","cg00014085",85354394,85391752,37359,"+","ENSG00000115459","ELMOD3",85354510,85354840,"N_Shore"
"25","chr16",22374091,22374092,2,"*","cg00024790",22345936,22437165,91230,"-","ENSG00000140743","CDR2",22373757,22375164,"Island"
"26","chr16",22374091,22374092,2,"*","cg00024790",22374859,22378180,3322,"+","ENSG00000260790","AC092338.2",22373757,22375164,"Island"
"27","chr2",200816137,200816138,2,"*","cg00047501",200810594,200827338,16745,"+","ENSG00000082153","BZW1",200811267,200812583,"S_Shelf"
"28","chr11",31815689,31815690,2,"*","cg00060304",31784779,31817961,33183,"-","ENSG00000007372","PAX6",31815871,31818265,"N_Shore"
"29","chr11",31815689,31815690,2,"*","cg00060304",31812307,32002405,190099,"+","ENSG00000281880","PAUPAR",31815871,31818265,"N_Shore"
"30","chr11",31815689,31815690,2,"*","cg00060304",31812391,32104665,292275,"+","ENSG00000285283","AL035078.4",31815871,31818265,"N_Shore"
"31","chr17",7280897,7280898,2,"*","cg00064950",7281718,7288257,6540,"+","ENSG00000181856","SLC2A4",7280706,7282368,"Island"
"32","chr6",148415806,148415807,2,"*","cg00071210",148272304,148552048,279745,"+","ENSG00000111961","SASH1",148342290,148343079,"."
"33","chr16",12098468,12098469,2,"*","cg00108992",11976734,12574287,597554,"+","ENSG00000048471","SNX29",12116799,12117439,"."
"34","chr20",57671703,57671704,2,"*","cg00238543",57648392,57711536,63145,"-","ENSG00000124225","PMEPA1",57672194,57672595,"N_Shore"
"35","chr12",6700049,6700050,2,"*","cg00238770",6693792,6700800,7009,"-","ENSG00000139200","PIANP",6700049,6700912,"Island"
"36","chr5",172683474,172683475,2,"*","cg00327072",172641263,172691540,50278,"+","ENSG00000214357","NEURL1B",172683280,172684301,"Island"
"37","chr2",11779406,11779407,2,"*","cg00419568",11677595,11827409,149815,"+","ENSG00000134324","LPIN1",11784858,11785127,"."
"38","chr16",3021607,3021608,2,"*","cg00510447",3018445,3022383,3939,"+","ENSG00000006327","TNFRSF12A",3020095,3021304,"S_Shore"
"39","chr10",43437452,43437453,2,"*","cg00588614",43436841,43483181,46341,"+","ENSG00000243660","ZNF487",43436511,43437224,"S_Shore"
"40","chr11",69704320,69704321,2,"*","cg00606989",69698238,69704022,5785,"-","ENSG00000162344","FGF19",69702164,69705161,"Island"
"41","chr1",23904863,23904864,2,"*","cg00660272",23870515,23913362,42848,"-","ENSG00000188822","CNR2",23902626,23903047,"S_Shore"
"42","chr2",54664463,54664464,2,"*","cg00710366",54456317,54671446,215130,"+","ENSG00000115306","SPTBN1",54628962,54629350,"."
"43","chr2",54664463,54664464,2,"*","cg00710366",54661011,54680045,19035,"-","ENSG00000238018","AC093110.1",54628962,54629350,"."
"44","chr3",190320890,190320891,2,"*","cg00804587",190305707,190322446,16740,"-","ENSG00000163347","CLDN1",190322029,190322676,"N_Shore"
"45","chr1",32215767,32215768,2,"*","cg00853979",32209094,32216196,7103,"+","ENSG00000222046","DCDC2B",32221921,32222439,"."
"46","chr1",32215767,32215768,2,"*","cg00853979",32214472,32222359,7888,"-","ENSG00000160055","TMEM234",32221921,32222439,"."
"47","chr9",34134618,34134619,2,"*","cg00923230",34133157,34134696,1540,"-","ENSG00000239392","AL354989.2",34126269,34126961,"."
"48","chr10",102646588,102646589,2,"*","cg00957665",102644479,102658318,13840,"+","ENSG00000171206","TRIM8",102642065,102645211,"S_Shore"
"49","chr2",209772120,209772121,2,"*","cg01082843",209771832,209999300,227469,"+","ENSG00000144406","UNC80",209771621,209772211,"Island"
"50","chr17",44315300,44315301,2,"*","cg01122302",44299574,44315315,15742,"-","ENSG00000267750","RUNDC3A-AS1",44314956,44315711,"Island"
"51","chr17",44315300,44315301,2,"*","cg01122302",44308413,44318670,10258,"+","ENSG00000108309","RUNDC3A",44314956,44315711,"Island"
"52","chr11",43942901,43942902,2,"*","cg01264747",43921059,44001157,80099,"+","ENSG00000254409","AC087521.3",43942077,43944498,"Island"
"53","chr11",43942901,43942902,2,"*","cg01264747",43925342,43943878,18537,"+","ENSG00000187479","C11orf96",43942077,43944498,"Island"
"54","chr5",144170965,144170966,2,"*","cg01276891",144158162,144170714,12553,"-","ENSG00000145817","YIPF5",144170376,144170769,"S_Shore"
"55","chr5",144170965,144170966,2,"*","cg01276891",144170873,144485686,314814,"+","ENSG00000183775","KCTD16",144170376,144170769,"S_Shore"
"56","chr5",78510346,78510347,2,"*","cg01283201",78485215,78770021,284807,"-","ENSG00000145685","LHFPL2",78509931,78510490,"Island"
"57","chr19",17648515,17648516,2,"*","cg01328269",17601328,17688365,87038,"-","ENSG00000130477","UNC13A",17648367,17648601,"Island"
"58","chr11",72741437,72741438,2,"*","cg01380194",72685069,72793599,108531,"-","ENSG00000186635","ARAP1",72752048,72752672,"."
"59","chr14",68789960,68789961,2,"*","cg01424562",68787660,68796253,8594,"-","ENSG00000185650","ZFP36L1",68789960,68790319,"Island"
"60","chr6",7228980,7228981,2,"*","cg01451329",7107597,7251980,144384,"+","ENSG00000124782","RREB1",7229645,7230632,"N_Shore"
"61","chr3",157109907,157109908,2,"*","cg01535205",157081667,157128595,46929,"-","ENSG00000243629","LINC00880",157120195,157120636,"."
"62","chr3",157109907,157109908,2,"*","cg01535205",157089634,157135557,45924,"+","ENSG00000241135","LINC00881",157120195,157120636,"."
"63","chr9",34048103,34048104,2,"*","cg01558151",33921693,34048949,127257,"-","ENSG00000137073","UBAP2",34048642,34049617,"N_Shore"
"64","chr13",76928671,76928672,2,"*","cg01665118",76928066,76928836,771,"+","ENSG00000118903","BTF3P11",76885188,76886964,"."
"65","chr1",43172343,43172344,2,"*","cg01728866",43164175,43270936,106762,"-","ENSG00000117395","EBNA1BP2",43171833,43172381,"Island"
"66","chr1",43172343,43172344,2,"*","cg01728866",43172330,43254358,82029,"+","ENSG00000243710","CFAP57",43171833,43172381,"Island"
"67","chr1",43172343,43172344,2,"*","cg01728866",43171652,43171712,61,"-","ENSG00000284410","MIR6733",43171833,43172381,"Island"
"68","chr16",67155726,67155727,2,"*","cg01961069",67154185,67159909,5725,"-","ENSG00000102871","TRADD",67154711,67155749,"Island"
"69","chr17",81084533,81084534,2,"*","cg02080909",81035122,81117432,82311,"+","ENSG00000175866","BAIAP2",81078093,81078734,"."
"70","chr2",55223601,55223602,2,"*","cg02271560",55172547,55232563,60017,"-","ENSG00000162994","CLHC1",55223384,55223795,"Island"
"71","chr2",55223601,55223602,2,"*","cg02271560",55224280,55225908,1629,"+","ENSG00000227799","CDPF1P1",55223384,55223795,"Island"
"72","chr5",1815928,1815929,2,"*","cg02726335",1801407,1816048,14642,"+","ENSG00000145494","NDUFS6",1799348,1801791,"."
"73","chr17",18667832,18667833,2,"*","cg02845071",18658429,18682228,23800,"-","ENSG00000249459","ZNF286B",18671824,18672040,"N_Shelf"
"74","chr17",18667832,18667833,2,"*","cg02845071",18663505,18682262,18758,"-","ENSG00000240445","FOXO3B",18671824,18672040,"N_Shelf"
"75","chr1",32014355,32014356,2,"*","cg02955361",32013868,32060850,46983,"+","ENSG00000121774","KHDRBS1",32013502,32014982,"Island"
"76","chr8",74321843,74321844,2,"*","cg03060802",74234700,74321540,86841,"-","ENSG00000104369","JPH1",74320415,74321866,"Island"
"77","chr8",74321843,74321844,2,"*","cg03060802",74320613,74518007,197395,"+","ENSG00000104381","GDAP1",74320415,74321866,"Island"
"78","chr6",125956647,125956648,2,"*","cg03247626",125956770,125980244,23475,"+","ENSG00000111911","HINT3",125956647,125957355,"Island"
"79","chr1",26863296,26863297,2,"*","cg03421300",26863149,26864456,1308,"+","ENSG00000175793","SFN",26863422,26863637,"N_Shore"
"80","chr3",4983076,4983077,2,"*","cg03598297",4979437,4985323,5887,"+","ENSG00000134107","BHLHE40",4983076,4983282,"Island"
"81","chr17",79046373,79046374,2,"*","cg03643998",79022814,79049788,26975,"+","ENSG00000173918","C1QTNF1",79047660,79048407,"N_Shore"
"82","chr6",170090752,170090753,2,"*","cg03914925",170088022,170097234,9213,"+","ENSG00000287823","AL603783.1",170086677,170088127,"S_Shelf"
"83","chr19",45509430,45509431,2,"*","cg04270347",45506579,45526983,20405,"+","ENSG00000125753","VASP",45506521,45508034,"S_Shore"
"84","chr2",199303854,199303855,2,"*","cg04554576",199269500,199471266,201767,"-","ENSG00000119042","SATB2",199455780,199460051,"."
"85","chr20",19935213,19935214,2,"*","cg04750536",19757606,20002459,244854,"+","ENSG00000132669","RIN2",19974893,19975390,"."
"86","chr4",1854207,1854208,2,"*","cg04814467",1811479,1856156,44678,"-","ENSG00000168924","LETM1",1855339,1857160,"N_Shore"
"87","chr1",145859481,145859482,2,"*","cg04921814",145848522,145859836,11315,"-","ENSG00000131788","PIAS3",145858693,145859938,"Island"
"88","chr15",82710026,82710027,2,"*","cg05310882",82659281,82709946,50666,"-","ENSG00000103723","AP3B2",82709256,82710316,"Island"
"89","chr8",122783665,122783666,2,"*","cg05459517",122781655,122974510,192856,"+","ENSG00000178764","ZHX2",122780131,122782847,"S_Shore"
"90","chr6",36677323,36677324,2,"*","cg05460965",36676460,36687337,10878,"+","ENSG00000124762","CDKN1A",36678468,36680688,"N_Shore"
"91","chr9",137619941,137619942,2,"*","cg05616472",137605744,137711018,105275,"+","ENSG00000283411","AL590627.3",137618441,137619520,"S_Shore"
"92","chr9",137619941,137619942,2,"*","cg05616472",137615332,137618906,3575,"-","ENSG00000203993","ARRDC1-AS1",137618441,137619520,"S_Shore"
"93","chr9",137619941,137619942,2,"*","cg05616472",137618992,137870016,251025,"+","ENSG00000181090","EHMT1",137618441,137619520,"S_Shore"
"94","chr3",46689451,46689452,2,"*","cg05839570",46668995,46693704,24710,"-","ENSG00000178038","ALS2CL",46693242,46694227,"N_Shelf"
"95","chr4",54099832,54099833,2,"*","cg06085011",53377839,54295272,917434,"+","ENSG00000282278","AC058822.1",54099997,54101896,"N_Shore"
"96","chr4",54099832,54099833,2,"*","cg06085011",54099523,54102498,2976,"+","ENSG00000180613","GSX2",54099997,54101896,"N_Shore"
"97","chr12",122030274,122030275,2,"*","cg06287140",122019422,122062044,42623,"+","ENSG00000110987","BCL7A",122021391,122023461,"."
"98","chr19",55157691,55157692,2,"*","cg06478143",55151767,55157773,6007,"-","ENSG00000129991","TNNI3",55156165,55157097,"S_Shore"
"99","chr19",55157691,55157692,2,"*","cg06478143",55154757,55160671,5915,"-","ENSG00000267110","AC010327.2",55156165,55157097,"S_Shore"
"100","chr19",55157691,55157692,2,"*","cg06478143",55158939,55177540,18602,"+","ENSG00000267577","AC010327.4",55156165,55157097,"S_Shore"
"101","chr1",71081002,71081003,2,"*","cg06567342",71063291,71081289,17999,"-","ENSG00000132485","ZRANB2",71080804,71081100,"Island"
"102","chr1",71081002,71081003,2,"*","cg06567342",71081324,71489976,408653,"+","ENSG00000229956","ZRANB2-AS2",71080804,71081100,"Island"
"103","chr6",41639131,41639132,2,"*","cg06688989",41636882,41654246,17365,"+","ENSG00000112559","MDFI",41636846,41638925,"S_Shore"
"104","chr16",89860979,89860980,2,"*","cg07066561",89818179,89871319,53141,"+","ENSG00000204991","SPIRE2",89854511,89854713,"."
"105","chr14",68978123,68978124,2,"*","cg08221175",68874128,68979440,105313,"-","ENSG00000072110","ACTN1",68977923,68980109,"Island"
"106","chr11",34174546,34174547,2,"*","cg08224212",34150987,34358010,207024,"-","ENSG00000166016","ABTB2",34174443,34174709,"Island"
"107","chr17",38925622,38925623,2,"*","cg08388455",38925168,38929384,4217,"+","ENSG00000263874","LINC00672",38918608,38918844,"."
"108","chr6",53282843,53282844,2,"*","cg08597067",53267398,53349179,81782,"-","ENSG00000012660","ELOVL5",53347820,53349245,"."
"109","chr22",19755506,19755507,2,"*","cg08886651",19756703,19783593,26891,"+","ENSG00000184058","TBX1",19755280,19757206,"Island"
"110","chr17",560359,560360,2,"*","cg09006420",508668,721717,213050,"-","ENSG00000141252","VPS53",502958,503262,"."
"111","chr11",67253084,67253085,2,"*","cg09175485",67119263,67258082,138820,"+","ENSG00000173120","KDM2A",67250137,67250351,"S_Shelf"
"112","chr11",67253084,67253085,2,"*","cg09175485",67252336,67261545,9210,"-","ENSG00000287934","AP001885.3",67250137,67250351,"S_Shelf"
"113","chr16",61917177,61917178,2,"*","cg09354518",61647242,62037035,389794,"-","ENSG00000150394","CDH8",62035218,62036730,"."
"114","chr16",61917177,61917178,2,"*","cg09354518",61918321,61940697,22377,"+","ENSG00000260115","AC012174.1",62035218,62036730,"."
"115","chr3",48990845,48990846,2,"*","cg09610987",48985049,48989988,4940,"-","ENSG00000223343","AC137630.1",48989684,48990923,"Island"
"116","chr3",48990845,48990846,2,"*","cg09610987",48989889,49007153,17265,"+","ENSG00000178467","P4HTM",48989684,48990923,"Island"
"117","chr22",46053941,46053942,2,"*","cg09693106",46049478,46054144,4667,"-","ENSG00000182257","PRR34",46053753,46054235,"Island"
"118","chr22",46053941,46053942,2,"*","cg09693106",46053705,46057210,3506,"+","ENSG00000241990","PRR34-AS1",46053753,46054235,"Island"
"119","chr22",46053941,46053942,2,"*","cg09693106",46053869,46113928,60060,"+","ENSG00000197182","MIRLET7BHG",46053753,46054235,"Island"
"120","chr1",231336406,231336407,2,"*","cg09862914",231332753,231337852,5100,"-","ENSG00000116903","EXOC8",231337520,231338636,"N_Shore"
"121","chr1",231336406,231336407,2,"*","cg09862914",231337104,231355023,17920,"+","ENSG00000010072","SPRTN",231337520,231338636,"N_Shore"
"122","chr2",241035723,241035724,2,"*","cg09991306",240998618,241095568,96951,"+","ENSG00000162804","SNED1",241035490,241036901,"Island"
"123","chr2",241035723,241035724,2,"*","cg09991306",241015599,241064116,48518,"-","ENSG00000225521","AC005237.1",241035490,241036901,"Island"
"124","chr11",115227210,115227211,2,"*","cg10320783",115169218,115504957,335740,"-","ENSG00000182985","CADM1",115153888,115154224,"."
"125","chr19",16519474,16519475,2,"*","cg10396588",16479067,16628204,149138,"-","ENSG00000141979","AC008764.1",16519119,16519345,"S_Shore"
"126","chr19",16519474,16519475,2,"*","cg10396588",16496394,16521352,24959,"+","ENSG00000105072","C19orf44",16519119,16519345,"S_Shore"
"127","chr19",16519474,16519475,2,"*","cg10396588",16517894,16542437,24544,"-","ENSG00000085872","CHERP",16519119,16519345,"S_Shore"
"128","chr6",26521519,26521520,2,"*","cg10414736",26521709,26527404,5696,"+","ENSG00000228223","HCG11",26521720,26522351,"N_Shore"
"129","chr9",131429993,131429994,2,"*","cg10660666",131373636,131500197,126562,"+","ENSG00000130723","PRRC2B",131394270,131394865,"."
"130","chr7",107202067,107202068,2,"*","cg10840361",107168961,107202522,33562,"+","ENSG00000105856","HBP1",107169017,107169884,"."
"131","chr7",107202067,107202068,2,"*","cg10840361",107201555,107564514,362960,"-","ENSG00000164597","COG5",107169017,107169884,"."
"132","chr7",154840892,154840893,2,"*","cg10860802",153887097,154894285,1007189,"+","ENSG00000130226","DPP6",154793973,154794626,"."
"133","chr7",154840892,154840893,2,"*","cg10860802",154838388,154865483,27096,"-","ENSG00000236408","AC073336.1",154793973,154794626,"."
"134","chr4",54109426,54109427,2,"*","cg11332163",53377839,54295272,917434,"+","ENSG00000282278","AC058822.1",54109221,54110035,"Island"
"135","chr6",166557239,166557240,2,"*","cg11387340",166409364,166906451,497088,"-","ENSG00000071242","RPS6KA2",166618843,166619094,"."
"136","chrX",50911006,50911007,2,"*","cg11898317",50910735,50916641,5907,"+","ENSG00000130385","BMP15",50813260,50814179,"."
"137","chr11",10305042,10305043,2,"*","cg12228707",10302657,10303704,1048,"-","ENSG00000254554","AC080023.1",10304502,10305043,"Island"
"138","chr11",10305042,10305043,2,"*","cg12228707",10305073,10307397,2325,"+","ENSG00000148926","ADM",10304502,10305043,"Island"
"139","chr7",30503995,30503996,2,"*","cg12773030",30496621,30504841,8221,"-","ENSG00000006625","GGCT",30504369,30505389,"N_Shore"
"140","chr7",30503995,30503996,2,"*","cg12773030",30497077,30550761,53685,"-","ENSG00000281039","AC005154.5",30504369,30505389,"N_Shore"
"141","chr10",29659499,29659500,2,"*","cg13324103",29457338,29736959,279622,"-","ENSG00000197321","SVIL",29735144,29737148,"."
"142","chr11",1628885,1628886,2,"*","cg13363708",1629775,1630707,933,"+","ENSG00000185940","KRTAP5-5",1652605,1652994,"."
"143","chr6",125221902,125221903,2,"*","cg13520736",125119049,125264407,145359,"+","ENSG00000111907","TPD52L1",125153659,125154598,"."
"144","chr6",125221902,125221903,2,"*","cg13520736",125219962,125302078,82117,"-","ENSG00000111906","HDDC2",125153659,125154598,"."
"145","chr17",45121243,45121244,2,"*","cg13641043",45108959,45133354,24396,"-","ENSG00000161714","PLCD3",45120911,45121406,"Island"
"146","chr9",127922050,127922051,2,"*","cg13838014",127920881,127930785,9905,"-","ENSG00000167103","PIP5KL1",127921691,127922091,"Island"
"147","chr1",200465291,200465292,2,"*","cg13911768",200333193,200478669,145477,"+","ENSG00000230623","AC104461.1",200409772,200410237,"."
"148","chr5",6449040,6449041,2,"*","cg13955436",6448859,6496723,47865,"+","ENSG00000215218","UBE2QL1",6448641,6449404,"Island"
"149","chr9",123357696,123357697,2,"*","cg14479301",123356170,123380324,24155,"+","ENSG00000148204","CRB2",123365918,123366478,"."
"150","chr7",139635600,139635601,2,"*","cg15039797",139561570,139777998,216429,"-","ENSG00000064393","HIPK2",139716488,139716723,"."
"151","chr19",49149789,49149790,2,"*","cg15078413",49119544,49151026,31483,"+","ENSG00000177380","PPFIA3",49148956,49151003,"Island"
"152","chr19",18208552,18208553,2,"*","cg15234155",18204730,18220480,15751,"+","ENSG00000268650","AC005759.1",18208336,18208553,"Island"
"153","chr19",18208552,18208553,2,"*","cg15234155",18207961,18255419,47459,"-","ENSG00000285188","AC008397.2",18208336,18208553,"Island"
"154","chr7",100436787,100436788,2,"*","cg15547534",100436204,100438504,2301,"+","ENSG00000240211","PPP1R35-AS1",100435640,100436630,"S_Shore"
"155","chr7",100436787,100436788,2,"*","cg15547534",100435282,100436497,1216,"-","ENSG00000160813","PPP1R35",100435640,100436630,"S_Shore"
"156","chr12",122965669,122965670,2,"*","cg15656257",122920951,122981649,60699,"-","ENSG00000150967","ABCB9",122966322,122966660,"N_Shore"
"157","chr1",156488153,156488154,2,"*","cg15723874",156463727,156500779,37053,"-","ENSG00000116604","MEF2D",156499826,156501268,"."
"158","chr17",38564146,38564147,2,"*","cg15809959",38530031,38605952,75922,"-","ENSG00000277363","SRCIN1",38563309,38563702,"S_Shore"
"159","chr14",23025118,23025119,2,"*","cg16683008",23016543,23035230,18688,"-","ENSG00000100804","PSMB5",23010102,23010323,"."
"160","chr14",23025118,23025119,2,"*","cg16683008",23023083,23024217,1135,"-","ENSG00000279656","AL132780.4",23010102,23010323,"."
"161","chr17",75753613,75753614,2,"*","cg16916914",75721328,75757818,36491,"+","ENSG00000132470","ITGB4",75753538,75754097,"Island"
"162","chr17",75753613,75753614,2,"*","cg16916914",75751594,75765236,13643,"-","ENSG00000108479","GALK1",75753538,75754097,"Island"
"163","chr17",4848131,4848132,2,"*","cg17901582",4833340,4898061,64722,"+","ENSG00000141503","MINK1",4833138,4833805,"."
"164","chr5",88659800,88659801,2,"*","cg18358723",88507546,88691057,183512,"-","ENSG00000245526","LINC00461",88659821,88660046,"N_Shore"
"165","chr11",31816412,31816413,2,"*","cg18400845",31784779,31817961,33183,"-","ENSG00000007372","PAX6",31815871,31818265,"Island"
"166","chr11",31816412,31816413,2,"*","cg18400845",31812307,32002405,190099,"+","ENSG00000281880","PAUPAR",31815871,31818265,"Island"
"167","chr11",31816412,31816413,2,"*","cg18400845",31812391,32104665,292275,"+","ENSG00000285283","AL035078.4",31815871,31818265,"Island"
"168","chr7",141708707,141708708,2,"*","cg18769555",141704003,141738346,34344,"-","ENSG00000228775","WEE2-AS1",141701633,141702407,"."
"169","chr7",141708707,141708708,2,"*","cg18769555",141708353,141731271,22919,"+","ENSG00000214102","WEE2",141701633,141702407,"."
"170","chr1",21870394,21870395,2,"*","cg18861547",21822244,21937310,115067,"-","ENSG00000142798","HSPG2",21864857,21865099,"."
"171","chr10",115903311,115903312,2,"*","cg18974117",115093365,115948999,855635,"+","ENSG00000107518","ATRNL1",116125303,116125518,"."
"172","chr11",66921157,66921158,2,"*","cg19218057",66848417,66958386,109970,"-","ENSG00000173599","PC",66958033,66958902,"."
