"seqnames","start","end","width","strand","probe","gene_feature.ranges.start","gene_feature.ranges.end","gene_feature.ranges.width","gene_feature.strand","ensembl_gene_id","gene_name","start_position","end_position","feature_type"
"1","chr16",28878779,28878780,2,"*","cg00000292",28341434,29370272,1028839,"+","ENSG00000288630","AC009093.11",28879634,28880547,"N_Shore"
"2","chr16",28878779,28878780,2,"*","cg00000292",28878405,28904466,26062,"+","ENSG00000196296","ATP2A1",28879634,28880547,"N_Shore"
"3","chr6",25282551,25282552,2,"*","cg00000721",25061626,25452263,390638,"-","ENSG00000168405","CMAHP",25278904,25279662,"S_Shelf"
"4","chr6",25282551,25282552,2,"*","cg00000721",25279078,25620530,341453,"+","ENSG00000079691","CARMIL1",25278904,25279662,"S_Shelf"
"5","chr12",123601930,123601931,2,"*","cg00000769",123602077,123620943,18867,"+","ENSG00000111364","DDX55",123601671,123602468,"Island"
"6","chr1",200042658,200042659,2,"*","cg00001583",200027614,200177420,149807,"+","ENSG00000116833","NR5A2",200042273,200042927,"Island"
"7","chr2",104843805,104843806,2,"*","cg00001747",104794848,104853183,58336,"-","ENSG00000233639","PANTR1",104842716,104845312,"Island"
"8","chr2",102797583,102797584,2,"*","cg00001791",102736905,103019900,282996,"+","ENSG00000170417","TMEM182",102736680,102736955,"."
"9","chr19",39307841,39307842,2,"*","cg00002033",39306566,39320863,14298,"-","ENSG00000128011","LRFN1",39307147,39308610,"Island"
"10","chr16",30355114,30355115,2,"*","cg00002406",30350773,30355308,4536,"-","ENSG00000169217","CD2BP2",30354886,30355440,"Island"
"11","chr16",30355114,30355115,2,"*","cg00002406",30355441,30357104,1664,"+","ENSG00000260219","CD2BP2-DT",30354886,30355440,"Island"
"12","chr1",153543026,153543027,2,"*","cg00002646",153537147,153541765,4619,"-","ENSG00000196420","S100A5",153535949,153536364,"."
"13","chr12",56189826,56189827,2,"*","cg00002660",56162359,56190284,27926,"-","ENSG00000258199","AC073896.4",56188925,56189898,"Island"
"14","chr12",56189826,56189827,2,"*","cg00002660",56162359,56189567,27209,"-","ENSG00000139613","SMARCC2",56188925,56189898,"Island"
"15","chr3",14125250,14125251,2,"*","cg00003173",14112077,14124870,12794,"-","ENSG00000163528","CHCHD4",14124218,14125499,"Island"
"16","chr3",14125250,14125251,2,"*","cg00003173",14125015,14143680,18666,"+","ENSG00000170876","TMEM43",14124218,14125499,"Island"
