"seqnames","start","end","width","strand","probe","gene_feature.ranges.start","gene_feature.ranges.end","gene_feature.ranges.width","gene_feature.strand","ensembl_gene_id","gene_name","start_position","end_position","feature_type"
"1","chr16",53434200,53434201,2,"*","cg00000029",53433977,53491648,57672,"+","ENSG00000103479","RBL2",53434490,53435297,"N_Shore"
"2","chr16",28878779,28878780,2,"*","cg00000292",28341434,29370272,1028839,"+","ENSG00000288630","AC009093.11",28879634,28880547,"N_Shore"
"3","chr16",28878779,28878780,2,"*","cg00000292",28878405,28904466,26062,"+","ENSG00000196296","ATP2A1",28879634,28880547,"N_Shore"
"4","chr19",54191827,54191828,2,"*","cg00000714",54189938,54194536,4599,"+","ENSG00000170892","TSEN34",54189179,54191646,"S_Shore"
"5","chr12",123601930,123601931,2,"*","cg00000769",123602077,123620943,18867,"+","ENSG00000111364","DDX55",123601671,123602468,"Island"
"6","chr1",166989202,166989203,2,"*","cg00001349",166975582,167022214,46633,"+","ENSG00000143194","MAEL",166988984,166989446,"Island"
"7","chr2",104843805,104843806,2,"*","cg00001747",104794848,104853183,58336,"-","ENSG00000233639","PANTR1",104842716,104845312,"Island"
"8","chr19",39307841,39307842,2,"*","cg00002033",39306566,39320863,14298,"-","ENSG00000128011","LRFN1",39307147,39308610,"Island"
"9","chr8",143038982,143038983,2,"*","cg00002224",143039209,143060684,21476,"+","ENSG00000177335","C8orf31",143024259,143024462,"."
"10","chr16",89936210,89936211,2,"*","cg00002769",89921392,89938761,17370,"+","ENSG00000258947","TUBB3",89934864,89935848,"S_Shore"
"11","chr4",1713277,1713278,2,"*","cg00003091",1692731,1712344,19614,"-","ENSG00000163950","SLBP",1711541,1713253,"S_Shore"
"12","chr4",1713277,1713278,2,"*","cg00003091",1712821,1715945,3125,"+","ENSG00000270195","AC016773.2",1711541,1713253,"S_Shore"
"13","chr4",1713277,1713278,2,"*","cg00003091",1712891,1745171,32281,"+","ENSG00000013810","TACC3",1711541,1713253,"S_Shore"
"14","chr6",145836231,145836232,2,"*","cg00003181",145799409,145887430,88022,"+","ENSG00000235652","FBXO30-DT",145815190,145815428,"."
"15","chr6",133951325,133951326,2,"*","cg00004608",133952170,133990432,38263,"+","ENSG00000028839","TBPL1",133952080,133953706,"N_Shore"
"16","chr16",30698245,30698246,2,"*","cg00005306",30698209,30741409,43201,"+","ENSG00000080603","SRCAP",30697954,30699089,"Island"
"17","chr16",30698245,30698246,2,"*","cg00005306",30697707,30699058,1352,"-","ENSG00000261840","AC093249.6",30697954,30699089,"Island"
"18","chr16",2519280,2519281,2,"*","cg00005390",2496032,2520218,24187,"+","ENSG00000260272","AC093525.2",2519559,2521070,"N_Shore"
"19","chr16",2519280,2519281,2,"*","cg00005390",2513952,2520218,6267,"+","ENSG00000185883","ATP6V0C",2519559,2521070,"N_Shore"
"20","chr16",2519280,2519281,2,"*","cg00005390",2513965,2527955,13991,"+","ENSG00000259784","AC093525.1",2519559,2521070,"N_Shore"
"21","chr16",2519280,2519281,2,"*","cg00005390",2520357,2531422,11066,"+","ENSG00000162066","AMDHD2",2519559,2521070,"N_Shore"
"22","chr1",154154986,154154987,2,"*","cg00006626",153992685,154155116,162432,"-","ENSG00000143552","NUP210L",154182793,154183450,"."
"23","chr4",122922639,122922640,2,"*","cg00019301",122888697,122922968,34272,"-","ENSG00000170917","NUDT6",122922208,122922640,"Island"
"24","chr4",122922639,122922640,2,"*","cg00019301",122923070,123319433,396364,"+","ENSG00000145375","SPATA5",122922208,122922640,"Island"
"25","chr1",7827882,7827883,2,"*","cg00019458",7784320,7845177,60858,"+","ENSG00000049246","PER3",7827139,7827416,"S_Shore"
"26","chr1",7827882,7827883,2,"*","cg00019458",7810242,7827342,17101,"-","ENSG00000236266","Z98884.1",7827139,7827416,"S_Shore"
"27","chr8",66613614,66613615,2,"*","cg00021237",66562175,66614247,52073,"-","ENSG00000185697","MYBL1",66612373,66613824,"Island"
"28","chr8",104464689,104464690,2,"*","cg00021978",104330324,104467055,136732,"-","ENSG00000147647","DPYS",104466445,104467112,"N_Shore"
"29","chr10",60300136,60300137,2,"*","cg00026412",60026298,60733490,707193,"-","ENSG00000151150","ANK3",59905899,59907036,"."
"30","chr7",42700887,42700888,2,"*","cg00027114",42661716,42706447,44732,"-","ENSG00000238284","LINC01448",42493478,42493684,"."
"31","chr2",39664984,39664985,2,"*","cg00034559",39436530,39665343,228814,"+","ENSG00000231312","MAP4K3-DT",39665577,39666511,"N_Shore"
"32","chr2",39664984,39664985,2,"*","cg00034559",39664982,39717963,52982,"+","ENSG00000152154","TMEM178A",39665577,39666511,"N_Shore"
"33","chr13",113044700,113044701,2,"*","cg00053927",112894378,113099742,205365,"+","ENSG00000126217","MCF2L",113047520,113047966,"N_Shelf"
"34","chr8",1100972,1100973,2,"*","cg00091146",737628,1708476,970849,"+","ENSG00000198010","DLGAP2",1101642,1101896,"N_Shore"
"35","chr5",151081555,151081556,2,"*","cg00110623",151029945,151093577,63633,"-","ENSG00000145901","TNIP1",151080526,151081303,"S_Shore"
"36","chr7",5428566,5428567,2,"*","cg00148114",5426277,5428927,2651,"-","ENSG00000234432","AC092171.3",5419561,5429625,"Island"
"37","chr7",5428566,5428567,2,"*","cg00148114",5428731,5429672,942,"+","ENSG00000273084","AC092171.5",5419561,5429625,"Island"
"38","chr1",85465130,85465131,2,"*","cg00156072",85318481,85578363,259883,"-","ENSG00000153904","DDAH1",85464258,85465485,"Island"
"39","chr10",133201796,133201797,2,"*","cg00161878",133160219,133226412,66194,"+","ENSG00000171798","KNDC1",133201200,133201898,"Island"
"40","chr17",60677713,60677714,2,"*","cg00170973",60677453,61392838,715386,"+","ENSG00000141376","BCAS3",60677265,60678119,"Island"
"41","chr12",56996621,56996622,2,"*","cg00201257",56994492,56998447,3956,"+","ENSG00000166856","GPR182",57006085,57006688,"."
"42","chrX",57121635,57121636,2,"*","cg00245012",57118551,57121546,2996,"-","ENSG00000186787","SPIN2B",57121247,57121564,"S_Shore"
"43","chrX",57121635,57121636,2,"*","cg00245012",57121662,57127243,5582,"+","ENSG00000226310","AL022157.1",57121247,57121564,"S_Shore"
"44","chr5",96662791,96662792,2,"*","cg00260114",96525267,96779595,254329,"+","ENSG00000153113","CAST",96662014,96663413,"Island"
"45","chr6",166870347,166870348,2,"*","cg00269615",166409364,166906451,497088,"-","ENSG00000071242","RPS6KA2",166870822,166871055,"N_Shore"
"46","chr6",166870347,166870348,2,"*","cg00269615",166858094,166956124,98031,"-","ENSG00000249141","AL159163.1",166870822,166871055,"N_Shore"
"47","chr7",16398450,16398451,2,"*","cg00339217",16087525,16502504,414980,"-","ENSG00000214960","CRPPA",16399498,16399700,"N_Shore"
"48","chr11",63938225,63938226,2,"*","cg00356723",63938959,63957319,18361,"+","ENSG00000110583","NAA40",63938558,63939396,"N_Shore"
"49","chr12",57297672,57297673,2,"*","cg00364814",57249609,57296484,46876,"-","ENSG00000258830","AC137834.1",57242775,57243890,"."
"50","chr12",57297672,57297673,2,"*","cg00364814",57253762,57431005,177244,"-","ENSG00000179912","R3HDM2",57242775,57243890,"."
"51","chr4",3249659,3249660,2,"*","cg00420354",3244369,3271738,27370,"+","ENSG00000188981","MSANTD1",3248901,3249720,"Island"
"52","chr4",86892620,86892621,2,"*","cg00422347",86876205,86892422,16218,"-","ENSG00000163633","C4orf36",86892020,86892565,"S_Shore"
"53","chr4",86892620,86892621,2,"*","cg00422347",86886472,86936178,49707,"-","ENSG00000285458","AC093827.5",86892020,86892565,"S_Shore"
"54","chr1",207957868,207957869,2,"*","cg00475456",207959292,207969329,10038,"+","ENSG00000284237","LINC02767",207958983,207959772,"N_Shore"
"55","chr2",237614608,237614609,2,"*","cg00605523",237612977,237626525,13549,"+","ENSG00000227107","AC104667.1",237626919,237628197,"."
"56","chr21",41508180,41508181,2,"*","cg00689211",41464305,41531116,66812,"-","ENSG00000184012","TMPRSS2",41506825,41508747,"Island"
"57","chr14",67541952,67541953,2,"*","cg00740870",67533290,67589612,56323,"+","ENSG00000054690","PLEKHH1",67532852,67533723,"."
"58","chrX",77786346,77786347,2,"*","cg00743068",77504880,77786233,281354,"-","ENSG00000085224","ATRX",77785518,77786239,"S_Shore"
"59","chr15",90234657,90234658,2,"*","cg00793843",90229975,90234047,4073,"-","ENSG00000185043","CIB1",90233468,90234404,"S_Shore"
"60","chr15",90234657,90234658,2,"*","cg00793843",90233808,90245811,12004,"+","ENSG00000183208","GDPGP1",90233468,90234404,"S_Shore"
"61","chr15",90234657,90234658,2,"*","cg00793843",90234200,90265462,31263,"+","ENSG00000284626","AC091167.7",90233468,90234404,"S_Shore"
"62","chr7",2631344,2631345,2,"*","cg00798876",2631986,2664802,32817,"+","ENSG00000136295","TTYH3",2631523,2632303,"N_Shore"
"63","chr1",162373995,162373996,2,"*","cg00832644",162365407,162383531,18125,"+","ENSG00000254706","AL512785.2",162367087,162367531,"."
"64","chr1",162373995,162373996,2,"*","cg00832644",162373203,162376854,3652,"-","ENSG00000171722","SPATA46",162367087,162367531,"."
"65","chr16",82639901,82639902,2,"*","cg01090433",82626965,83800640,1173676,"+","ENSG00000140945","CDH13",82627047,82628208,"."
"66","chr21",40143379,40143380,2,"*","cg01282269",40010999,40847158,836160,"-","ENSG00000171587","DSCAM",40144311,40144545,"N_Shore"
"67","chr7",1747558,1747559,2,"*","cg01310330",1688119,1747954,59836,"+","ENSG00000225968","ELFN1",1744392,1747298,"S_Shore"
"68","chr7",27197055,27197056,2,"*","cg01363170",27193503,27200091,6589,"-","ENSG00000106031","HOXA13",27199072,27200692,"N_Shelf"
