"seqnames","start","end","width","strand","probe","gene_feature.ranges.start","gene_feature.ranges.end","gene_feature.ranges.width","gene_feature.strand","ensembl_gene_id","gene_name","start_position","end_position","feature_type"
"1","chr16",53434200,53434201,2,"*","cg00000029",53433977,53491648,57672,"+","ENSG00000103479","RBL2",53434490,53435297,"N_Shore"
"2","chr14",68874422,68874423,2,"*","cg00000289",68874128,68979440,105313,"-","ENSG00000072110","ACTN1",68874711,68875103,"N_Shore"
"3","chr1",166989202,166989203,2,"*","cg00001349",166975582,167022214,46633,"+","ENSG00000143194","MAEL",166988984,166989446,"Island"
"4","chr6",127118061,127118062,2,"*","cg00005040",126304223,127213609,909387,"-","ENSG00000286215","AL356534.1",127118121,127118451,"N_Shore"
"5","chr6",127118061,127118062,2,"*","cg00005040",127118671,127199481,80811,"+","ENSG00000146374","RSPO3",127118121,127118451,"N_Shore"
"6","chr18",63556144,63556145,2,"*","cg00005215",63556160,63567011,10852,"+","ENSG00000166634","SERPINB12",63422030,63423124,"."
"7","chr1",154503830,154503831,2,"*","cg00006198",154469772,154502412,32641,"-","ENSG00000169291","SHE",154501632,154503223,"S_Shore"
"8","chr1",154503830,154503831,2,"*","cg00006198",154502219,154548147,45929,"+","ENSG00000163239","TDRD10",154501632,154503223,"S_Shore"
"9","chr1",43533349,43533350,2,"*","cg00007221",43525187,43623666,98480,"+","ENSG00000142949","PTPRF",43530759,43531829,"S_Shore"
"10","chr3",43105288,43105289,2,"*","cg00008665",43079232,43106079,26848,"-","ENSG00000144647","POMGNT2",43105617,43106221,"N_Shore"
"11","chr11",61516393,61516394,2,"*","cg00009053",61513714,61581148,67435,"-","ENSG00000011347","SYT7",61516393,61516675,"Island"
"12","chr4",89111831,89111832,2,"*","cg00010992",88725955,89111398,385444,"-","ENSG00000138640","FAM13A",89110754,89111854,"Island"
"13","chr4",89111831,89111832,2,"*","cg00010992",89111500,89114899,3400,"+","ENSG00000180346","TIGD2",89110754,89111854,"Island"
"14","chr2",20676460,20676461,2,"*","cg00011239",20667144,20679243,12100,"+","ENSG00000143869","GDF7",20670247,20671520,"."
"15","chr2",118770845,118770846,2,"*","cg00017842",118766965,118835110,68146,"-","ENSG00000258910","LINC01956",118774490,118774739,"N_Shelf"
"16","chr12",109716424,109716425,2,"*","cg00019678",109713825,109770495,56671,"+","ENSG00000139438","FAM222A",109718463,109718717,"N_Shelf"
"17","chr2",218983651,218983652,2,"*","cg00021256",218975393,218989940,14548,"+","ENSG00000236445","LINC00608",218984198,218984742,"N_Shore"
"18","chr2",218983651,218983652,2,"*","cg00021256",218981087,218985184,4098,"-","ENSG00000163497","FEV",218984198,218984742,"N_Shore"
"19","chr4",54230449,54230450,2,"*","cg00022858",53377839,54295272,917434,"+","ENSG00000282278","AC058822.1",54229873,54234164,"Island"
"20","chr4",54230449,54230450,2,"*","cg00022858",54229280,54298245,68966,"+","ENSG00000134853","PDGFRA",54229873,54234164,"Island"
"21","chr16",73062943,73062944,2,"*","cg00024494",72782885,73891871,1108987,"-","ENSG00000140836","ZFHX3",73062990,73063216,"N_Shore"
"22","chr8",42502474,42502475,2,"*","cg00025347",42416475,42541926,125452,"-","ENSG00000168575","SLC20A2",42541093,42542052,"."
"23","chr13",41457145,41457146,2,"*","cg00025981",41457550,41470871,13322,"+","ENSG00000102760","RGCC",41456778,41458531,"Island"
"24","chr2",3321387,3321388,2,"*","cg00027081",3188925,3377830,188906,"-","ENSG00000032389","EIPR1",3317293,3317522,"S_Shelf"
"25","chr15",39595892,39595893,2,"*","cg00027995",39581079,39599466,18388,"+","ENSG00000137801","THBS1",39580327,39581366,"."
"26","chr15",39595892,39595893,2,"*","cg00027995",39588357,39782841,194485,"-","ENSG00000150667","FSIP1",39580327,39581366,"."
"27","chr2",130916602,130916603,2,"*","cg00028678",130836914,131047263,210350,"+","ENSG00000136002","ARHGEF4",130916114,130916577,"S_Shore"
"28","chr17",80380582,80380583,2,"*","cg00029678",80260866,80398786,137921,"+","ENSG00000173821","RNF213",80353874,80354166,"."
"29","chr17",80380582,80380583,2,"*","cg00029678",80351828,80415168,63341,"-","ENSG00000263069","RNF213-AS1",80353874,80354166,"."
"30","chrX",101390753,101390754,2,"*","cg00029931",101349447,101390796,41350,"-","ENSG00000010671","BTK",101390793,101391119,"N_Shore"
"31","chrX",101390753,101390754,2,"*","cg00029931",101390824,101396155,5332,"+","ENSG00000241343","RPL36A",101390793,101391119,"N_Shore"
"32","chrX",101390753,101390754,2,"*","cg00029931",101391011,101412297,21287,"+","ENSG00000257529","RPL36A-HNRNPH2",101390793,101391119,"N_Shore"
"33","chr6",168077839,168077840,2,"*","cg00031346",168053166,168101511,48346,"-","ENSG00000153303","FRMD1",168078887,168079129,"N_Shore"
"34","chr3",125518594,125518595,2,"*","cg00032664",125446650,125520202,73553,"-","ENSG00000114520","SNX4",125519653,125520357,"N_Shore"
"35","chr17",19716954,19716955,2,"*","cg00039480",19678288,19718979,40692,"-","ENSG00000180638","SLC47A2",19713771,19714111,"S_Shelf"
