"seqnames","start","end","width","strand","probe","gene_feature.ranges.start","gene_feature.ranges.end","gene_feature.ranges.width","gene_feature.strand","ensembl_gene_id","gene_name","start_position","end_position","feature_type"
"1","chr16",53434200,53434201,2,"*","cg00000029",53433977,53491648,57672,"+","ENSG00000103479","RBL2",53434490,53435297,"N_Shore"
"2","chr8",42405776,42405777,2,"*","cg00000236",42391624,42405937,14314,"+","ENSG00000078668","VDAC3",42410919,42411241,"."
"3","chr10",79068945,79068946,2,"*","cg00001582",78943328,79067895,124568,"-","ENSG00000224596","ZMIZ1-AS1",79067008,79070458,"Island"
"4","chr10",79068945,79068946,2,"*","cg00001582",79068966,79316528,247563,"+","ENSG00000108175","ZMIZ1",79067008,79070458,"Island"
"5","chr2",102797583,102797584,2,"*","cg00001791",102736905,103019900,282996,"+","ENSG00000170417","TMEM182",102736680,102736955,"."
"6","chr16",46974580,46974581,2,"*","cg00001854",46955362,46973674,18313,"-","ENSG00000069345","DNAJA2",46972917,46974118,"S_Shore"
"7","chr16",46974580,46974581,2,"*","cg00001854",46973989,46978983,4995,"+","ENSG00000261173","AC018845.3",46972917,46974118,"S_Shore"
"8","chr18",70205825,70205826,2,"*","cg00002236",70003031,70205726,202696,"-","ENSG00000176225","RTTN",70205286,70206122,"Island"
"9","chr18",70205825,70205826,2,"*","cg00002236",70205774,70208781,3008,"+","ENSG00000287646","AC021701.1",70205286,70206122,"Island"
"10","chr16",30355114,30355115,2,"*","cg00002406",30350773,30355308,4536,"-","ENSG00000169217","CD2BP2",30354886,30355440,"Island"
"11","chr16",30355114,30355115,2,"*","cg00002406",30355441,30357104,1664,"+","ENSG00000260219","CD2BP2-DT",30354886,30355440,"Island"
"12","chr4",2262783,2262784,2,"*","cg00002490",2247432,2262109,14678,"-","ENSG00000123933","MXD4",2261234,2262942,"Island"
"13","chr1",169427468,169427469,2,"*","cg00002719",169394870,169460669,65800,"-","ENSG00000117477","CCDC181",169427384,169427631,"Island"
"14","chr1",201377021,201377022,2,"*","cg00003287",201359008,201377764,18757,"-","ENSG00000118194","TNNT2",201399134,201399904,"."
"15","chr1",201377021,201377022,2,"*","cg00003287",201359018,201385784,26767,"-","ENSG00000286600","AC119427.2",201399134,201399904,"."
"16","chr22",21044264,21044265,2,"*","cg00004192",21035243,21045017,9775,"-","ENSG00000206145","P2RX6P",21045691,21045981,"N_Shore"
"17","chr21",43982583,43982584,2,"*","cg00004533",43865223,43987592,122370,"+","ENSG00000160216","AGPAT3",43982604,43982961,"N_Shore"
"18","chr7",23597411,23597412,2,"*","cg00006884",23597382,23644708,47327,"+","ENSG00000169193","CCDC126",23597117,23597938,"Island"
"19","chr2",231779133,231779134,2,"*","cg00008345",231732433,231786272,53840,"-","ENSG00000156973","PDE6D",231780604,231781795,"N_Shore"
"20","chr4",83456247,83456248,2,"*","cg00010947",83407343,83455855,48513,"-","ENSG00000163312","HELQ",83455514,83456084,"S_Shore"
"21","chr4",83456247,83456248,2,"*","cg00010947",83455932,83469735,13804,"+","ENSG00000163319","MRPS18C",83455514,83456084,"S_Shore"
"22","chr4",89111831,89111832,2,"*","cg00010992",88725955,89111398,385444,"-","ENSG00000138640","FAM13A",89110754,89111854,"Island"
"23","chr4",89111831,89111832,2,"*","cg00010992",89111500,89114899,3400,"+","ENSG00000180346","TIGD2",89110754,89111854,"Island"
"24","chr12",122774361,122774362,2,"*","cg00013441",122774526,122827528,53003,"+","ENSG00000130783","CCDC62",122774350,122774761,"Island"
"25","chr13",25097338,25097339,2,"*","cg00018896",25095868,25099254,3387,"+","ENSG00000151846","PABPC3",25095904,25096393,"S_Shore"
"26","chr13",29850795,29850796,2,"*","cg00019093",29764371,29850617,86247,"-","ENSG00000122042","UBL3",29850013,29850804,"Island"
"27","chr2",27628964,27628965,2,"*","cg00022308",27583046,27635174,52129,"+","ENSG00000259080","AC074091.2",27663393,27664543,"."
"28","chr2",27628964,27628965,2,"*","cg00022308",27625639,27629012,3374,"-","ENSG00000176714","CCDC121",27663393,27664543,"."
"29","chr2",27628964,27628965,2,"*","cg00022308",27628247,27651511,23265,"+","ENSG00000198522","GPN1",27663393,27664543,"."
"30","chr10",60300136,60300137,2,"*","cg00026412",60026298,60733490,707193,"-","ENSG00000151150","ANK3",59905899,59907036,"."
"31","chr17",45150086,45150087,2,"*","cg00029233",45148475,45152099,3625,"+","ENSG00000186834","HEXIM1",45147406,45150249,"Island"
"32","chr14",20333300,20333301,2,"*","cg00029826",20311368,20333312,21945,"-","ENSG00000100814","CCNB1IP1",20413411,20413611,"."
"33","chr6",168077839,168077840,2,"*","cg00031346",168053166,168101511,48346,"-","ENSG00000153303","FRMD1",168078887,168079129,"N_Shore"
"34","chr8",142277065,142277066,2,"*","cg00041898",142212080,142403182,191103,"-","ENSG00000171045","TSNARE1",142279953,142280281,"N_Shelf"
"35","chr5",161847689,161847690,2,"*","cg00051179",161847063,161899981,52919,"+","ENSG00000022355","GABRA1",161547687,161548378,"."
"36","chr12",48971682,48971683,2,"*","cg00058786",48965340,48971735,6396,"-","ENSG00000169884","WNT10B",48969882,48970312,"S_Shore"
"37","chr11",5780014,5780015,2,"*","cg00079898",5663195,5938619,275425,"-","ENSG00000132256","TRIM5",6234539,6234892,"."
"38","chr11",5780014,5780015,2,"*","cg00079898",5776165,5783355,7191,"-","ENSG00000181009","OR52N5",6234539,6234892,"."
"39","chr5",135833595,135833596,2,"*","cg00089314",135579202,135889770,310569,"+","ENSG00000145832","SLC25A48",135834583,135835467,"N_Shore"
"40","chr12",42238001,42238002,2,"*","cg00098112",42157104,42238349,81246,"-","ENSG00000015153","YAF2",42237423,42238817,"Island"
"41","chr12",42238001,42238002,2,"*","cg00098112",42238447,42459715,221269,"+","ENSG00000134283","PPHLN1",42237423,42238817,"Island"
"42","chr6",33688037,33688038,2,"*","cg00110790",33620365,33696574,76210,"+","ENSG00000096433","ITPR3",33688190,33688461,"N_Shore"
"43","chr4",154781986,154781987,2,"*","cg00137234",154754756,154781873,27118,"-","ENSG00000249041","AC009567.1",154781189,154782176,"Island"
"44","chr4",154781986,154781987,2,"*","cg00137234",154781213,154828813,47601,"+","ENSG00000151962","RBM46",154781189,154782176,"Island"
"45","chr12",124566838,124566839,2,"*","cg00155052",124324415,124567589,243175,"-","ENSG00000196498","NCOR2",124566251,124567848,"Island"
"46","chr3",101677208,101677209,2,"*","cg00212909",101648889,101677132,28244,"-","ENSG00000066422","ZBTB11",101676133,101677252,"Island"
"47","chr3",101677208,101677209,2,"*","cg00212909",101676475,101679217,2743,"+","ENSG00000256628","ZBTB11-AS1",101676133,101677252,"Island"
"48","chr3",98732272,98732273,2,"*","cg00229423",98706236,98732757,26522,"-","ENSG00000239445","ST3GAL6-AS1",98732443,98732863,"N_Shore"
"49","chr3",98732272,98732273,2,"*","cg00229423",98732236,98821201,88966,"+","ENSG00000064225","ST3GAL6",98732443,98732863,"N_Shore"
"50","chr6",117920323,117920324,2,"*","cg00240734",117907264,118317676,410413,"+","ENSG00000196376","SLC35F1",117920185,117920406,"Island"
"51","chr4",7799610,7799611,2,"*","cg00251875",7758714,7939926,181213,"-","ENSG00000196526","AFAP1",7800465,7800713,"N_Shore"
"52","chr4",7799610,7799611,2,"*","cg00251875",7798527,7808051,9525,"+","ENSG00000287164","AC112254.1",7800465,7800713,"N_Shore"
"53","chr2",161238185,161238186,2,"*","cg00322319",161222785,161308389,85605,"-","ENSG00000235724","AC009299.2",161237950,161239684,"Island"
"54","chr2",61019113,61019114,2,"*","cg00326648",60940222,61018259,78038,"-","ENSG00000162927","PUS10",61065734,61066450,"."
"55","chr2",61019113,61019114,2,"*","cg00326648",61017225,61051990,34766,"+","ENSG00000162928","PEX13",61065734,61066450,"."
"56","chr15",70892419,70892420,2,"*","cg00347862",70853239,71053658,200420,"+","ENSG00000137821","LRRC49",70891938,70892350,"S_Shore"
"57","chr15",70892419,70892420,2,"*","cg00347862",70881342,70892433,11092,"-","ENSG00000129028","THAP10",70891938,70892350,"S_Shore"
"58","chr7",128030991,128030992,2,"*","cg00353923",127652194,128092609,440416,"+","ENSG00000197157","SND1",128031106,128032800,"N_Shore"
"59","chr7",128030991,128030992,2,"*","cg00353923",128027071,128032107,5037,"-","ENSG00000128594","LRRC4",128031106,128032800,"N_Shore"
"60","chr19",7789596,7789597,2,"*","cg00371453",7787549,7790621,3073,"+","ENSG00000268297","CLEC4GP1",7789231,7789827,"Island"
"61","chr4",109802143,109802144,2,"*","cg00382138",109713916,109801999,88084,"-","ENSG00000285330","AC126283.2",109729546,109730092,"."
"62","chr4",109802143,109802144,2,"*","cg00382138",109740694,109802179,61486,"-","ENSG00000205403","CFI",109729546,109730092,"."
"63","chr3",136930491,136930492,2,"*","cg00382999",136862208,136951606,89399,"+","ENSG00000158092","NCK1",136862034,136862879,"."
"64","chr1",51989718,51989719,2,"*","cg00405069",51907956,51990700,82745,"-","ENSG00000169213","RAB3B",51990106,51990781,"N_Shore"
"65","chr17",35578484,35578485,2,"*","cg00425792",35574795,35578863,4069,"-","ENSG00000108733","PEX12",35578484,35578707,"Island"
"66","chr17",35578484,35578485,2,"*","cg00425792",35578046,35726413,148368,"+","ENSG00000006125","AP2B1",35578484,35578707,"Island"
"67","chr3",158109972,158109973,2,"*","cg00462492",158105855,158545730,439876,"+","ENSG00000174891","RSRC1",158109972,158110408,"Island"
"68","chrX",115018752,115018753,2,"*","cg00488364",115003975,115019977,16003,"-","ENSG00000123496","IL13RA2",115189344,115192632,"."
"69","chr14",100982248,100982249,2,"*","cg00554539",100894770,101038859,144090,"+","ENSG00000225746","MEG8",101065307,101066047,"."
"70","chr14",100982248,100982249,2,"*","cg00554539",100982926,100982997,72,"+","ENSG00000202293","SNORD114-22",101065307,101066047,"."
"71","chr18",49562003,49562004,2,"*","cg00692763",49560699,49599185,38487,"+","ENSG00000101670","LIPG",49561510,49562158,"Island"
"72","chrX",47483799,47483800,2,"*","cg00775115",47445879,47482946,37068,"-","ENSG00000147124","ZNF41",47482489,47483298,"S_Shore"
"73","chrX",47483799,47483800,2,"*","cg00775115",47483571,47484823,1253,"+","ENSG00000196741","LINC01560",47482489,47483298,"S_Shore"
"74","chr17",816434,816435,2,"*","cg00910844",799310,979776,180467,"-","ENSG00000167693","NXN",807342,807672,"."
"75","chr16",88686517,88686518,2,"*","cg00930706",88663298,88687278,23981,"+","ENSG00000260630","SNAI3-AS1",88686113,88686870,"Island"
"76","chr16",88686517,88686518,2,"*","cg00930706",88677688,88686507,8820,"-","ENSG00000185669","SNAI3",88686113,88686870,"Island"
"77","chr10",32935816,32935817,2,"*","cg00978519",32900318,33005792,105475,"-","ENSG00000150093","ITGB1",32957344,32958779,"."
"78","chr1",57866317,57866318,2,"*","cg01067603",56994778,58546734,1551957,"-","ENSG00000173406","DAB1",58249601,58250423,"."
"79","chr1",57866317,57866318,2,"*","cg01067603",57860532,57880905,20374,"+","ENSG00000226759","DAB1-AS1",58249601,58250423,"."
"80","chr2",179265354,179265355,2,"*","cg01231381",179101678,179264832,163155,"-","ENSG00000187231","SESTD1",179263892,179264936,"S_Shore"
"81","chr16",29312596,29312597,2,"*","cg01282959",28341434,29370272,1028839,"+","ENSG00000288630","AC009093.11",29298601,29299090,"."
"82","chr16",29312596,29312597,2,"*","cg01282959",29139379,29331304,191926,"+","ENSG00000284685","AC009093.10",29298601,29299090,"."
"83","chr16",29312596,29312597,2,"*","cg01282959",29291220,29372110,80891,"+","ENSG00000198106","AC025279.1",29298601,29299090,"."
"84","chr16",29312596,29312597,2,"*","cg01282959",29312350,29331277,18928,"+","ENSG00000260413","AC025279.2",29298601,29299090,"."
"85","chr17",40665025,40665026,2,"*","cg01289103",40627356,40665141,37786,"-","ENSG00000264058","AC073508.2",40647693,40648451,"."
"86","chr17",40665025,40665026,2,"*","cg01289103",40654665,40665181,10517,"-","ENSG00000213424","KRT222",40647693,40648451,"."
"87","chr3",142807508,142807509,2,"*","cg01289318",142724034,142807888,83855,"+","ENSG00000144935","TRPC1",142888354,142889387,"."
"88","chr17",48996607,48996608,2,"*","cg01384163",48995266,48997492,2227,"-","ENSG00000250838","AC091133.3",48995459,48998680,"Island"
"89","chr17",48996607,48996608,2,"*","cg01384163",48997385,49056145,58761,"+","ENSG00000159217","IGF2BP1",48995459,48998680,"Island"
"90","chr2",144331304,144331305,2,"*","cg01409419",143938068,144332568,394501,"-","ENSG00000121964","GTDC1",144331887,144332830,"N_Shore"
"91","chr11",14520210,14520211,2,"*","cg01506871",14493783,14520344,26562,"-","ENSG00000256206","AC018523.2",14520055,14520679,"Island"
"92","chr11",14520210,14520211,2,"*","cg01506871",14504874,14643635,138762,"-","ENSG00000129084","PSMA1",14520055,14520679,"Island"
"93","chr12",25195114,25195115,2,"*","cg01511823",25108289,25195162,86874,"-","ENSG00000118307","CASC1",25195106,25195465,"Island"
"94","chr12",25195114,25195115,2,"*","cg01511823",25195216,25209645,14430,"+","ENSG00000205707","ETFRF1",25195106,25195465,"Island"
"95","chr1",212414461,212414462,2,"*","cg01564977",212363928,212414901,50974,"-","ENSG00000065600","PACC1",212414250,212414942,"Island"
"96","chr8",27597487,27597488,2,"*","cg01572979",27596917,27614700,17784,"-","ENSG00000120885","CLU",27592235,27592546,"."
"97","chr18",62523463,62523464,2,"*","cg01628954",62523025,62587709,64685,"+","ENSG00000141664","ZCCHC2",62522277,62524876,"Island"
"98","chr2",61144931,61144932,2,"*","cg01648237",61115787,61164825,49039,"+","ENSG00000274769","AC016747.4",61176914,61178226,"."
"99","chr2",61144931,61144932,2,"*","cg01648237",61141592,61144969,3378,"-","ENSG00000212978","AC016747.1",61176914,61178226,"."
"100","chr2",61144931,61144932,2,"*","cg01648237",61145068,61164829,19762,"+","ENSG00000237651","C2orf74",61176914,61178226,"."
"101","chr16",81238824,81238825,2,"*","cg01678878",81238689,81291142,52454,"+","ENSG00000135697","BCO1",81314746,81315921,"."
"102","chr1",37318643,37318644,2,"*","cg01765111",37154761,37325100,170340,"-","ENSG00000223944","AL353604.1",37318011,37318657,"Island"
"103","chr1",18643158,18643159,2,"*","cg01797257",18630846,18748866,118021,"+","ENSG00000009709","PAX7",18643055,18644245,"Island"
"104","chr5",82274675,82274676,2,"*","cg01805270",81972023,82276857,304835,"+","ENSG00000152348","ATG10",82278015,82278476,"N_Shelf"
"105","chr5",82274675,82274676,2,"*","cg01805270",82273320,82278396,5077,"-","ENSG00000186468","RPS23",82278015,82278476,"N_Shelf"
"106","chr6",146804266,146804267,2,"*","cg01845427",146598967,146815462,216496,"+","ENSG00000118492","ADGB",146598899,146599109,"."
"107","chr6",146804266,146804267,2,"*","cg01845427",146802359,146803824,1466,"-","ENSG00000228283","KATNBL1P6",146598899,146599109,"."
"108","chr3",120909444,120909445,2,"*","cg01855313",120811530,120908093,96564,"-","ENSG00000286827","AC072026.2",120908034,120908719,"S_Shore"
"109","chr3",120909444,120909445,2,"*","cg01855313",120908072,121424761,516690,"+","ENSG00000145087","STXBP5L",120908034,120908719,"S_Shore"
"110","chr2",85889501,85889502,2,"*","cg01947862",85837120,85905199,68080,"-","ENSG00000115525","ST3GAL5",85888468,85889204,"S_Shore"
"111","chr2",85889501,85889502,2,"*","cg01947862",85889151,85891136,1986,"+","ENSG00000232504","ST3GAL5-AS1",85888468,85889204,"S_Shore"
"112","chr16",85611457,85611458,2,"*","cg02075099",85169525,85676204,506680,"+","ENSG00000131149","GSE1",85611342,85615421,"Island"
"113","chr12",23950424,23950425,2,"*","cg02083559",23529504,24562544,1033041,"-","ENSG00000134532","SOX5",24562023,24563360,"."
"114","chr2",200585967,200585968,2,"*","cg02144933",200586014,200677064,91051,"+","ENSG00000138356","AOX1",200585804,200586304,"Island"
"115","chr3",62045389,62045390,2,"*","cg02315619",61561569,62297609,736041,"+","ENSG00000144724","PTPRG",62318840,62319105,"."
"116","chr1",151281483,151281484,2,"*","cg02326858",151279678,151281950,2273,"-","ENSG00000232671","ZNF687-AS1",151281183,151283293,"Island"
"117","chr1",151281483,151281484,2,"*","cg02326858",151281618,151292176,10559,"+","ENSG00000143373","ZNF687",151281183,151283293,"Island"
"118","chr12",24015259,24015260,2,"*","cg02402843",23529504,24562544,1033041,"-","ENSG00000134532","SOX5",24562023,24563360,"."
"119","chr2",69845599,69845600,2,"*","cg02468821",69829660,69881384,51725,"+","ENSG00000087338","GMCL1",69829468,69830451,"."
"120","chr2",69845599,69845600,2,"*","cg02468821",69844509,69844933,425,"-","ENSG00000275381","AC019206.1",69829468,69830451,"."
"121","chr2",11124563,11124564,2,"*","cg02544320",11105317,11132821,27505,"-","ENSG00000145063","AC062028.1",11155455,11155880,"."
"122","chr5",83471575,83471576,2,"*","cg02551029",83471618,83582303,110686,"+","ENSG00000038427","VCAN",83472569,83473428,"N_Shore"
"123","chr9",117414484,117414485,2,"*","cg02608801",116425225,117415070,989846,"-","ENSG00000148219","ASTN2",117412976,117415218,"Island"
"124","chr11",84437778,84437779,2,"*","cg02692785",83455012,85627922,2172911,"-","ENSG00000150672","DLG2",83285600,83286493,"."
"125","chr2",196136910,196136911,2,"*","cg02694990",196133583,196176503,42921,"-","ENSG00000081320","STK17B",196170866,196171659,"."
"126","chr8",26338381,26338382,2,"*","cg02895278",26291508,26372680,81173,"+","ENSG00000221914","PPP2R2A",26382775,26383748,"."
"127","chr6",168070840,168070841,2,"*","cg03014695",168053166,168101511,48346,"-","ENSG00000153303","FRMD1",168072374,168072665,"N_Shore"
"128","chr10",24952331,24952332,2,"*","cg03207574",24848614,24952606,103993,"-","ENSG00000099256","PRTFDC1",24952182,24952852,"Island"
"129","chr10",24952331,24952332,2,"*","cg03207574",24952350,25161236,208887,"+","ENSG00000285859","AL512598.2",24952182,24952852,"Island"
"130","chr10",24952331,24952332,2,"*","cg03207574",24953241,24953513,273,"+","ENSG00000273107","AL512598.1",24952182,24952852,"Island"
"131","chr16",57486075,57486076,2,"*","cg03210589",57471922,57487327,15406,"-","ENSG00000125170","DOK4",57462565,57463126,"."
"132","chr5",141485026,141485027,2,"*","cg03640756",141330571,141512981,182411,"+","ENSG00000204956","PCDHGA1",141484961,141485181,"Island"
"133","chr5",141485026,141485027,2,"*","cg03640756",141338760,141512975,174216,"+","ENSG00000081853","PCDHGA2",141484961,141485181,"Island"
"134","chr5",141485026,141485027,2,"*","cg03640756",141343829,141512975,169147,"+","ENSG00000254245","PCDHGA3",141484961,141485181,"Island"
"135","chr5",141485026,141485027,2,"*","cg03640756",141350102,141512979,162878,"+","ENSG00000254221","PCDHGB1",141484961,141485181,"Island"
"136","chr5",141485026,141485027,2,"*","cg03640756",141355021,141512975,157955,"+","ENSG00000262576","PCDHGA4",141484961,141485181,"Island"
"137","chr5",141485026,141485027,2,"*","cg03640756",141360042,141512979,152938,"+","ENSG00000253910","PCDHGB2",141484961,141485181,"Island"
"138","chr5",141485026,141485027,2,"*","cg03640756",141364232,141512979,148748,"+","ENSG00000253485","PCDHGA5",141484961,141485181,"Island"
"139","chr5",141485026,141485027,2,"*","cg03640756",141370242,141512975,142734,"+","ENSG00000262209","PCDHGB3",141484961,141485181,"Island"
"140","chr5",141485026,141485027,2,"*","cg03640756",141373891,141512975,139085,"+","ENSG00000253731","PCDHGA6",141484961,141485181,"Island"
"141","chr5",141485026,141485027,2,"*","cg03640756",141382739,141512975,130237,"+","ENSG00000253537","PCDHGA7",141484961,141485181,"Island"
"142","chr5",141485026,141485027,2,"*","cg03640756",141387698,141512975,125278,"+","ENSG00000253953","PCDHGB4",141484961,141485181,"Island"
"143","chr5",141485026,141485027,2,"*","cg03640756",141390157,141512979,122823,"+","ENSG00000253767","PCDHGA8",141484961,141485181,"Island"
"144","chr5",141485026,141485027,2,"*","cg03640756",141397987,141512979,114993,"+","ENSG00000276547","PCDHGB5",141484961,141485181,"Island"
"145","chr5",141485026,141485027,2,"*","cg03640756",141402932,141512979,110048,"+","ENSG00000261934","PCDHGA9",141484961,141485181,"Island"
"146","chr5",141485026,141485027,2,"*","cg03640756",141408021,141512979,104959,"+","ENSG00000253305","PCDHGB6",141484961,141485181,"Island"
"147","chr5",141485026,141485027,2,"*","cg03640756",141412987,141512979,99993,"+","ENSG00000253846","PCDHGA10",141484961,141485181,"Island"
"148","chr5",141485026,141485027,2,"*","cg03640756",141417645,141512975,95331,"+","ENSG00000254122","PCDHGB7",141484961,141485181,"Island"
"149","chr5",141485026,141485027,2,"*","cg03640756",141421047,141512975,91929,"+","ENSG00000253873","PCDHGA11",141484961,141485181,"Island"
"150","chr5",141485026,141485027,2,"*","cg03640756",141430507,141512975,82469,"+","ENSG00000253159","PCDHGA12",141484961,141485181,"Island"
"151","chr5",141485026,141485027,2,"*","cg03640756",141475947,141512977,37031,"+","ENSG00000240184","PCDHGC3",141484961,141485181,"Island"
"152","chr5",141485026,141485027,2,"*","cg03640756",141484997,141512979,27983,"+","ENSG00000242419","PCDHGC4",141484961,141485181,"Island"
"153","chr3",101686367,101686368,2,"*","cg03668033",101681091,101686718,5628,"-","ENSG00000114391","RPL24",101686466,101686844,"N_Shore"
"154","chr3",101686367,101686368,2,"*","cg03668033",101686827,101700926,14100,"+","ENSG00000286699","AC084198.4",101686466,101686844,"N_Shore"
"155","chr10",128212183,128212184,2,"*","cg03801300",128181032,128317726,136695,"+","ENSG00000280953","LINC01163",128210295,128211356,"S_Shore"
"156","chr2",73071752,73071753,2,"*","cg03856450",72942036,73075619,133584,"-","ENSG00000144040","SFXN5",73070502,73072026,"Island"
"157","chr13",83879145,83879146,2,"*","cg04095724",83877888,83895211,17324,"+","ENSG00000285680","AL355481.1",83879530,83879762,"N_Shore"
"158","chr13",83879145,83879146,2,"*","cg04095724",83877205,83882474,5270,"-","ENSG00000178235","SLITRK1",83879530,83879762,"N_Shore"
"159","chr4",881490,881491,2,"*","cg04113154",849276,932373,83098,"-","ENSG00000178950","GAK",881709,882108,"N_Shore"
"160","chr21",30492056,30492057,2,"*","cg04297093",30491462,30492013,552,"-","ENSG00000244025","KRTAP19-3",29939069,29939788,"."
"161","chr10",37858031,37858032,2,"*","cg04308323",37776526,37858106,81581,"-","ENSG00000198105","ZNF248",37857575,37858176,"Island"
"162","chr10",37858031,37858032,2,"*","cg04308323",37857740,37859110,1371,"+","ENSG00000236514","AL135791.1",37857575,37858176,"Island"
"163","chr13",73061430,73061431,2,"*","cg04339360",73054976,73077541,22566,"+","ENSG00000102554","KLF5",73058723,73060232,"S_Shore"
"164","chr20",44247137,44247138,2,"*","cg04448487",44247099,44280947,33849,"+","ENSG00000124194","GDAP1L1",44210210,44211243,"."
"165","chr8",142528018,142528019,2,"*","cg04471045",142449430,142545009,95580,"+","ENSG00000181790","ADGRB1",142533316,142533549,"."
"166","chr5",160853209,160853210,2,"*","cg04625905",160563120,160852214,289095,"-","ENSG00000118322","ATP10B",160421773,160422106,"."
"167","chr9",4662735,4662736,2,"*","cg04630810",4553386,4666674,113289,"-","ENSG00000106686","SPATA6L",4662253,4662951,"Island"
"168","chr9",4662735,4662736,2,"*","cg04630810",4662294,4665258,2965,"+","ENSG00000205808","PLPP6",4662253,4662951,"Island"
"169","chr3",78716754,78716755,2,"*","cg04774620",78597239,79767998,1170760,"-","ENSG00000169855","ROBO1",79018914,79019416,"."
"170","chr10",102409452,102409453,2,"*","cg05131533",102402617,102421539,18923,"-","ENSG00000059915","PSD",102408808,102409396,"S_Shore"
"171","chr1",113759265,113759266,2,"*","cg05139111",113696831,113759489,62659,"-","ENSG00000116793","PHTF1",113758893,113759650,"Island"
"172","chr1",13584172,13584173,2,"*","cg05140069",13583465,13617957,34493,"+","ENSG00000162493","PDPN",13583643,13584373,"Island"
