"seqnames","start","end","width","strand","probe","gene_feature.ranges.start","gene_feature.ranges.end","gene_feature.ranges.width","gene_feature.strand","ensembl_gene_id","gene_name","start_position","end_position","feature_type"
"1","chr1",230425047,230425048,2,"*","cg00000363",230314490,230426332,111843,"-","ENSG00000177614","PGBD5",230425358,230426956,"N_Shore"
"2","chr1",230425047,230425048,2,"*","cg00000363",230426491,230436822,10332,"+","ENSG00000282564","AL133516.1",230425358,230426956,"N_Shore"
"3","chr1",43365370,43365371,2,"*","cg00001446",43363398,43368074,4677,"-","ENSG00000066322","ELOVL1",43367144,43367402,"N_Shore"
"4","chr1",43365370,43365371,2,"*","cg00001446",43364648,43364715,68,"-","ENSG00000283836","MIR6734",43367144,43367402,"N_Shore"
"5","chr1",200042658,200042659,2,"*","cg00001583",200027614,200177420,149807,"+","ENSG00000116833","NR5A2",200042273,200042927,"Island"
"6","chr1",1333413,1333414,2,"*","cg00002593",1331280,1335314,4035,"+","ENSG00000169962","TAS1R3",1332056,1333606,"Island"
"7","chr17",7571761,7571762,2,"*","cg00004421",7561919,7571969,10051,"+","ENSG00000161956","SENP3",7572599,7574012,"N_Shore"
"8","chr17",7571761,7571762,2,"*","cg00004421",7563287,7578715,15429,"+","ENSG00000277957","SENP3-EIF4A1",7572599,7574012,"N_Shore"
"9","chr17",7571761,7571762,2,"*","cg00004421",7572824,7579006,6183,"+","ENSG00000161960","EIF4A1",7572599,7574012,"N_Shore"
"10","chr17",7571761,7571762,2,"*","cg00004421",7572826,7582024,9199,"+","ENSG00000264772","AC016876.3",7572599,7574012,"N_Shore"
"11","chr8",66430365,66430366,2,"*","cg00007076",66363774,66432370,68597,"-","ENSG00000287127","AC009879.4",66428562,66429876,"S_Shore"
"12","chr8",66430365,66430366,2,"*","cg00007076",66419589,66428977,9389,"-","ENSG00000246145","RRS1-AS1",66428562,66429876,"S_Shore"
"13","chr8",66430365,66430366,2,"*","cg00007076",66429014,66430733,1720,"+","ENSG00000179041","RRS1",66428562,66429876,"S_Shore"
"14","chr8",66430365,66430366,2,"*","cg00007076",66430185,66445324,15140,"+","ENSG00000285655","AC009879.2",66428562,66429876,"S_Shore"
"15","chr19",46347175,46347176,2,"*","cg00011578",46347087,46392981,45895,"+","ENSG00000011485","PPP5C",46346929,46347421,"Island"
"16","chr2",176150234,176150235,2,"*","cg00014998",176136612,176173102,36491,"+","ENSG00000128652","HOXD3",176150221,176150486,"Island"
"17","chr2",176150234,176150235,2,"*","cg00014998",176150303,176150412,110,"+","ENSG00000207744","MIR10B",176150221,176150486,"Island"
"18","chr2",176150234,176150235,2,"*","cg00014998",176151550,176153226,1677,"+","ENSG00000170166","HOXD4",176150221,176150486,"Island"
"19","chr17",61454383,61454384,2,"*","cg00037457",61452404,61485110,32707,"+","ENSG00000121075","TBX4",61454363,61455072,"Island"
"20","chr2",176134625,176134626,2,"*","cg00190206",176121611,176137098,15488,"-","ENSG00000237380","HOXD-AS2",176136494,176137055,"N_Shore"
"21","chr11",627152,627153,2,"*","cg00249511",616577,626078,9502,"-","ENSG00000099834","CDHR5",626729,628037,"Island"
"22","chr11",627152,627153,2,"*","cg00249511",626309,627181,873,"-","ENSG00000070031","SCT",626729,628037,"Island"
"23","chr4",84492982,84492983,2,"*","cg00316839",84491987,84498450,6464,"-","ENSG00000163623","NKX6-1",84492845,84493721,"Island"
"24","chr4",2746605,2746606,2,"*","cg00741986",2741648,2756342,14695,"-","ENSG00000168884","TNIP2",2755927,2756562,"."
