"seqnames","start","end","width","strand","probe","gene_feature.ranges.start","gene_feature.ranges.end","gene_feature.ranges.width","gene_feature.strand","ensembl_gene_id","gene_name","start_position","end_position","feature_type"
"1","chr16",28878779,28878780,2,"*","cg00000292",28341434,29370272,1028839,"+","ENSG00000288630","AC009093.11",28879634,28880547,"N_Shore"
"2","chr16",28878779,28878780,2,"*","cg00000292",28878405,28904466,26062,"+","ENSG00000196296","ATP2A1",28879634,28880547,"N_Shore"
"3","chr1",230425047,230425048,2,"*","cg00000363",230314490,230426332,111843,"-","ENSG00000177614","PGBD5",230425358,230426956,"N_Shore"
"4","chr1",230425047,230425048,2,"*","cg00000363",230426491,230436822,10332,"+","ENSG00000282564","AL133516.1",230425358,230426956,"N_Shore"
"5","chr6",25282551,25282552,2,"*","cg00000721",25061626,25452263,390638,"-","ENSG00000168405","CMAHP",25278904,25279662,"S_Shelf"
"6","chr6",25282551,25282552,2,"*","cg00000721",25279078,25620530,341453,"+","ENSG00000079691","CARMIL1",25278904,25279662,"S_Shelf"
"7","chr22",21044264,21044265,2,"*","cg00004192",21035243,21045017,9775,"-","ENSG00000206145","P2RX6P",21045691,21045981,"N_Shore"
"8","chr8",17414026,17414027,2,"*","cg00004996",17296794,17413528,116735,"-","ENSG00000003987","MTMR7",17413095,17413611,"S_Shore"
"9","chr6",169751536,169751537,2,"*","cg00005543",169740109,169751587,11479,"-","ENSG00000184786","TCTE3",169751256,169752035,"Island"
"10","chr6",169751536,169751537,2,"*","cg00005543",169751622,169781600,29979,"+","ENSG00000130023","ERMARD",169751256,169752035,"Island"
"11","chr2",176164345,176164346,2,"*","cg00005847",176136612,176173102,36491,"+","ENSG00000128652","HOXD3",176164686,176165509,"N_Shore"
"12","chr2",176164345,176164346,2,"*","cg00005847",176164051,176188958,24908,"-","ENSG00000224189","HAGLR",176164686,176165509,"N_Shore"
"13","chr2",176164345,176164346,2,"*","cg00005847",176164164,176165716,1553,"-","ENSG00000272729","AC009336.1",176164686,176165509,"N_Shore"
"14","chr2",26503697,26503698,2,"*","cg00006243",26457203,26558756,101554,"-","ENSG00000115155","OTOF",26503322,26503842,"Island"
"15","chrX",72278747,72278748,2,"*","cg00008932",72181353,72302926,121574,"+","ENSG00000102309","PIN4",72276851,72277377,"S_Shore"
"16","chrX",72278747,72278748,2,"*","cg00008932",72255679,72277248,21570,"-","ENSG00000198034","RPS4X",72276851,72277377,"S_Shore"
