"seqnames","start","end","width","strand","probe","gene_feature.ranges.start","gene_feature.ranges.end","gene_feature.ranges.width","gene_feature.strand","ensembl_gene_id","gene_name","start_position","end_position","feature_type"
"1","chr10",68230831,68230832,2,"*","cg00001874",68230595,68232113,1519,"-","ENSG00000179774","ATOH7",68231137,68231766,"N_Shore"
"2","chr1",1333413,1333414,2,"*","cg00002593",1331280,1335314,4035,"+","ENSG00000169962","TAS1R3",1332056,1333606,"Island"
"3","chr18",63556144,63556145,2,"*","cg00005215",63556160,63567011,10852,"+","ENSG00000166634","SERPINB12",63422030,63423124,"."
"4","chr14",66507721,66507722,2,"*","cg00006032",66212810,66509394,296585,"-","ENSG00000258561","AL359232.1",66507652,66509517,"Island"
"5","chr14",66507721,66507722,2,"*","cg00006032",66507407,67181803,674397,"+","ENSG00000171723","GPHN",66507652,66509517,"Island"
"6","chr19",1423274,1423275,2,"*","cg00013733",1407569,1435687,28119,"+","ENSG00000071626","DAZAP1",1423754,1424007,"N_Shore"
"7","chr22",29334670,29334671,2,"*","cg00014733",29327680,29423179,95500,"-","ENSG00000100280","AP1B1",29313293,29316024,"."
"8","chr22",29334670,29334671,2,"*","cg00014733",29333158,29333267,110,"-","ENSG00000280968","AC002059.2",29313293,29316024,"."
"9","chr22",29334670,29334671,2,"*","cg00014733",29333163,29333258,96,"-","ENSG00000239127","SNORD125",29313293,29316024,"."
"10","chr2",176150234,176150235,2,"*","cg00014998",176136612,176173102,36491,"+","ENSG00000128652","HOXD3",176150221,176150486,"Island"
"11","chr2",176150234,176150235,2,"*","cg00014998",176150303,176150412,110,"+","ENSG00000207744","MIR10B",176150221,176150486,"Island"
"12","chr2",176150234,176150235,2,"*","cg00014998",176151550,176153226,1677,"+","ENSG00000170166","HOXD4",176150221,176150486,"Island"
"13","chr7",146177934,146177935,2,"*","cg00016814",146116002,148420998,2304997,"+","ENSG00000174469","CNTNAP2",146116183,146116992,"."
"14","chr2",3321387,3321388,2,"*","cg00027081",3188925,3377830,188906,"-","ENSG00000032389","EIPR1",3317293,3317522,"S_Shelf"
"15","chr19",55408468,55408469,2,"*","cg00035623",55399745,55407788,8044,"-","ENSG00000108106","UBE2S",55407332,55408448,"S_Shore"
"16","chr2",1923116,1923117,2,"*","cg00067742",1789113,2331664,542552,"-","ENSG00000186487","MYT1L",1937297,1937788,"."
"17","chr1",56476956,56476957,2,"*","cg00072675",56154545,56477687,323143,"-","ENSG00000260971","AC119674.1",56477556,56477997,"N_Shore"
"18","chr1",56476956,56476957,2,"*","cg00072675",56173433,56524495,351063,"-","ENSG00000284686","AC119674.2",56477556,56477997,"N_Shore"
"19","chr22",43809303,43809304,2,"*","cg00080148",43528744,43812337,283594,"-","ENSG00000186976","EFCAB6",43812068,43812555,"N_Shelf"
"20","chr1",90719611,90719612,2,"*","cg00088183",90719576,90725620,6045,"+","ENSG00000287076","AC092805.1",90719600,90720020,"Island"
"21","chr4",89837386,89837387,2,"*","cg00119181",89700345,89838315,137971,"-","ENSG00000145335","SNCA",89836858,89837719,"Island"
"22","chr4",89837386,89837387,2,"*","cg00119181",89836408,89841978,5571,"+","ENSG00000247775","SNCA-AS1",89836858,89837719,"Island"
"23","chr1",100149996,100149997,2,"*","cg00120358",100133150,100150498,17349,"+","ENSG00000122435","TRMT13",100132575,100133198,"."
"24","chr1",100149996,100149997,2,"*","cg00120358",100148448,100178273,29826,"-","ENSG00000122477","LRRC39",100132575,100133198,"."
"25","chr3",147393493,147393494,2,"*","cg00154357",147386046,147406809,20764,"-","ENSG00000174963","ZIC4",147390725,147393916,"Island"
"26","chr3",147393493,147393494,2,"*","cg00154357",147393422,147510293,116872,"+","ENSG00000152977","ZIC1",147390725,147393916,"Island"
"27","chr10",18145139,18145140,2,"*","cg00177243",18140424,18543557,403134,"+","ENSG00000165995","CACNB2",18140197,18141291,"S_Shelf"
"28","chr2",48755544,48755545,2,"*","cg00209038",48529925,48776517,246593,"+","ENSG00000068781","STON1-GTF2A1L",48755483,48755746,"Island"
"29","chr2",48755544,48755545,2,"*","cg00209038",48632291,48755724,123434,"-","ENSG00000279956","AC073082.1",48755483,48755746,"Island"
"30","chr2",48755544,48755545,2,"*","cg00209038",48686774,48755730,68957,"-","ENSG00000138039","LHCGR",48755483,48755746,"Island"
"31","chr7",43872826,43872827,2,"*","cg00221658",43866558,43906589,40032,"-","ENSG00000270617","URGCP-MRPS24",43869298,43869879,"S_Shelf"
"32","chr14",100323400,100323401,2,"*","cg00239071",100323339,100330421,7083,"+","ENSG00000140107","SLC25A47",100328736,100329039,"."
"33","chr5",1883299,1883300,2,"*","cg00243313",1877413,1887236,9824,"-","ENSG00000113430","IRX4",1881811,1887629,"Island"
"34","chr5",1883299,1883300,2,"*","cg00243313",1883966,1884649,684,"+","ENSG00000249116","IRX4-AS1",1881811,1887629,"Island"
"35","chr7",101170557,101170558,2,"*","cg00260116",101170496,101180293,9798,"-","ENSG00000167011","NAT16",101172204,101173714,"N_Shore"
"36","chr1",28580966,28580967,2,"*","cg00261162",28578538,28583132,4595,"-","ENSG00000197989","SNHG12",28581558,28582287,"N_Shore"
"37","chr1",28580966,28580967,2,"*","cg00261162",28579764,28579893,130,"-","ENSG00000278274","SNORA61",28581558,28582287,"N_Shore"
"38","chr1",28580966,28580967,2,"*","cg00261162",28580381,28580512,132,"-","ENSG00000273544","SNORA44",28581558,28582287,"N_Shore"
"39","chr1",28580966,28580967,2,"*","cg00261162",28580920,28581056,137,"-","ENSG00000274582","SNORA16A",28581558,28582287,"N_Shore"
"40","chr1",28580966,28580967,2,"*","cg00261162",28580920,28581054,135,"-","ENSG00000280498","SNORA16A",28581558,28582287,"N_Shore"
"41","chr1",156660327,156660328,2,"*","cg00330370",156646507,156661424,14918,"-","ENSG00000229953","AL590666.2",156657551,156657784,"S_Shelf"
"42","chr19",48466825,48466826,2,"*","cg00347746",48455574,48466980,11407,"+","ENSG00000182324","KCNJ14",48468969,48469900,"N_Shelf"
