"seqnames","start","end","width","strand","probe","gene_feature.ranges.start","gene_feature.ranges.end","gene_feature.ranges.width","gene_feature.strand","ensembl_gene_id","gene_name","start_position","end_position","feature_type"
"1","chr16",53434200,53434201,2,"*","cg00000029",53433977,53491648,57672,"+","ENSG00000103479","RBL2",53434490,53435297,"N_Shore"
"2","chr14",68874422,68874423,2,"*","cg00000289",68874128,68979440,105313,"-","ENSG00000072110","ACTN1",68874711,68875103,"N_Shore"
"3","chr1",230425047,230425048,2,"*","cg00000363",230314490,230426332,111843,"-","ENSG00000177614","PGBD5",230425358,230426956,"N_Shore"
"4","chr1",230425047,230425048,2,"*","cg00000363",230426491,230436822,10332,"+","ENSG00000282564","AL133516.1",230425358,230426956,"N_Shore"
"5","chr12",123601930,123601931,2,"*","cg00000769",123602077,123620943,18867,"+","ENSG00000111364","DDX55",123601671,123602468,"Island"
"6","chr4",1713277,1713278,2,"*","cg00003091",1692731,1712344,19614,"-","ENSG00000163950","SLBP",1711541,1713253,"S_Shore"
"7","chr4",1713277,1713278,2,"*","cg00003091",1712821,1715945,3125,"+","ENSG00000270195","AC016773.2",1711541,1713253,"S_Shore"
"8","chr4",1713277,1713278,2,"*","cg00003091",1712891,1745171,32281,"+","ENSG00000013810","TACC3",1711541,1713253,"S_Shore"
"9","chr11",47587170,47587171,2,"*","cg00005619",47586678,47589194,2517,"+","ENSG00000196666","FAM180B",47589587,47590875,"N_Shelf"
"10","chr2",218873592,218873593,2,"*","cg00011225",218859805,218874233,14429,"+","ENSG00000115596","WNT6",218873360,218874066,"Island"
"11","chr8",87873026,87873027,2,"*","cg00013196",87870747,87874015,3269,"-","ENSG00000176566","DCAF4L2",87873944,87874217,"N_Shore"
"12","chr2",176150234,176150235,2,"*","cg00014998",176136612,176173102,36491,"+","ENSG00000128652","HOXD3",176150221,176150486,"Island"
"13","chr2",176150234,176150235,2,"*","cg00014998",176150303,176150412,110,"+","ENSG00000207744","MIR10B",176150221,176150486,"Island"
"14","chr2",176150234,176150235,2,"*","cg00014998",176151550,176153226,1677,"+","ENSG00000170166","HOXD4",176150221,176150486,"Island"
"15","chr7",102301272,102301273,2,"*","cg00023808",102285091,102321711,36621,"+","ENSG00000160999","SH2B2",102300502,102301273,"Island"
"16","chr10",133205340,133205341,2,"*","cg00033834",133160219,133226412,66194,"+","ENSG00000171798","KNDC1",133205174,133205580,"Island"
"17","chr6",42050490,42050491,2,"*","cg00034019",41934934,42050357,115424,"-","ENSG00000112576","CCND3",42050402,42050866,"Island"
"18","chr6",42050490,42050491,2,"*","cg00034019",42050513,42087461,36949,"+","ENSG00000137413","TAF8",42050402,42050866,"Island"
"19","chr7",1064399,1064400,2,"*","cg00035923",996986,1138260,141275,"-","ENSG00000146540","C7orf50",1065624,1066338,"N_Shore"
"20","chr6",165686763,165686764,2,"*","cg00039129",165327287,165988078,660792,"-","ENSG00000112541","PDE10A",165660395,165664264,"."
"21","chr22",39686168,39686169,2,"*","cg00058879",39570753,39689735,118983,"+","ENSG00000100346","CACNA1I",39685515,39686550,"Island"
"22","chr4",37977545,37977546,2,"*","cg00142759",37891084,38139175,248092,"+","ENSG00000065882","TBC1D1",37977082,37977974,"Island"
"23","chr18",57440836,57440837,2,"*","cg00196827",57435374,57491298,55925,"+","ENSG00000119547","ONECUT2",57434733,57441621,"Island"
"24","chr19",53632011,53632012,2,"*","cg00591471",53632056,53637009,4954,"+","ENSG00000204595","DPRX",53647823,53648987,"."
"25","chr8",138495539,138495540,2,"*","cg00750917",138130023,138497261,367239,"-","ENSG00000147724","FAM135B",138496553,138497531,"N_Shore"
"26","chr2",241065685,241065686,2,"*","cg01121603",240998618,241095568,96951,"+","ENSG00000162804","SNED1",241065408,241065686,"Island"
"27","chr16",86485499,86485500,2,"*","cg01413522",86474529,86509099,34571,"-","ENSG00000268388","FENDRR",86494666,86495407,"."
"28","chr5",88695254,88695255,2,"*","cg01764252",88676033,88779088,103056,"+","ENSG00000245864","MEF2C-AS2",88689654,88689993,"."
"29","chr5",88695254,88695255,2,"*","cg01764252",88691757,88695041,3285,"-","ENSG00000250377","AC008525.1",88689654,88689993,"."
"30","chr1",7640518,7640519,2,"*","cg01919912",6785454,7769706,984253,"+","ENSG00000171735","CAMTA1",7663341,7665115,"."
"31","chr11",59137428,59137429,2,"*","cg02128981",59130133,59143015,12883,"-","ENSG00000245571","FAM111A-DT",59142655,59143111,"."
"32","chr12",54053459,54053460,2,"*","cg02264990",54016931,54056030,39100,"+","ENSG00000198353","HOXC4",54053961,54054252,"N_Shore"
"33","chr19",56839954,56839955,2,"*","cg02478023",56774547,56840729,66183,"-","ENSG00000269699","ZIM2",56839916,56840916,"Island"
"34","chr19",56839954,56839955,2,"*","cg02478023",56810077,56840728,30652,"-","ENSG00000198300","PEG3",56839916,56840916,"Island"
"35","chr19",56839954,56839955,2,"*","cg02478023",56840866,56848556,7691,"+","ENSG00000268654","MIMT1",56839916,56840916,"Island"
