"seqnames","start","end","width","strand","probe","gene_feature.ranges.start","gene_feature.ranges.end","gene_feature.ranges.width","gene_feature.strand","ensembl_gene_id","gene_name","start_position","end_position","feature_type"
"1","chr16",53434200,53434201,2,"*","cg00000029",53433977,53491648,57672,"+","ENSG00000103479","RBL2",53434490,53435297,"N_Shore"
"2","chr15",59493107,59493108,2,"*","cg00000905",59372693,59523555,150863,"+","ENSG00000157470","FAM81A",59437872,59438539,"."
"3","chr1",43365370,43365371,2,"*","cg00001446",43363398,43368074,4677,"-","ENSG00000066322","ELOVL1",43367144,43367402,"N_Shore"
"4","chr1",43365370,43365371,2,"*","cg00001446",43364648,43364715,68,"-","ENSG00000283836","MIR6734",43367144,43367402,"N_Shore"
"5","chr16",46974580,46974581,2,"*","cg00001854",46955362,46973674,18313,"-","ENSG00000069345","DNAJA2",46972917,46974118,"S_Shore"
"6","chr16",46974580,46974581,2,"*","cg00001854",46973989,46978983,4995,"+","ENSG00000261173","AC018845.3",46972917,46974118,"S_Shore"
"7","chr19",39307841,39307842,2,"*","cg00002033",39306566,39320863,14298,"-","ENSG00000128011","LRFN1",39307147,39308610,"Island"
"8","chr8",143038982,143038983,2,"*","cg00002224",143039209,143060684,21476,"+","ENSG00000177335","C8orf31",143024259,143024462,"."
"9","chr1",151347036,151347037,2,"*","cg00003202",151340640,151347357,6718,"-","ENSG00000143390","RFX5",151346851,151347069,"Island"
"10","chr1",151347036,151347037,2,"*","cg00003202",151346967,151348027,1061,"+","ENSG00000237976","RFX5-AS1",151346851,151347069,"Island"
"11","chr17",64506954,64506955,2,"*","cg00003784",64498254,64508199,9946,"-","ENSG00000108654","DDX5",64505362,64507448,"Island"
"12","chr17",64506954,64506955,2,"*","cg00003784",64506865,64542461,35597,"+","ENSG00000258890","CEP95",64505362,64507448,"Island"
"13","chr17",7571761,7571762,2,"*","cg00004421",7561919,7571969,10051,"+","ENSG00000161956","SENP3",7572599,7574012,"N_Shore"
"14","chr17",7571761,7571762,2,"*","cg00004421",7563287,7578715,15429,"+","ENSG00000277957","SENP3-EIF4A1",7572599,7574012,"N_Shore"
"15","chr17",7571761,7571762,2,"*","cg00004421",7572824,7579006,6183,"+","ENSG00000161960","EIF4A1",7572599,7574012,"N_Shore"
"16","chr17",7571761,7571762,2,"*","cg00004421",7572826,7582024,9199,"+","ENSG00000264772","AC016876.3",7572599,7574012,"N_Shore"
"17","chr16",30698245,30698246,2,"*","cg00005306",30698209,30741409,43201,"+","ENSG00000080603","SRCAP",30697954,30699089,"Island"
"18","chr16",30698245,30698246,2,"*","cg00005306",30697707,30699058,1352,"-","ENSG00000261840","AC093249.6",30697954,30699089,"Island"
"19","chr17",21512958,21512959,2,"*","cg00007215",21428263,21574517,146255,"-","ENSG00000212719","LINC02693",21513030,21513243,"N_Shore"
"20","chr1",156845982,156845983,2,"*","cg00008446",156815640,156881850,66211,"+","ENSG00000198400","NTRK1",156845090,156846000,"Island"
"21","chr1",156845982,156845983,2,"*","cg00008446",156840063,156859117,19055,"-","ENSG00000027644","INSRR",156845090,156846000,"Island"
"22","chr10",84328205,84328206,2,"*","cg00008671",84328586,84518521,189936,"+","ENSG00000107771","CCSER2",84328407,84329177,"N_Shore"
"23","chr1",53459090,53459091,2,"*","cg00008810",53459399,53467488,8090,"+","ENSG00000143006","DMRTB1",53459519,53460555,"N_Shore"
"24","chr3",158101493,158101494,2,"*","cg00010946",158095954,158106503,10550,"-","ENSG00000168779","SHOX2",158103444,158103815,"N_Shore"
"25","chr12",51847257,51847258,2,"*","cg00029353",51817840,51848766,30927,"-","ENSG00000261308","FIGNL2",51847062,51849567,"Island"
"26","chr12",51847257,51847258,2,"*","cg00029353",51848223,51852729,4507,"+","ENSG00000259887","FIGNL2-DT",51847062,51849567,"Island"
"27","chr6",127154588,127154589,2,"*","cg00042081",126304223,127213609,909387,"-","ENSG00000286215","AL356534.1",127120409,127120615,"."
"28","chr6",127154588,127154589,2,"*","cg00042081",127118671,127199481,80811,"+","ENSG00000146374","RSPO3",127120409,127120615,"."
"29","chr3",184168886,184168887,2,"*","cg00067768",184155377,184173614,18238,"+","ENSG00000161202","DVL3",184170028,184170690,"N_Shore"
"30","chr3",40386892,40386893,2,"*","cg00091569",40313802,40453329,139528,"-","ENSG00000223797","ENTPD3-AS1",40387106,40387524,"N_Shore"
"31","chr3",40386892,40386893,2,"*","cg00091569",40387184,40428744,41561,"+","ENSG00000168032","ENTPD3",40387106,40387524,"N_Shore"
"32","chr7",102479263,102479264,2,"*","cg00131121",102473118,102478907,5790,"-","ENSG00000005075","POLR2J",102478757,102479158,"S_Shore"
"33","chr5",17276224,17276225,2,"*","cg00132769",17065598,17276843,211246,"+","ENSG00000176788","BASP1",17275261,17275889,"S_Shore"
"34","chr1",167219765,167219766,2,"*","cg00296158",167220876,167427345,206470,"+","ENSG00000143190","POU2F1",167219894,167222124,"N_Shore"
"35","chr1",156726104,156726105,2,"*","cg00341602",156721891,156728766,6876,"-","ENSG00000143319","ISG20L2",156728320,156729124,"N_Shelf"
"36","chr12",116665762,116665763,2,"*","cg00355804",116661582,116698065,36484,"+","ENSG00000257883","AC125603.2",116737819,116738631,"."
"37","chr1",161038854,161038855,2,"*","cg00446235",160997957,161038962,41006,"-","ENSG00000270149","AL591806.3",161038588,161039040,"Island"
"38","chr1",161038854,161038855,2,"*","cg00446235",161037631,161038977,1347,"-","ENSG00000215845","TSTD1",161038588,161039040,"Island"
"39","chr2",73987535,73987536,2,"*","cg00551609",73986404,74108176,121773,"+","ENSG00000187605","TET3",73984088,73985605,"S_Shore"
"40","chr7",100177935,100177936,2,"*","cg00553149",100169606,100177381,7776,"-","ENSG00000213420","GPC2",100177111,100177960,"Island"
"41","chr7",100177935,100177936,2,"*","cg00553149",100177563,100221488,43926,"+","ENSG00000066923","STAG3",100177111,100177960,"Island"
"42","chr8",1048514,1048515,2,"*","cg00553967",737628,1708476,970849,"+","ENSG00000198010","DLGAP2",1041533,1041862,"."
"43","chr1",19288944,19288945,2,"*","cg00690710",19282573,19288770,6198,"-","ENSG00000162482","AKR7A3",19288505,19289166,"Island"
"44","chr3",126355941,126355942,2,"*","cg00725356",126342635,126357408,14774,"-","ENSG00000163884","KLF15",126355941,126358022,"Island"
"45","chr1",221743344,221743345,2,"*","cg00784718",221701424,221742089,40666,"-","ENSG00000143507","DUSP10",221742133,221743462,"Island"
"46","chr14",103706637,103706638,2,"*","cg00845775",103561896,103714249,152354,"+","ENSG00000126214","KLC1",103698715,103698941,"."
"47","chr14",103706637,103706638,2,"*","cg00845775",103697609,103715504,17896,"-","ENSG00000126215","XRCC3",103698715,103698941,"."
"48","chr3",49683386,49683387,2,"*","cg00904548",49674014,49683971,9958,"+","ENSG00000164062","APEH",49685711,49687185,"N_Shelf"
"49","chr1",147902812,147902813,2,"*","cg00923259",147902795,147909269,6475,"+","ENSG00000121634","GJA8",147908012,147908355,"."
"50","chr10",128285443,128285444,2,"*","cg00983482",128181032,128317726,136695,"+","ENSG00000280953","LINC01163",128286775,128287161,"N_Shore"
"51","chr6",28259313,28259314,2,"*","cg01031101",28259297,28260958,1662,"+","ENSG00000189134","NKAPL",28259202,28259705,"Island"
