"seqnames","start","end","width","strand","probe","gene_feature.ranges.start","gene_feature.ranges.end","gene_feature.ranges.width","gene_feature.strand","ensembl_gene_id","gene_name","start_position","end_position","feature_type"
"1","chr2",68319767,68319768,2,"*","cg00020052",68284171,68320051,35881,"-","ENSG00000119865","CNRIP1",68319208,68319979,"Island"
"2","chr8",84183802,84183803,2,"*","cg00034076",84182787,84921844,739058,"+","ENSG00000184672","RALYL",84184525,84185012,"N_Shore"
"3","chr20",25082118,25082119,2,"*","cg00043788",25070885,25082141,11257,"-","ENSG00000100987","VSX1",25081126,25082292,"Island"
"4","chr20",54475935,54475936,2,"*","cg00055557",54475593,54651169,175577,"+","ENSG00000101134","DOK5",54475195,54476454,"Island"
"5","chr1",14742470,14742471,2,"*","cg00101629",13892792,15118043,1225252,"+","ENSG00000189337","KAZN",14801088,14801373,"."
"6","chr5",159039218,159039219,2,"*","cg00210856",158695916,159099916,404001,"-","ENSG00000164330","EBF1",159051371,159051622,"."
"7","chr16",51151435,51151436,2,"*","cg00310215",51135975,51151367,15393,"-","ENSG00000103449","SALL1",51149789,51156349,"Island"
"8","chr16",51151435,51151436,2,"*","cg00310215",51150770,51442519,291750,"+","ENSG00000285367","AC087564.1",51149789,51156349,"Island"
"9","chr14",36581250,36581251,2,"*","cg00456637",36320753,36656163,335411,"+","ENSG00000283098","AL132857.1",36580129,36582521,"Island"
"10","chr14",36581250,36581251,2,"*","cg00456637",36580004,36582614,2611,"-","ENSG00000136327","NKX2-8",36580129,36582521,"Island"
"11","chr11",19660240,19660241,2,"*","cg00491064",19350724,20121601,770878,"+","ENSG00000166833","NAV2",19712391,19713791,"."
"12","chr20",32589473,32589474,2,"*","cg00516092",32564992,32608893,43902,"+","ENSG00000204393","NOL4L-DT",32582939,32585838,"S_Shelf"
"13","chr20",32589473,32589474,2,"*","cg00516092",32581963,32593900,11938,"+","ENSG00000228156","AL133343.1",32582939,32585838,"S_Shelf"
"14","chr5",179344328,179344329,2,"*","cg00532157",179110853,179345461,234609,"-","ENSG00000087116","ADAMTS2",179343724,179345793,"Island"
