"seqnames","start","end","width","strand","probe","gene_feature.ranges.start","gene_feature.ranges.end","gene_feature.ranges.width","gene_feature.strand","ensembl_gene_id","gene_name","start_position","end_position","feature_type"
"1","chr16",53434200,53434201,2,"*","cg00000029",53433977,53491648,57672,"+","ENSG00000103479","RBL2",53434490,53435297,"N_Shore"
"2","chr16",28878779,28878780,2,"*","cg00000292",28341434,29370272,1028839,"+","ENSG00000288630","AC009093.11",28879634,28880547,"N_Shore"
"3","chr16",28878779,28878780,2,"*","cg00000292",28878405,28904466,26062,"+","ENSG00000196296","ATP2A1",28879634,28880547,"N_Shore"
"4","chr6",25282551,25282552,2,"*","cg00000721",25061626,25452263,390638,"-","ENSG00000168405","CMAHP",25278904,25279662,"S_Shelf"
"5","chr6",25282551,25282552,2,"*","cg00000721",25279078,25620530,341453,"+","ENSG00000079691","CARMIL1",25278904,25279662,"S_Shelf"
"6","chr15",59493107,59493108,2,"*","cg00000905",59372693,59523555,150863,"+","ENSG00000157470","FAM81A",59437872,59438539,"."
"7","chr1",43365370,43365371,2,"*","cg00001446",43363398,43368074,4677,"-","ENSG00000066322","ELOVL1",43367144,43367402,"N_Shore"
"8","chr1",43365370,43365371,2,"*","cg00001446",43364648,43364715,68,"-","ENSG00000283836","MIR6734",43367144,43367402,"N_Shore"
"9","chr1",200042658,200042659,2,"*","cg00001583",200027614,200177420,149807,"+","ENSG00000116833","NR5A2",200042273,200042927,"Island"
"10","chr2",102797583,102797584,2,"*","cg00001791",102736905,103019900,282996,"+","ENSG00000170417","TMEM182",102736680,102736955,"."
"11","chr18",70205825,70205826,2,"*","cg00002236",70003031,70205726,202696,"-","ENSG00000176225","RTTN",70205286,70206122,"Island"
"12","chr18",70205825,70205826,2,"*","cg00002236",70205774,70208781,3008,"+","ENSG00000287646","AC021701.1",70205286,70206122,"Island"
"13","chr12",56189826,56189827,2,"*","cg00002660",56162359,56190284,27926,"-","ENSG00000258199","AC073896.4",56188925,56189898,"Island"
"14","chr12",56189826,56189827,2,"*","cg00002660",56162359,56189567,27209,"-","ENSG00000139613","SMARCC2",56188925,56189898,"Island"
"15","chr3",149792328,149792329,2,"*","cg00003529",149761100,149968385,207286,"-","ENSG00000206199","ANKUB1",149812507,149813447,"."
"16","chr1",154154986,154154987,2,"*","cg00006626",153992685,154155116,162432,"-","ENSG00000143552","NUP210L",154182793,154183450,"."
"17","chr8",37749061,37749062,2,"*","cg00007675",37736601,37758422,21822,"+","ENSG00000147475","ERLIN2",37736317,37737185,"."
"18","chr8",37749061,37749062,2,"*","cg00007675",37747338,37748004,667,"-","ENSG00000233170","AC138356.2",37736317,37737185,"."
"19","chr10",84328205,84328206,2,"*","cg00008671",84328586,84518521,189936,"+","ENSG00000107771","CCSER2",84328407,84329177,"N_Shore"
"20","chr6",54308199,54308200,2,"*","cg00012148",54307859,54390142,82284,"+","ENSG00000137251","TINAG",53794457,53796174,"."
"21","chr22",21866077,21866078,2,"*","cg00014104",21759657,21867680,108024,"-","ENSG00000100030","MAPK1",21866766,21868077,"N_Shore"
"22","chrX",31072189,31072190,2,"*","cg00021786",31071233,31072041,809,"-","ENSG00000132446","FTHL17",31071770,31072213,"Island"
"23","chr2",1170519,1170520,2,"*","cg00206271",950849,1367613,416765,"+","ENSG00000172554","SNTG2",1167331,1168134,"S_Shelf"
"24","chr5",172683474,172683475,2,"*","cg00327072",172641263,172691540,50278,"+","ENSG00000214357","NEURL1B",172683280,172684301,"Island"
"25","chr19",48466825,48466826,2,"*","cg00347746",48455574,48466980,11407,"+","ENSG00000182324","KCNJ14",48468969,48469900,"N_Shelf"
"26","chr19",48466825,48466826,2,"*","cg00347746",48465837,48472431,6595,"+","ENSG00000268465","AC008403.1",48468969,48469900,"N_Shelf"
"27","chr19",48466825,48466826,2,"*","cg00347746",48465348,48469693,4346,"-","ENSG00000268530","AC008403.2",48468969,48469900,"N_Shelf"
"28","chr6",106511660,106511661,2,"*","cg00974935",106360717,106572017,211301,"+","ENSG00000112297","CRYBG1",106511890,106513110,"N_Shore"
"29","chr10",1567188,1567189,2,"*","cg02887530",1177313,1737525,560213,"-","ENSG00000185736","ADARB2",1553348,1553597,"."
"30","chr3",48423911,48423912,2,"*","cg03459811",48403854,48430086,26233,"-","ENSG00000164050","PLXNB1",48428822,48429980,"."
"31","chr10",129841875,129841876,2,"*","cg04217539",129835233,129973053,137821,"-","ENSG00000108001","EBF3",129840301,129840576,"S_Shore"
"32","chr16",70646201,70646202,2,"*","cg04917208",70579895,70660682,80788,"+","ENSG00000157368","IL34",70663672,70664460,"."
"33","chr12",754439,754440,2,"*","cg05615230",752579,911452,158874,"+","ENSG00000060237","WNK1",752277,754247,"S_Shore"
"34","chr8",143558136,143558137,2,"*","cg06043315",143553207,143563062,9856,"+","ENSG00000104518","GSDMD",143558227,143558602,"N_Shore"
"35","chr11",19240577,19240578,2,"*","cg07085895",19196775,19281426,84652,"+","ENSG00000255308","CSRP3-AS1",19240366,19240609,"Island"
"36","chr11",19240577,19240578,2,"*","cg07085895",19224063,19241620,17558,"-","ENSG00000129173","E2F8",19240366,19240609,"Island"
"37","chr2",174025117,174025118,2,"*","cg07729527",174025280,174027163,1884,"+","ENSG00000260868","LINC01960",174025516,174026086,"N_Shore"
"38","chr6",41504294,41504295,2,"*","cg07797853",41494853,41548621,53769,"-","ENSG00000234753","FOXP4-AS1",41503821,41505553,"Island"
"39","chr6",41504294,41504295,2,"*","cg07797853",41499033,41519852,20820,"+","ENSG00000226917","LINC01276",41503821,41505553,"Island"
"40","chr2",111699234,111699235,2,"*","cg08443563",111429324,111699033,269710,"-","ENSG00000285016","AC017002.3",111883761,111884329,"."
"41","chr2",111699234,111699235,2,"*","cg08443563",111611639,111884690,273052,"-","ENSG00000153107","ANAPC1",111883761,111884329,"."
"42","chr20",53583055,53583056,2,"*","cg09029902",53567065,53609907,42843,"-","ENSG00000171940","ZNF217",53581520,53581861,"S_Shore"
"43","chr6",42971291,42971292,2,"*","cg11171825",42963865,42979181,15317,"-","ENSG00000124587","PEX6",42978573,42979389,"."
"44","chr17",27353493,27353494,2,"*","cg12315892",27351858,27352584,727,"-","ENSG00000265683","SYPL1P2",27353529,27354048,"N_Shore"
"45","chr2",241645828,241645829,2,"*","cg12672050",241637213,241673857,36645,"+","ENSG00000168397","ATG4B",241636292,241638148,"."
"46","chr1",52686409,52686410,2,"*","cg12691620",52684449,52698347,13899,"-","ENSG00000162377","COA7",52698017,52698508,"."
"47","chr10",29659499,29659500,2,"*","cg13324103",29457338,29736959,279622,"-","ENSG00000197321","SVIL",29735144,29737148,"."
"48","chr3",183286071,183286072,2,"*","cg15580355",183178043,183428778,250736,"-","ENSG00000053524","MCF2L2",183253186,183254847,"."
"49","chr3",183286071,183286072,2,"*","cg15580355",183253253,183298504,45252,"+","ENSG00000176597","B3GNT5",183253186,183254847,"."
"50","chr4",73740748,73740749,2,"*","cg16468729",73740541,73743716,3176,"+","ENSG00000169429","CXCL8",73836704,73836910,"."
"51","chr19",5114191,5114192,2,"*","cg16617758",4969113,5153598,184486,"+","ENSG00000127663","KDM4B",5110577,5110842,"S_Shelf"
"52","chr11",132072095,132072096,2,"*","cg16763885",131370478,132336822,966345,"+","ENSG00000182667","NTM",131910459,131911638,"."
"53","chr6",16713382,16713383,2,"*","cg22274117",16299112,16761491,462380,"-","ENSG00000124788","ATXN1",16759948,16762754,"."
"54","chr10",3781598,3781599,2,"*","cg23680451",3775996,3785281,9286,"-","ENSG00000067082","KLF6",3781598,3781825,"Island"
"55","chr4",25908431,25908432,2,"*","cg25546651",25861830,25929874,68045,"+","ENSG00000250317","SMIM20",25913731,25914374,"."
"56","chr3",57068872,57068873,2,"*","cg25799109",56727418,57079329,351912,"-","ENSG00000163947","ARHGEF3",57078722,57079880,"."
"57","chr3",57068872,57068873,2,"*","cg25799109",57060664,57075432,14769,"+","ENSG00000186451","SPATA12",57078722,57079880,"."
"58","chr15",64884154,64884155,2,"*","cg26170244",64841883,64930920,89038,"+","ENSG00000249240","AC069368.1",64905601,64905864,"."
"59","chr17",81553708,81553709,2,"*","cg27107970",81539885,81553961,14077,"-","ENSG00000185504","FAAP100",81551791,81552938,"S_Shore"
"60","chr19",45553649,45553650,2,"*","cg27391679",45527427,45602212,74786,"-","ENSG00000125741","OPA3",45553526,45553891,"Island"
"61","chr10",127191758,127191758,1,"*","ch.10.2770541R",126905409,127452517,547109,"+","ENSG00000150760","DOCK1",127195242,127196565,"N_Shelf"
"62","chr10",127191758,127191758,1,"*","ch.10.2770541R",127135426,127196591,61166,"-","ENSG00000188916","INSYN2A",127195242,127196565,"N_Shelf"
"63","chr15",66865974,66865974,1,"*","ch.15.64945366R",66860303,66867023,6721,"+","ENSG00000277152","AC110048.2",66842486,66843142,"."
"64","chr20",52083300,52083300,1,"*","ch.20.50133246R",52051663,52204308,152646,"-","ENSG00000020256","ZFP64",52084727,52085193,"N_Shore"
"65","chr20",52083300,52083300,1,"*","ch.20.50133246R",52072685,52096480,23796,"+","ENSG00000287511","AL109984.1",52084727,52085193,"N_Shore"
"66","chr2",232315285,232315285,1,"*","ch.2.4671106R",231961245,232344350,383106,"+","ENSG00000144535","DIS3L2",232350971,232352846,"."
